"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2013-03-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1178.7204,462.1713,"hat"
2013-03-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1172.4495,462.1713,"hat"
2013-03-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1119.1415,462.1713,"hat"
2013-03-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 513.2938,462.1713,"hat"
2013-03-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 663.8642,462.1713,"hat"
2013-03-01,Azúcar sulfitada,505.4427,9 a 13 años,0, 927.3963,462.1713,"hat"
2013-03-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1269.4611,462.1713,"hat"
2013-03-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1303.1063,462.1713,"hat"
2013-03-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1234.4103,462.1713,"hat"
2013-03-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1003.4483,462.1713,"hat"
2013-03-01,Azúcar sulfitada,510.2502,>70 años,0, 936.2172,462.1713,"hat"
2013-04-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 468.7167,459.9295,"hat"
2013-04-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 605.5302,459.9295,"hat"
2013-04-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 833.0275,459.9295,"hat"
2013-04-01,Azúcar sulfitada,532.2268,14 a 18 años,1, 971.8036,459.9295,"hat"
2013-04-01,Azúcar sulfitada,511.7957,19 a 30 años,1, 934.4980,459.9295,"hat"
2013-04-01,Azúcar sulfitada,482.7422,31 a 50 años,1, 881.4486,459.9295,"hat"
2013-04-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 800.8228,459.9295,"hat"
2013-04-01,Azúcar sulfitada,412.3622,>70 años,1, 752.9404,459.9295,"hat"
2013-04-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1159.2050,459.9295,"hat"
2013-04-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1152.9645,459.9295,"hat"
2013-04-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1099.9151,459.9295,"hat"
2013-04-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1173.0029,459.9295,"hat"
2013-04-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1166.7624,459.9295,"hat"
2013-04-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1113.7130,459.9295,"hat"
2013-04-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 510.8040,459.9295,"hat"
2013-04-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 660.6441,459.9295,"hat"
2013-04-01,Azúcar sulfitada,505.4427,9 a 13 años,0, 922.8979,459.9295,"hat"
2013-04-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1263.3035,459.9295,"hat"
2013-04-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1296.7854,459.9295,"hat"
2013-04-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1228.4226,459.9295,"hat"
2013-04-01,Azúcar sulfitada,546.8919,51 a 70 años,0, 998.5809,459.9295,"hat"
2013-04-01,Azúcar sulfitada,510.2502,>70 años,0, 931.6760,459.9295,"hat"
2013-05-01,Azúcar morena,261.3091,1 a 3 años,1, 496.0797,486.7795,"hat"
2013-05-01,Azúcar morena,337.5825,4 a 8 años,1, 640.8802,486.7795,"hat"
2013-05-01,Azúcar morena,464.4121,9 a 13 años,1, 881.6584,486.7795,"hat"
