"ciudad","fecha","pm","pme","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2018-01-01,14.0635500707455,2.63031510669835,10,1.6793893129771,12.6717557251908,31.3409961685824,-12.3841607577684,-1.39179434555468,17.2774460978369,-0.950925793721248,10.0414406184925,28.710681061884
"BOGOTA",2018-02-01,16.1734020459207,3.8081304050262,10,3.03571428571429,14.7142857142857,36.2142857142857,-13.1376877602064,-1.45911633163501,20.040883668365,-0.772416119311913,10.9061553092595,32.4061553092595
"BOGOTA",2018-03-01,13.0067189723466,2.90196853347712,10,1.98529411764706,10.9558823529412,31.9557195571956,-11.0214248546995,-2.05083661940538,18.949000584849,-0.916674415830061,8.05391381946406,29.0537510237185
"BOGOTA",2018-04-01,11.4447827338617,2.17576414752134,10,1.61172161172161,9.63369963369964,28.9010989010989,-9.83306112214014,-1.81108310016211,17.4563161672372,-0.564042535799724,7.4579354861783,26.7253347535776
"BOGOTA",2018-05-01,10.1813002658867,2.05000375757993,10,1.44366197183099,9.15492957746479,27.5352112676056,-8.7376382940557,-1.0263706884219,17.3539110017189,-0.606341785748944,7.10492581988486,25.4852075100257
"BOGOTA",2018-06-01,13.2245304008476,2.8055337441516,10,1.98606271777003,12.0905923344948,30.6271777003484,-11.2384676830776,-1.13393806635287,17.4026472995008,-0.819471026381565,9.28505859034317,27.8216439561968
"BOGOTA",2018-07-01,11.4359784017522,2.30938785946052,10,1.0188679245283,8.49056603773585,27.3584905660377,-10.4171104772239,-2.94541236401634,15.9225121642855,-1.29051993493221,6.18117817827533,25.0491027065772
"BOGOTA",2018-08-01,12.4852797092195,2.05034505529644,10,0.922509225092251,11.070110701107,27.380073800738,-11.5627704841273,-1.4151690081125,14.8947940915185,-1.12783583020419,9.01976564581057,25.3297287454416
"BOGOTA",2018-09-01,12.0124091465031,1.89014425131724,10,0.925925925925926,10.2222222222222,29.3333333333333,-11.0864832205772,-1.79018692428092,17.3209241868302,-0.964218325391317,8.33207797090498,27.4431890820161
"BOGOTA",2018-10-01,11.6813719066308,1.56823416854471,10,1.18959107806691,10.4460966542751,30.817843866171,-10.4917808285639,-1.23527525235573,19.1364719595402,-0.378643090477799,8.87786248573038,29.2496096976263
"BOGOTA",2018-11-01,12.5366075694917,2.96006101047224,10,1.6796875,9.765625,32.5490196078431,-10.8569200694917,-2.77098256949171,20.0124120383514,-1.28037351047224,6.80556398952776,29.5889585973709
"BOGOTA",2018-12-01,10.8301228731853,3.1639742698366,10,1.88034188034188,8.8034188034188,31.2820512820513,-8.94978099284344,-2.02670406976651,20.451928408866,-1.28363238949472,5.6394445335822,28.1180770122147
"BOGOTA",2019-01-01,27.447932343754,4.56181672352869,10,1.84615384615385,8.96153846153846,30.6538461538462,-25.6017784976001,-18.4863938822155,3.20591381009218,-2.71566287737484,4.39972173800978,26.0920294303175
"BOGOTA",2019-02-01,29.7555885897753,5.58462088509359,10,3.23308270676692,12.3308270676692,35.7518796992481,-26.5225058830084,-17.4247615221061,5.99629110947284,-2.35153817832667,6.74620618257558,30.1672588141545
"BOGOTA",2019-03-01,29.059099853128,4.19798993695043,10,2.37918215613383,9.88847583643123,37.9182156133829,-26.6799176969942,-19.1706240166968,8.85911576025489,-1.8188077808166,5.6904858994808,33.7202256764325
"BOGOTA",2019-04-01,26.4433761224494,5.33913280603237,10,2.50909090909091,10.4727272727273,35.3454545454545,-23.9342852133585,-15.9706488497221,8.90207842300516,-2.83004189694146,5.13359446669491,30.0063217394222
"BOGOTA",2019-05-01,25.2643489066512,3.30924512531269,10,1.04868913857678,7.94007490636704,32.2846441947566,-24.2156597680744,-17.3242740002841,7.0202952881054,-2.26055598673591,4.63082978105436,28.9753990694439
"BOGOTA",2019-06-01,32.4649502057141,5.98368904716493,10,2.74368231046931,12.8880866425993,45.2346570397112,-29.7212678952448,-19.5768635631148,12.7697068339971,-3.24000673669561,6.90439759543435,39.2509679925463
"BOGOTA",2019-07-01,23.6939953502487,2.58321747632853,10,1.69291338582677,8.89763779527559,32.4110671936759,-22.0010819644219,-14.7963575549731,8.71707184342721,-0.890304090501761,6.31442031894706,29.8278497173474
"BOGOTA",2019-08-01,27.5227509520051,3.28166310124272,10,1.41221374045802,10.6870229007634,34.1603053435114,-26.1105372115471,-16.8357280512418,6.63755439150632,-1.8694493607847,7.40535979952064,30.8786422422687
"BOGOTA",2019-09-01,25.9368917298882,4.48845054279814,10,1.6988416988417,9.53667953667954,33.9382239382239,-24.2380500310465,-16.4002121932087,8.00133220833571,-2.78960884395645,5.04822899388139,29.4497733954258
"BOGOTA",2019-10-01,22.9449225768387,2.35242470947934,10,1.20481927710843,7.51004016064257,32.9838709677419,-21.7401032997303,-15.4348824161962,10.0389483909032,-1.14760543237091,5.15761545116323,30.6314462582626
"BOGOTA",2019-11-01,29.0170618531933,3.97359779024969,10,1.25,11.2121212121212,41.5909090909091,-27.7670618531933,-17.8049406410721,12.5738472377158,-2.72359779024969,7.23852342187153,37.6173113006594
"BOGOTA",2019-12-01,26.7403500522359,4.39995812436195,10,2.43697478991597,10.7983193277311,33.9240506329114,-24.3033752623199,-15.9420307245048,7.18370058067553,-1.96298333444598,6.39836120336915,29.5240925085494
"BOGOTA",2020-01-01,28.6894296101912,4.25112944899697,10,1.54761904761905,9.72222222222222,32.589641434263,-27.1418105625721,-18.967207387969,3.90021182407177,-2.70351040137792,5.47109277322525,28.338511985266
"BOGOTA",2020-02-01,25.0094472481078,3.52964803960661,10,1.40077821011673,8.56031128404669,31.5175097276265,-23.608669037991,-16.4491359640611,6.50806247951868,-2.12886982948988,5.03066324444008,27.9878616880199
"BOGOTA",2020-03-01,31.5495654172691,8.28689916096296,10,7.67932489451477,20.7594936708861,46.3135593220339,-23.8702405227543,-10.790071746383,14.7639939047648,-0.607574266448196,12.4725945099231,38.0266601610709
"BOGOTA",2020-04-01,51.3606534252822,23.4848934820226,10,16.838905775076,33.2826747720365,59.483282674772,-34.5217476502063,-18.0779786532458,8.12262924948979,-6.64598770694662,9.79778129001386,35.9983891927494
"BOGOTA",2020-05-01,57.0671506389935,26.9733326582606,10,20.5387205387205,43.0639730639731,64.6464646464647,-36.528430100273,-14.0031775750205,7.57931400747113,-6.43461211954003,16.0906404057125,37.6731319882041
"BOGOTA",2020-06-01,53.5549549988986,23.8898318834462,10,17.5593220338983,36.0338983050847,66.0544217687075,-35.9956329650003,-17.5210566938138,12.4994667698089,-6.33050984954787,12.1440664216386,42.1645898852613
"BOGOTA",2020-07-01,55.124144654866,20.8636440453979,10,13.8376383763838,37.3062730627306,62.8413284132841,-41.2865062784822,-17.8178715921353,7.71718375841818,-7.02600566901413,16.4426290173327,41.9776843678862
"BOGOTA",2020-08-01,40.4484770428925,10.8119332307742,10,7.16417910447761,23.3582089552239,50.1865671641791,-33.2842979384149,-17.0902680876687,9.73809012128658,-3.64775412629658,12.5462757244497,39.3746339334049
"BOGOTA",2020-09-01,39.4292654175564,11.3446264031477,10,7.63779527559055,23.1102362204724,47.0750988142292,-31.7914701419658,-16.3190291970839,7.64583339667288,-3.7068311275571,11.7656098173248,35.7304724110816
"BOGOTA",2020-10-01,34.6341962950342,9.84394833315583,10,6.1003861003861,21.2741312741313,45.2895752895753,-28.5338101946481,-13.3600650209029,10.6553789945411,-3.74356223276973,11.4301829409754,35.4456269564195
"BOGOTA",2020-11-01,30.4352227406932,6.90681371877626,10,4.59016393442623,16.2295081967213,36.9672131147541,-25.8450588062669,-14.2057145439719,6.53199037406093,-2.31664978435003,9.32269447794505,30.0603993959778
"BOGOTA",2020-12-01,34.422173611214,8.91597895905086,10,4.65116279069767,21.5891472868217,44.3798449612403,-29.7710108205164,-12.8330263243923,9.95767135002627,-4.26481616835319,12.6731683277708,35.4638660021894
"BOGOTA",2021-01-01,39.3437045130717,13.4264989428977,10,6.3135593220339,21.4406779661017,46.4406779661017,-33.0301451910378,-17.90302654697,7.09697345302999,-7.11293962086381,8.01417902320398,33.014179023204
"BOGOTA",2021-02-01,34.2370441024133,8.71430331399508,10,4.23387096774194,15.241935483871,37.7822580645161,-30.0031731346714,-18.9951086185423,3.54521396210281,-4.48043234625314,6.52763216987589,29.0679547505211
"BOGOTA",2021-03-01,36.3969337231529,9.81067652486262,10,4.84126984126984,20.7539682539683,42.3412698412698,-31.555663881883,-15.6429654691846,5.94433611811699,-4.96940668359278,10.9432917291056,32.5305933164072
"BOGOTA",2021-04-01,37.4502253006474,11.6191878192774,10,4.73484848484849,19.5075757575758,47.4242424242424,-32.7153768157989,-17.9426495430716,9.97401712359507,-6.88433933442889,7.88838793829838,35.8050546049651
"BOGOTA",2021-05-01,38.0211955766254,11.1090060503734,10,5.56910569105691,17.8866766218683,47.469387755102,-32.4520898855684,-20.1345189547571,9.44819217847669,-5.53990035931652,6.77767057149483,36.3603817047286
"BOGOTA",2021-06-01,42.2019005300392,7.85335539999028,10,3.58870967741936,24.0725806451613,52.2177419354839,-38.6131908526198,-18.1293198848779,10.0158414054447,-4.26464572257093,16.219225245171,44.3643865354936
"BOGOTA",2021-07-01,33.9274443601713,7.64720154245351,10,3.46774193548387,16.1290322580645,44.758064516129,-30.4597024246874,-17.7984121021068,10.8306201559577,-4.17945960696964,8.48183071561101,37.1108629736755
"BOGOTA",2021-08-01,34.102622667941,9.94557929874291,10,3.51020408163265,16.4344262295082,43.9754098360656,-30.5924185863083,-17.6681964384328,9.87278716812461,-6.43537521711026,6.48884693076528,34.0298305373227
"BOGOTA",2021-09-01,35.6688461896841,10.9736265161427,10,3.57142857142857,21.3095238095238,45.9126984126984,-32.0974176182555,-14.3593223801603,10.2438522230143,-7.40219794471415,10.3358972933811,34.9390718965557
"BOGOTA",2021-10-01,31.8563278537246,9.07194347974028,10,3.04721030042918,15.9051724137931,42.2413793103448,-28.8091175532955,-15.9511554399315,10.3850514566202,-6.0247331793111,6.83322893405282,33.1694358306045
