"ciudad","term","estimate","std.error","statistic","p.value"
"BOGOTA","(Intercept)",7.78050967652176,1.10338949725981,7.0514625124166,1.73184609267137e-07
"BOGOTA","pm",0.377878623724759,0.0404999394038896,9.33035034833824,8.79766250918637e-10
"CALI","(Intercept)",8.6126576473618,1.50908176268131,5.70721736909669,5.25650993100175e-06
"CALI","pm",0.423920955226238,0.0632709200083648,6.7000915297295,4.14816058328168e-07
"MEDELLIN","(Intercept)",7.49922079775748,1.37327856429282,5.46081544760676,1.00020381053907e-05
"MEDELLIN","pm",0.35763618987579,0.0575563097754649,6.21367476947321,1.42212671847526e-06
