"ciudad","tri_date","pm","pme","trimestre","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2018-01-01,13.2797550707998,2.506450423885,"2018Q1",10,1.31086142322097,5.0936329588015,13.4831460674157,-11.9688936475789,-8.18612211199835,0.203390996615882,-1.19558900066402,2.5871825349165,10.9766956435307
"BOGOTA",2018-04-01,10.6671554252199,1.97461212976023,"2018Q2",10,1.07913669064748,4.46043165467626,12.0937329558736,-9.58801873457246,-6.20672377054368,1.42657753065363,-0.895475439112744,2.48581952491603,10.1191208261133
"BOGOTA",2018-07-01,11.0244988864143,1.85115224782773,"2018Q3",10,0.639097744360902,3.87218045112782,11.1278195488722,-10.3854011420534,-7.15231843528643,0.103320662457927,-1.21205450346683,2.02102820330009,9.27666730104445
"BOGOTA",2018-10-01,10.9717868338558,2.31191222570533,"2018Q4",10,1.01214574898785,3.76518218623482,12.753036437247,-9.95964108486795,-7.20660464762098,1.78124960339116,-1.29976647671747,1.45326996052949,10.4411242115416
"BOGOTA",2019-01-01,27.6043625423091,3.94198586835255,"2019Q1",10,1.45593869731801,4.67432950191571,15.2107279693487,-26.1484238449911,-22.9300330403934,-12.3936345729605,-2.48604717103454,0.732343633563162,11.2687421009961
"BOGOTA",2019-04-01,25.0546249089585,4.55207574654042,"2019Q2",10,1.01503759398496,3.87218045112782,15.4887218045113,-24.0395873149735,-21.1824444578307,-9.56590310444721,-3.53703815255546,-0.679895295412603,10.9366460579709
"BOGOTA",2019-07-01,25.2123552123552,3.28369606720122,"2019Q3",10,0.778210116731518,3.96887159533074,14.6303501945525,-24.4341450956237,-21.2434836170245,-10.5820050178027,-2.5054859504697,0.685175528129518,11.3466541273513
"BOGOTA",2019-10-01,25.4951538137379,3.64326375711575,"2019Q4",10,1.05263157894737,3.96761133603239,13.8056680161943,-24.4425222347905,-21.5275424777055,-11.6894857975436,-2.59063217816838,0.324347578916639,10.1624042590786
"BOGOTA",2020-01-01,25.5573248407643,3.86146496815287,"2020Q1",10,2,6.15686274509804,15.2156862745098,-23.5573248407643,-19.4004620956663,-10.3416385662545,-1.86146496815287,2.29539777694517,11.3542213063569
"BOGOTA",2020-04-01,50.5942275042445,21.7657045840407,"2020Q2",10,9.86666666666667,17.7235228539576,27.4559643255295,-40.7275608375778,-32.8707046502868,-23.1382631787149,-11.8990379173741,-4.04218173008311,5.69025974148879
"BOGOTA",2020-07-01,39.2083644510829,10.604929051531,"2020Q3",10,5.69897084048027,12.8201829616924,23.1232132647227,-33.5093936106026,-26.3881814893905,-16.0851511863602,-4.90595821105072,2.2152539101614,12.5182842131917
"BOGOTA",2020-10-01,33.2560834298957,8.84749708963912,"2020Q4",10,2.1259842519685,7.55905511811024,17.7952755905512,-31.1300991779272,-25.6970283117855,-15.4608078393445,-6.72151283767061,-1.28844197152888,8.94777850091207
"BOGOTA",2021-01-01,34.3141153081511,9.54274353876739,"2021Q1",10,3.29365079365079,8.76984126984127,18.7407512805919,-31.0204645145003,-25.5442740383098,-15.5733640275592,-6.2490927451166,-0.772902268926124,9.19800774182452
