ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,r2,n_obs,est_ok
MEDELLÍN,ARROZ PARA SECO,011101,3,TRUE,1.0428538953628692,0.00132030195593931,0.4939418691237329,203,TRUE
MEDELLÍN,ARROZ INTEGRAL,011101,3,TRUE,0.8503009537499948,3.273566883584126e-4,0.7235379904385493,203,TRUE
MEDELLÍN,HARINA PRECOCIDA,011106,3,TRUE,0.12331732957697164,2.0169421997463512e-4,0.04087706015905377,203,TRUE
MEDELLÍN,HARINA DE TRIGO,011105,3,TRUE,0.14549657785628622,4.370709535303709e-4,0.02664856876274763,203,TRUE
MEDELLÍN,FECULA DE MAÍZ,011105,3,TRUE,0.09550651012954324,2.273590825220912e-4,0.02217508774113749,203,TRUE
MEDELLÍN,PASTA PARA SECO,011102,3,TRUE,1.0287644211574694,5.496730102128823e-5,0.8660182401924825,203,TRUE
MEDELLÍN,PASTA PARA SOPA,011102,3,TRUE,0.9620105325057796,1.7813598474083798e-5,0.9457718856823883,203,TRUE
MEDELLÍN,AVENA HOJUELAS,011103,3,TRUE,1.0062021653029678,1.3529698846546578e-4,0.5898916191352107,203,TRUE
MEDELLÍN,AVENA MOLIDA,011103,3,TRUE,0.9608954429465092,1.4017712890667658e-4,0.5587122507552981,203,TRUE
MEDELLÍN,PAN CORRIENTE,011108,3,TRUE,0.5892616131788014,9.626444209007338e-5,0.4055532356494988,203,TRUE
MEDELLÍN,PAN FRANCÉS,011108,3,TRUE,1.8914879631672816,6.992886688909624e-4,0.49178924392348466,203,TRUE
MEDELLÍN,PAN INTEGRAL,011108,3,TRUE,0.506638912669764,1.4642626938049297e-4,0.2490013687531484,203,TRUE
MEDELLÍN,PAPA,011705,3,TRUE,1.0762463735695107,8.498677561687218e-4,0.9399805959236244,203,TRUE
MEDELLÍN,PAPA CRIOLLA,011705,3,TRUE,0.597348628655872,0.01777273707627099,0.187457447679522,203,TRUE
MEDELLÍN,YUCA,011706,3,TRUE,1.0085979997020236,2.1361128145289957e-5,0.9886035180040984,203,TRUE
MEDELLÍN,ARRACACHA,011712,3,TRUE,1.017364037045661,4.088839097287205e-5,0.9873555598269006,203,TRUE
MEDELLÍN,PLÁTANO,011704,3,TRUE,0.9998875291355004,4.810615736861368e-6,0.9978694030912892,203,TRUE
MEDELLÍN,CEBOLLA LARGA,011714,3,TRUE,0.38843969775043447,0.00845215336819926,0.2140202132008432,203,TRUE
MEDELLÍN,CEBOLLA CABEZONA,011714,3,TRUE,1.2588866756530344,0.0023474994528214,0.9114847567597144,203,TRUE
MEDELLÍN,TOMATE,011713,3,TRUE,1.0040379823544776,2.610688084320588e-5,0.9991206080717208,203,TRUE
MEDELLÍN,ZANAHORIA,011715,3,TRUE,0.998374647797474,3.022863275037008e-5,0.998825871500844,203,TRUE
MEDELLÍN,HABICHUELAS FRESCAS,011716,3,TRUE,1.0208315863919286,0.02544674794477517,0.09127717711334853,203,TRUE
MEDELLÍN,REPOLLO,011716,3,TRUE,0.837556235009141,0.0181741014287524,0.08648586438637876,203,TRUE
MEDELLÍN,LECHUGA,011716,3,TRUE,0.9841537845436252,0.01054816137701034,0.18381903578987213,203,TRUE
MEDELLÍN,FRÍJOL FRESCO,011716,3,TRUE,0.3642506756066875,0.00481868766932408,0.0632622768018836,203,TRUE
MEDELLÍN,FRÍJOL SECO,011716,3,TRUE,0.7612943331934917,0.00322624350881873,0.30585378737182445,203,TRUE
MEDELLÍN,ARVEJA FRESCA,011716,3,TRUE,1.1752598637830574,0.01956788215155099,0.14758143798941417,203,TRUE
MEDELLÍN,ARVEJA SECA,011716,3,TRUE,0.02690149039730451,5.402606772642628e-4,0.00327476118124023,203,TRUE
MEDELLÍN,LENTEJAS,011702,3,TRUE,0.05267405701039758,9.94852679359266e-4,0.00703446298804782,203,TRUE
MEDELLÍN,FRÍJOL TARRO,011703,3,TRUE,1.1264075623737422,5.8843476830054186e-5,0.7111938863069173,203,TRUE
MEDELLÍN,ARVEJA TARRO,011703,3,TRUE,0.8108665793980123,1.7673411755844885e-4,0.2981869766898705,203,TRUE
MEDELLÍN,NARANJAS,011605,3,TRUE,1.0038955001972452,8.065290703488126e-5,0.9799946402992936,203,TRUE
MEDELLÍN,BANANOS,011606,3,TRUE,0.9862473065975484,1.2635481321091512e-5,0.9800393525483831,203,TRUE
MEDELLÍN,TOMATE DE ÁRBOL,011607,3,TRUE,0.9983413283100236,2.1731651733782436e-5,0.9978026589514768,203,TRUE
MEDELLÍN,MORAS,011608,3,TRUE,0.9922175477220196,4.680824058193218e-5,0.9912033439380552,203,TRUE
MEDELLÍN,GUAYABAS,011609,3,TRUE,0.0536555298803155,0.00438839622027269,0.0031644763027762,203,TRUE
MEDELLÍN,LIMONES,011609,3,TRUE,0.9004373067393713,0.01292141930540892,0.23291416498900944,203,TRUE
MEDELLÍN,AGUACATE,011609,3,TRUE,0.8044569291549957,0.00341460495454191,0.478380887901688,203,TRUE
MEDELLÍN,MARACUYA,011609,3,TRUE,1.02640634989783,0.00940029512750321,0.35162441464237976,203,TRUE
MEDELLÍN,PIÑAS,011609,3,TRUE,0.24534102516453285,0.00145736863970279,0.1665695116765213,203,TRUE
MEDELLÍN,MANZANAS,011609,3,TRUE,0.4691352909104855,0.00285974346170929,0.2713561340449552,203,TRUE
MEDELLÍN,CARNE DE RES SIN HUESO,011201,3,TRUE,1.0065731583121464,9.180346012249116e-6,0.96864425426279,203,TRUE
MEDELLÍN,CARNE DE RES CON HUESO,011201,3,TRUE,0.7793137503550346,3.2605947085413646e-4,0.3426963273875031,203,TRUE
MEDELLÍN,CARNE DE CERDO SIN HUESO,011202,3,TRUE,1.0619200108942175,3.295964481079722e-5,0.9455457212564076,203,TRUE
MEDELLÍN,CARNE DE CERDO CON HUESO,011202,3,TRUE,0.6979554504085927,5.974107752514514e-4,0.29270606705550856,203,TRUE
MEDELLÍN,POLLO ENTERO POR LIBRA,011203,3,TRUE,0.997805266941156,3.640217193519393e-5,0.9203858239013748,203,TRUE
MEDELLÍN,POLLO DESPRESADO POR LIBRA,011203,3,TRUE,0.4648651180634296,2.3844769894426935e-4,0.27696981451036073,203,TRUE
MEDELLÍN,PESCADO DE MAR,011303,3,TRUE,0.5843495570407409,2.739542939531991e-4,0.2617914860966837,203,TRUE
MEDELLÍN,PESCADO DE RÍO,011303,3,TRUE,0.3002882828908673,2.981982481160294e-4,0.07922031362893608,203,TRUE
MEDELLÍN,PESCADO ENLATADO,011303,3,TRUE,0.3391346569988094,3.476737028278695e-4,0.08602342171459557,203,TRUE
MEDELLÍN,CAMARONES O VARIEDAD DISPONIBLE,011303,3,TRUE,0.3434144937375158,2.837981756288661e-4,0.03750163668738849,83,TRUE
MEDELLÍN,HUEVOS,011405,3,TRUE,1.01045007065222,3.173062844487875e-5,0.9505231978860246,203,TRUE
MEDELLÍN,LECHE PASTEURIZADA,011401,3,TRUE,1.0226015490618283,2.850089482291073e-4,0.5218124288125573,203,TRUE
MEDELLÍN,LECHE LARGA VIDA,011401,3,TRUE,0.8360542723608326,1.9366494714191692e-4,0.5177107823987683,203,TRUE
