alimento_sipsa,lag,RMSE_test_dy,n_test
"Carne de res, punta de anca",5,0.018914941964446815,7
Cebolla cabezona blanca bogotana,4,0.13145911369984736,7
Cebolla cabezona blanca bogotana,5,0.13222674847371854,7
Cebolla cabezona blanca bogotana,1,0.1380653290030551,7
Cebolla cabezona blanca bogotana,3,0.13893568835393524,7
Cebolla cabezona blanca bogotana,2,0.14455736952223336,7
Cebolla cabezona blanca bogotana,6,0.40082767759799065,7
Cebolla cabezona blanca pastusa,2,0.09007590161667597,7
Cebolla cabezona blanca pastusa,1,0.10006063782468308,7
Cebolla cabezona blanca pastusa,4,0.10036999475375484,7
Cebolla cabezona blanca pastusa,3,0.1084580179421879,7
Cebolla cabezona blanca pastusa,5,0.1623749236712495,7
Cebolla cabezona blanca pastusa,6,0.5798830244012564,7
Curuba,1,0.05040364092005837,7
Curuba,2,0.05802697396501909,7
Curuba,4,0.12602466801883627,7
Curuba,3,0.12798984429097401,7
Curuba,5,0.14203499092007663,7
Curuba,6,0.4145332792008582,7
Fríjol verde cargamanto,6,0.24976966821310517,7
Fríjol verde cargamanto,1,0.3379674300090666,7
Fríjol verde cargamanto,3,0.3418928185495755,7
Fríjol verde cargamanto,2,0.4064257215396966,7
Fríjol verde cargamanto,5,0.46947132793973245,7
Fríjol verde cargamanto,4,0.536436721736812,7
Habichuela,3,0.22376772549167093,7
Habichuela,4,0.2590688315614456,7
Habichuela,1,0.26123200504858735,7
Habichuela,2,0.2673552052270167,7
Habichuela,5,0.28313131208600334,7
Habichuela,6,0.33608892671260227,7
Harina de trigo,1,0.01413875427154836,7
Harina de trigo,2,0.01445970577917236,7
Harina de trigo,3,0.015431028309083107,7
Harina de trigo,5,0.01719838933222,7
Harina de trigo,4,0.017445223341346124,7
Harina de trigo,6,0.01915953122638314,7
Harina precocida de maíz,1,0.012639564789008665,7
Harina precocida de maíz,2,0.01266361438544536,7
Harina precocida de maíz,4,0.01386018827724885,7
Harina precocida de maíz,3,0.0151415577183878,7
Harina precocida de maíz,5,0.020172480010102824,7
Harina precocida de maíz,6,0.022370181036114246,7
Huevo rojo A,1,0.034495072170354614,7
Huevo rojo A,2,0.03555661758395515,7
Huevo rojo A,4,0.03673826607292567,7
Huevo rojo A,3,0.03760958681396804,7
Huevo rojo A,5,0.045195906639870685,7
Huevo rojo A,6,0.0567748728515673,7
Huevo rojo AA,1,0.05451777771034659,7
Huevo rojo AA,2,0.08230414561787658,7
Huevo rojo AA,3,0.09097449342014526,7
Huevo rojo AA,4,0.1001764135876706,7
Huevo rojo AA,5,0.10828745400051612,7
Huevo rojo AA,6,0.1201354610985148,7
Leche en polvo,3,0.008242389550184052,7
Leche en polvo,1,0.010439599849048329,7
Leche en polvo,2,0.011523222835349413,7
Leche en polvo,5,0.016280182813159086,7
Leche en polvo,4,0.016824609303717666,7
Leche en polvo,6,0.038423742970165306,7
Lechuga Batavia,2,0.12505892070079022,7
Lechuga Batavia,4,0.12661936456275033,7
Lechuga Batavia,3,0.13155708430889668,7
Lechuga Batavia,5,0.15578079714629073,7
Lechuga Batavia,1,0.156730139816104,7
Lechuga Batavia,6,0.19416757930560133,7
Lenteja importada,6,0.025585940393282103,7
Lenteja importada,5,0.028756957387932294,7
Lenteja importada,4,0.03136103715469846,7
Lenteja importada,1,0.03521775092917729,7
Lenteja importada,3,0.039862849673832704,7
Lenteja importada,2,0.05349114093114746,7
Limón Tahití,2,0.20868426063781628,7
Limón Tahití,3,0.2170264333897291,7
Limón Tahití,4,0.23974281297070285,7
Limón Tahití,1,0.2538225760547756,7
Limón Tahití,5,0.29494503925649246,7
Limón Tahití,6,0.33967748773309686,7
Lomitos de atún en lata,2,0.04126472719083863,7
Lomitos de atún en lata,1,0.049917880154828065,7
Lomitos de atún en lata,3,0.05043252052424668,7
Lomitos de atún en lata,4,0.0580442457606294,7
Lomitos de atún en lata,5,0.08945437559694618,7
Lomitos de atún en lata,6,0.12214478205755833,7
Lulo,4,0.11682992724474371,7
Lulo,2,0.11683052034404351,7
Lulo,3,0.11998084792758784,7
Lulo,6,0.12605814708299712,7
Lulo,1,0.13768516950346477,7
Lulo,5,0.13894802291822123,7
Manzana roja importada,3,0.04069825278763926,7
Manzana roja importada,6,0.0580623545947857,7
Manzana roja importada,1,0.060088298169908155,7
Manzana roja importada,4,0.06709261411223087,7
Manzana roja importada,2,0.07088472865964525,7
Manzana roja importada,5,0.07459864482481714,7
Manzana royal gala importada,3,0.05408460399586686,7
Manzana royal gala importada,1,0.062124377937149415,7
Manzana royal gala importada,6,0.06448094473405235,7
Manzana royal gala importada,2,0.07112164144236544,7
Manzana royal gala importada,4,0.07523193243729832,7
Manzana royal gala importada,5,0.08064920764916371,7
Manzana verde importada,3,0.03411788976853333,7
Manzana verde importada,6,0.03578612590508313,7
Manzana verde importada,4,0.03625982151099099,7
Manzana verde importada,1,0.037672988945652554,7
Manzana verde importada,5,0.04106144631012984,7
Manzana verde importada,2,0.046228902503886345,7
Maracuyá,3,0.1084982727889978,7
Maracuyá,2,0.14838861810419304,7
Maracuyá,1,0.19799653100514997,7
Maracuyá,4,0.21585614921971447,7
Maracuyá,5,0.5009081226295732,7
Maracuyá,6,0.5543994282571627,7
Margarina,2,0.06667714280176736,7
Margarina,1,0.06792756114602429,7
Margarina,4,0.08312184343189083,7
Margarina,5,0.08423297543031674,7
Margarina,3,0.08856962631517912,7
Margarina,6,0.11346085884899906,7
Mora de Castilla,1,0.10748664925559678,7
Mora de Castilla,2,0.11030191937866803,7
Mora de Castilla,3,0.11133722367670554,7
Mora de Castilla,5,0.13028036185834088,7
Mora de Castilla,4,0.1308568112201204,7
Mora de Castilla,6,0.16017198072046146,7
Naranja Sweet,1,0.0423951137992508,6
Naranja Sweet,2,0.060899988600552964,6
Naranja Sweet,5,0.09543191895568093,6
Naranja Sweet,3,0.09570062519726032,6
Naranja Sweet,4,0.16107000378293254,6
Naranja Sweet,6,0.8619130422617365,6
Naranja Valencia,2,0.14008606129607992,6
Naranja Valencia,3,0.1693394971558772,6
Naranja Valencia,1,0.22278289011845673,6
Naranja Valencia,4,0.3657565210879991,6
Naranja Valencia,5,0.5718860749513449,6
Naranja Valencia,6,2.073657756346394,6
Panela redonda morena,3,0.019203050908513066,7
Panela redonda morena,4,0.03400852399925701,7
Panela redonda morena,2,0.037536697181545134,7
Panela redonda morena,1,0.05930226649762957,7
Panela redonda morena,5,0.11653639560625348,7
Panela redonda morena,6,0.16738659478409407,7
Papa Betina,1,0.18080687147467553,6
Papa Betina,4,0.1864936217768902,6
