alimento_sipsa,RMSE_train,MAPE_train,RMSE_test,MAPE_test,n_total
Aguacate papelillo,1810.4102016374854,0.7978305128998349,778.7836121625903,0.22288966308508715,63
Ahuyama,691.5803467804358,0.9307895490997757,477.9687789918976,0.5799020262386654,63
Arracacha amarilla,1734.6267639487044,0.8525974171556765,609.8570286589307,0.39922071792077946,63
Arroz de primera,1033.21871070354,0.6227081353920728,176.62649528941407,0.12077468251344717,63
Arveja verde en vaina pastusa,5176.204478585165,0.9402478761073343,3116.999924383874,0.5713012102815239,63
Arveja verde seca importada,339.6815127599062,0.2409247690769581,48.374695030572006,0.038255480980348915,63
Avena en hojuelas,4435.020886105431,0.7495188850460478,1565.720042839146,0.2446693812157701,63
Avena molida,5552.545522580692,0.9321513654917352,4356.533995940508,0.6205124906407826,63
Azúcar morena,313.55173657204347,0.20608107892521288,58.96003551105644,0.03549124805923898,63
Azúcar sulfitada,533.5149379967794,0.3520780517705819,152.09841300295776,0.09334967003154016,63
Banano criollo,627.9535285756725,0.8576307138858766,327.2957367195587,0.37917862902625776,63
Bocachico importado congelado,4543.741102381991,0.5540387579049205,1332.9149411808123,0.1725845899512107,63
Café molido,2340.6282240511796,0.2632843522231284,675.0071691141053,0.0799198870329299,63
"Carne de cerdo, costilla",2169.18068870946,0.33743505706673715,459.64974380669474,0.06560291381329525,63
"Carne de cerdo, espinazo",2780.5990697727266,0.43757477660499644,650.7055002187378,0.09366655248931406,63
"Carne de res, cadera",2478.8047174654967,0.2730354261436817,427.9166898909477,0.03945878701419662,63
"Carne de res, costilla",1083.4420413475038,0.32989974403742683,105.71684509530584,0.029173014580513978,63
"Carne de res, falda",5629.896618349695,0.6882500428553655,1834.03499623323,0.18896263284160486,63
"Carne de res, lomo de brazo",3700.1809672426966,0.5231138581819273,1189.1023662690804,0.1259652139966064,43
"Carne de res, lomo fino",610.041438951159,0.0626492817916622,171.07770833400534,0.02087535361858507,43
"Carne de res, pecho",4801.387992356039,0.5712201516207628,777.938721019602,0.07666352123506152,63
"Carne de res, punta de anca",1816.453774255007,0.22854025489543725,333.80684398919345,0.03372674145966831,63
Cebolla cabezona blanca bogotana,1089.3124626956162,0.787624459565172,402.06962839870107,0.31885369833885685,63
Cebolla cabezona blanca pastusa,1041.8411618835526,0.7468274372458579,325.49630279124347,0.2699486640202246,63
Cebolla cabezona roja importada,3658.1536109652025,2.376878139021492,254.0754954540404,0.20527886216311936,39
Curuba,1101.2172163792561,0.7359838703959873,363.45802247407596,0.2224619832291686,63
Fríjol verde cargamanto,4256.259823058513,0.9817367000127668,3807.007595351552,0.8155028111094935,63
Habichuela,1394.8223644287482,0.9816681985609624,1269.536579197789,0.8397570539990982,63
Harina de trigo,602.1719420657587,0.414665042955477,171.19028472181918,0.1028723229434208,63
Harina precocida de maíz,80.92936441297064,0.03827187475083621,19.940730436423095,0.008744606617386937,63
Huevo blanco extra,2621.0513424622354,0.8996679383699068,1267.1672667820294,0.38145196723849417,40
Huevo rojo A,2451.3788166405257,0.7629701269857677,646.1784770409386,0.18591991713395117,63
Huevo rojo AA,2699.78070309923,0.8585673954211515,1023.0625634215179,0.29572079539890295,63
Huevo rojo extra,2185.897497093994,0.6427178666052106,537.5957273683019,0.15141157975583722,50
Leche en polvo,632.5447007421599,0.06393307412139629,278.5693846723833,0.019662307025507534,63
Lechuga Batavia,987.6504663971248,0.9608066198610454,634.3298139302781,0.6305817258455731,63
Lenteja importada,677.1749093264539,0.18039930265346033,71.8280158995387,0.02566708164006358,63
Limón Tahití,1040.203168930021,0.9761826907015851,930.9031213489523,0.7396858321917069,63
Lomitos de atún en lata,9044.960597804984,0.6863421799478003,4141.829306942333,0.27955093127226915,63
Lulo,1559.6456013534148,0.889654979935842,685.5570868228585,0.4466543631711643,63
Mango común,1819.6149248955987,0.9298346058338234,1243.664222050529,0.7717252974798783,39
Manzana roja importada,2369.078867333051,0.7539771923534047,837.034829428182,0.23102820783894518,63
Manzana royal gala importada,2389.9459954273166,0.765104647895985,905.6964285986822,0.2507703307012569,63
Manzana verde importada,2109.9153894809688,0.6489940219345273,133.6357299677221,0.03140440077596589,63
Maracuyá,1541.1192249047456,0.9668560281051894,1507.2586206812991,0.8050890452586145,63
Margarina,28131.377596782408,6.065605045612712,922.8563720158407,0.22899773659812434,63
Mora de Castilla,774.8113931688275,0.24353104137048684,416.4422497091043,0.1508971282014546,63
Naranja Sweet,435.0347083115122,0.5346766369530358,81.23223606572327,0.1110041638166154,51
Naranja Valencia,594.7478145495055,0.8604445577251574,287.0663355066219,0.3289267662269641,51
Panela redonda morena,99.1063572453761,0.05515258657163505,146.4721614342672,0.049551985132419006,63
Papa Betina,681.164401299547,0.8701131005846474,416.54072222283895,0.45024693396714066,51
Papa capira,682.871272397755,0.9192561505521518,507.4383794449411,0.5394993474266939,63
