model,n_dates,mean_mid,median_mid,sd_mid,min_mid,max_mid
m0,231,1602.6584070738834,1692.056572440511,486.0626496060812,764.7440802416285,2640.9572256781044
baseline,231,1561.0205108021235,1692.0565724405112,417.1593631443884,764.7440802416287,2294.0193742175984
m6,63,2358.247525689154,2293.2210751569205,180.86285959087635,2086.6171711553516,2647.3290645840457
m1,63,2379.8726385159944,2383.759975751329,184.82256939529304,2070.400445847638,2646.7875464575395
