fecha,low_m1,low_m6,up_m1,up_m6
2013-01-01,1982.1400629074399,NA,2184.832533065046,NA
2013-02-01,1990.4368552709243,NA,2195.511437695572,NA
2013-03-01,2004.9378961357288,NA,2211.71430712295,NA
2013-04-01,2019.8857155392545,NA,2225.0725226114005,NA
2013-05-01,2031.247810034077,NA,2232.8016805237853,NA
2013-06-01,2035.412003252275,NA,2233.031067991672,NA
2013-07-01,2034.1009600922505,NA,2232.6712051715053,NA
2013-08-01,2020.253130493713,NA,2212.2169351441516,NA
2013-09-01,2008.5071943439336,NA,2195.226656021817,NA
2013-10-01,1999.71069763229,NA,2182.842314037613,NA
2013-11-01,1985.8876817884761,NA,2159.9597251973005,NA
2013-12-01,1988.5896586697315,NA,2158.398675536296,NA
2014-01-01,2092.2348141875855,NA,2321.044598622204,NA
2014-02-01,2090.297372738176,NA,2330.072476829071,NA
2014-03-01,2089.3553521830822,NA,2341.9282296084652,NA
2014-04-01,2090.391157995726,NA,2360.448411277266,NA
2014-05-01,2090.1562844269724,NA,2352.6155657521294,NA
2014-06-01,2092.6966598614995,NA,2344.830870163964,NA
2014-07-01,2102.2368351524888,NA,2333.517500563053,NA
2014-08-01,2109.7703026270733,NA,2334.158342213175,NA
2014-09-01,2112.0218264295236,NA,2324.2382744042625,NA
2014-10-01,2112.473209280488,NA,2329.3718527706615,NA
2014-11-01,2137.106897966041,NA,2356.229699576925,NA
2014-12-01,2143.8213643851927,NA,2379.4184659822217,NA
2015-01-01,2255.8669808149043,NA,2516.990844590054,NA
2015-02-01,2251.233603757363,NA,2510.4703230534064,NA
2015-03-01,2255.3481775669748,NA,2494.834810209947,NA
2015-04-01,2243.548195297305,NA,2472.811056965247,NA
2015-05-01,2242.5437909833545,NA,2471.4756020334416,NA
2015-06-01,2241.2385488214763,NA,2466.4052063267018,NA
2015-07-01,2243.343068727446,NA,2469.3878287136004,NA
2015-08-01,2253.532129389657,NA,2484.70486462891,NA
2015-09-01,2274.2972865194747,NA,2515.3346674968516,NA
2015-10-01,2303.5619146763074,NA,2555.8382904363607,NA
2015-11-01,2285.399825940019,NA,2544.6244845583406,NA
2015-12-01,2325.2913883235756,NA,2610.646253111586,NA
2016-01-01,2400.5400995200007,NA,2684.3121652640107,NA
2016-02-01,2407.38757884724,NA,2686.316256274389,NA
2016-03-01,2405.812258630441,NA,2689.9349308832698,NA
2016-04-01,2391.401869892806,NA,2662.960122750138,NA
2016-05-01,2386.4491028703674,NA,2650.108847184751,NA
2016-06-01,2395.148530409049,NA,2659.4785601373037,NA
2016-07-01,2402.74049164196,NA,2666.7671321657667,NA
2016-08-01,2357.3950852238067,NA,2599.4410437969323,NA
2016-09-01,2358.1183675880584,2286.9555885806385,2583.4602805286413,2632.5156923664867
2016-10-01,2376.447815800094,2295.078052282808,2609.927773419312,2637.3348748108056
2016-11-01,2393.636339295021,2313.9949911165454,2626.854528954203,2657.9900804464787
2016-12-01,2418.15266572952,2320.942852858887,2645.0008772246456,2671.335827778311
2017-01-01,2445.200322948801,2349.256739169396,2682.580504630447,2692.163882301127
2017-02-01,2446.2935197750508,2319.2283882677966,2682.672679256167,2649.4903371071896
2017-03-01,2447.1302047095696,2342.0681141408336,2669.504148279753,2689.800892541844
2017-04-01,2453.951563025736,2392.2069450244094,2697.834483503442,2742.2979913127983
2017-05-01,2462.821489839888,2389.5838872727254,2706.749158466138,2739.252528862883
2017-06-01,2473.4038380000516,2401.48648989918,2719.29610686732,2756.657232578303
2017-07-01,2485.6399997209596,2413.0104457566,2736.0795611346784,2772.995948205892
2017-08-01,2504.125628958653,2419.6291247893587,2761.638173826654,2774.5545705576583
2017-09-01,2487.4376593919847,2364.4765516326943,2792.069200911225,2790.657922228653
2017-10-01,2449.364278372398,2310.363925395367,2726.096396486022,2800.66257362932
2017-11-01,2449.7382556302837,2263.8679040230936,2720.6662078853406,2801.233823612368
2017-12-01,2503.710750820447,2307.091633956965,2808.5418934320705,2767.672823191171
2018-01-01,2488.794420491245,2390.4038437154927,2762.095208824865,2750.05806799809
2018-02-01,2478.0464188267824,2379.0623959977884,2748.538995262737,2737.0969073210017
2018-03-01,2472.8301436531838,2396.249840804288,2742.658982382279,2761.2849609393056
