ciudad,cod_subclase,fecha,ipc_obs,ipc_fit
CALI,01110300,2015-01-01,80.11000000000003,81.0124439381371
CALI,01110300,2015-02-01,81.40000000000003,81.36412334297529
CALI,01110300,2015-03-01,82.23,82.21785334525224
CALI,01110300,2015-04-01,83.60999999999999,83.8424531243338
CALI,01110300,2015-05-01,83.93000000000004,84.01576718493581
CALI,01110300,2015-06-01,84.33,84.42038099506497
CALI,01110300,2015-07-01,84.90000000000002,84.8405630395544
CALI,01110300,2015-08-01,85.17000000000003,84.97723799364361
CALI,01110300,2015-09-01,84.33,84.59742038076207
CALI,01110300,2015-10-01,85.76999999999998,86.86591666802616
CALI,01110300,2015-11-01,86.73000000000003,87.65719790967191
CALI,01110300,2015-12-01,87.11999999999999,87.85104758702282
CALI,01110300,2016-01-01,87.48000000000002,88.05796243055477
CALI,01110300,2016-02-01,87.76999999999998,88.07570443943976
CALI,01110300,2016-03-01,86.52000000000002,86.22284044170725
CALI,01110300,2016-04-01,89.45999999999997,88.44423739447035
CALI,01110300,2016-05-01,90.51999999999997,89.25180768210045
CALI,01110300,2016-06-01,90.64,89.20514646765336
CALI,01110300,2016-07-01,90.56,89.07070402880244
CALI,01110300,2016-08-01,91.20999999999998,89.96555865084245
CALI,01110300,2016-09-01,91.13,89.66779366297561
CALI,01110300,2016-10-01,91.70999999999995,91.2764142712608
CALI,01110300,2016-11-01,92.57999999999998,92.60455790756272
CALI,01110300,2016-12-01,93.35999999999997,93.68580946793051
CALI,01110300,2017-01-01,93.54,93.32222951121514
CALI,01110300,2017-02-01,88.39000000000001,86.95623397149502
CALI,01110300,2017-03-01,92.34000000000002,92.65059231625031
CALI,01110300,2017-04-01,97.12,97.88854501564549
CALI,01110300,2017-05-01,94.69999999999997,96.05942529313651
CALI,01110300,2017-06-01,96.05999999999997,96.45556811499831
CALI,01110300,2017-07-01,97.42,98.50587146640719
CALI,01110300,2017-08-01,96.37000000000002,97.78095558797192
CALI,01110300,2017-09-01,96.93999999999997,98.27952825346682
CALI,01110300,2017-10-01,95.9,97.1396677330714
CALI,01110300,2017-11-01,97.41,97.82286044675476
CALI,01110300,2017-12-01,96.93000000000002,96.37700185874662
CALI,01110300,2018-01-01,97.12,96.41973454659009
CALI,01110300,2018-02-01,97.93000000000002,97.22274254591942
CALI,01110300,2018-03-01,98.51999999999997,97.33042395776158
MEDELLIN,01110300,2015-01-01,79.53999999999998,81.16194721286142
MEDELLIN,01110300,2015-02-01,81.27000000000001,82.45408069592688
MEDELLIN,01110300,2015-03-01,81.68999999999997,83.28095838603647
MEDELLIN,01110300,2015-04-01,82.55999999999999,85.17257113346255
MEDELLIN,01110300,2015-05-01,82.95000000000002,84.26881150849943
MEDELLIN,01110300,2015-06-01,83.17999999999998,85.18005655737805
MEDELLIN,01110300,2015-07-01,83.35999999999999,85.43851602061578
MEDELLIN,01110300,2015-08-01,84.62999999999997,85.75285433925062
MEDELLIN,01110300,2015-09-01,84.92999999999998,86.51822386686166
MEDELLIN,01110300,2015-10-01,86.40999999999997,87.79855609595867
MEDELLIN,01110300,2015-11-01,87.81999999999998,89.51775719483958
MEDELLIN,01110300,2015-12-01,88.49999999999996,88.4719252299961
MEDELLIN,01110300,2016-01-01,88.72000000000001,87.49581714550055
MEDELLIN,01110300,2016-02-01,89.54000000000002,88.56956674333063
MEDELLIN,01110300,2016-03-01,91.07999999999996,89.16519964691558
MEDELLIN,01110300,2016-04-01,93.48999999999997,92.19030583493384
MEDELLIN,01110300,2016-05-01,93.26,90.9047353369159
MEDELLIN,01110300,2016-06-01,93.73000000000002,91.0603634103926
MEDELLIN,01110300,2016-07-01,93.36999999999999,91.12305480003899
MEDELLIN,01110300,2016-08-01,93.76000000000003,91.96454881844808
MEDELLIN,01110300,2016-09-01,94.23999999999998,91.7009141416546
MEDELLIN,01110300,2016-10-01,94.53,91.59798403275619
MEDELLIN,01110300,2016-11-01,95.14000000000003,93.23056422987963
MEDELLIN,01110300,2016-12-01,95.96000000000001,93.85705293555353
MEDELLIN,01110300,2017-01-01,96.16999999999999,93.38046877632028
MEDELLIN,01110300,2017-02-01,96.64,94.82985680980887
MEDELLIN,01110300,2017-03-01,96.71999999999997,95.20331003700208
MEDELLIN,01110300,2017-04-01,97.91999999999999,96.82916254455984
MEDELLIN,01110300,2017-05-01,98.56999999999998,98.46268166786253
MEDELLIN,01110300,2017-06-01,98.95000000000003,99.53299072475008
MEDELLIN,01110300,2017-07-01,99.01999999999998,99.50497076341769
MEDELLIN,01110300,2017-08-01,98.83999999999996,99.89580619056201
MEDELLIN,01110300,2017-09-01,98.54999999999995,99.93214525954801
MEDELLIN,01110300,2017-10-01,98.42,99.66672063557645
MEDELLIN,01110300,2017-11-01,98.87999999999995,100.01570026241802
MEDELLIN,01110300,2017-12-01,99.24,101.41497497851273
MEDELLIN,01110300,2018-01-01,99.31000000000004,100.86554567997655
MEDELLIN,01110300,2018-02-01,100.13999999999996,100.9895181619267
MEDELLIN,01110300,2018-03-01,100.17999999999999,101.71181501747996
MEDELLIN,01110600,2015-01-01,101.51999999999997,102.86328338632192
MEDELLIN,01110600,2015-02-01,113.73,104.92291012028663
MEDELLIN,01110600,2015-03-01,115.66000000000001,104.35179745776217
MEDELLIN,01110600,2015-04-01,116.73000000000003,103.94610704966664
MEDELLIN,01110600,2015-05-01,113.83999999999996,104.89707999471803
MEDELLIN,01110600,2015-06-01,110.30000000000001,105.20772315130495
MEDELLIN,01110600,2015-07-01,109.74000000000002,105.82766246299299
MEDELLIN,01110600,2015-08-01,107.54999999999998,106.49482139525641
MEDELLIN,01110600,2015-09-01,107.56000000000004,106.77711835596111
MEDELLIN,01110600,2015-10-01,107.56999999999996,105.37209511508846
MEDELLIN,01110600,2015-11-01,107.31,106.93249088642044
MEDELLIN,01110600,2015-12-01,107.13999999999996,107.46860902280093
MEDELLIN,01110600,2016-01-01,109.77999999999999,106.66589775793767
MEDELLIN,01110600,2016-02-01,116.68,107.74778008423448
MEDELLIN,01110600,2016-03-01,120.11,107.04659257643281
MEDELLIN,01110600,2016-04-01,121.25,108.44076900409911
MEDELLIN,01110600,2016-05-01,116.81000000000004,108.20904210264604
MEDELLIN,01110600,2016-06-01,114.76000000000005,108.96033274732433
MEDELLIN,01110600,2016-07-01,115.61999999999999,108.21398443823239
MEDELLIN,01110600,2016-08-01,114.78999999999996,108.97803310848298
MEDELLIN,01110600,2016-09-01,113.09000000000002,110.76587040723983
MEDELLIN,01110600,2016-10-01,112.28,110.06819926848547
MEDELLIN,01110600,2016-11-01,112.15000000000003,111.75559421461772
MEDELLIN,01110600,2016-12-01,111.92999999999996,111.7058505618452
MEDELLIN,01110600,2017-01-01,112.36,111.91350744136001
MEDELLIN,01110600,2017-02-01,112.21000000000002,113.20219690752154
MEDELLIN,01110600,2017-03-01,111.72999999999999,113.42381319797583
MEDELLIN,01110600,2017-04-01,112.72000000000004,112.72340607623224
MEDELLIN,01110600,2017-05-01,111.63999999999999,114.47559705188104
MEDELLIN,01110600,2017-06-01,110.70999999999995,114.55046779626892
MEDELLIN,01110600,2017-07-01,110.57,114.91563429010094
MEDELLIN,01110600,2017-08-01,109.67999999999996,114.75981891712605
MEDELLIN,01110600,2017-09-01,104.66000000000003,115.27315200671951
MEDELLIN,01110600,2017-10-01,102.45,115.35781081123976
MEDELLIN,01110600,2017-11-01,101.09000000000005,115.69681879697532
MEDELLIN,01110600,2017-12-01,99.85999999999996,114.49392807113382
MEDELLIN,01110600,2018-01-01,99.46000000000001,114.38983791911825
MEDELLIN,01110600,2018-02-01,98.83999999999996,116.3062686248843
MEDELLIN,01110600,2018-03-01,98.67000000000004,116.42150329468508
