Food,quantity,Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
Azúcar morena,722.9566726923078,19 a 30 años,0,3396.082352177109,1204.4848323610258,CALI,2023-09-01,q2
Azúcar morena,684.8444762820515,31 a 50 años,0,3217.050658411048,1204.4848323610258,CALI,2023-09-01,q2
Azúcar morena,556.7079530491027,51 a 70 años,0,2615.1305134593526,1204.4848323610258,CALI,2023-09-01,q2
Azúcar morena,519.4085201948128,>70 años,0,2439.916769057576,1204.4848323610258,CALI,2023-09-01,q2
Azúcar morena,261.30910263630255,1 a 3 años,1,1241.265747823336,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,337.5825260289436,4 a 8 años,1,1603.5783767036419,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,464.41206857444104,9 a 13 años,1,2206.041763495578,1217.9953375586458,CALI,2023-10-01,q2
Azúcar morena,541.7796094235513,14 a 18 años,1,2573.5516492226957,1217.9953375586458,CALI,2023-10-01,q2
Azúcar morena,520.9817730625641,19 a 30 años,1,2474.7581451186347,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,491.4067746953846,31 a 50 años,1,2334.271525652471,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,446.45799684102576,51 a 70 años,1,2120.756658415754,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,419.763571643077,>70 años,1,1993.9532852391064,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,646.2557046153847,gestantes < 18 años,1,3069.8320968596427,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,642.7766448574359,gestantes 19 a 30 años,1,3053.305930458992,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,613.2016464902565,gestantes 31 a 50 años,1,2912.819310992828,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,653.9480123076925,lactantes < 18 años,1,3106.3719569864024,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,650.4689525497438,lactantes 19 a 30 años,1,3089.8457905857517,1217.9953375586463,CALI,2023-10-01,q2
Azúcar morena,620.8939541825641,lactantes 31 a 50 años,1,2949.3591711195872,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,284.77277499089746,1 a 3 años,0,1352.7224575899468,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,368.3084683406667,4 a 8 años,0,1749.532189166963,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,514.5147263989334,9 a 13 años,0,2444.038497650736,1217.9953375586458,CALI,2023-10-01,q2
Azúcar morena,704.2905298856796,14 a 18 años,0,3345.508068581117,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,722.9566726923078,19 a 30 años,0,3434.1756407249577,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,684.8444762820513,31 a 50 años,0,3253.1357783508915,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,556.7079530491026,51 a 70 años,0,2644.4639956629358,1217.995337558646,CALI,2023-10-01,q2
Azúcar morena,519.4085201948127,>70 años,0,2467.284907953519,1217.995337558646,CALI,2023-10-01,q2
Arveja verde seca importada,272.48810167956685,1 a 3 años,1,1237.635632042803,1214.4332767322353,CALI,2023-11-01,q2
Arveja verde seca importada,352.02455922804273,4 a 8 años,1,1598.8886676862126,1214.4332767322353,CALI,2023-11-01,q2
