Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
gestantes 31 a 50 años,1,4704.899550533901,1967.3536544487672,BOGOTÁ D.C.,2013-03-01,q3
gestantes < 18 años,1,6299.701070903963,2499.4873629153158,BOGOTÁ D.C.,2013-03-01,q3
lactantes 19 a 30 años,1,3943.3470107902444,1554.439476608268,BOGOTÁ D.C.,2013-03-01,q3
lactantes 31 a 50 años,1,3959.041828099987,1634.9634642819265,BOGOTÁ D.C.,2013-03-01,q3
lactantes < 18 años,1,3973.5643863256832,1558.0178301407743,BOGOTÁ D.C.,2013-03-01,q3
1 a 3 años,0,2019.381734312977,1818.2573397395727,BOGOTÁ D.C.,2013-03-01,q3
14 a 18 años,0,3631.0842368162143,1321.96473003902,BOGOTÁ D.C.,2013-03-01,q3
19 a 30 años,0,3650.164523997312,1294.599879758159,BOGOTÁ D.C.,2013-03-01,q3
31 a 50 años,0,3681.1979723117415,1378.2646260092504,BOGOTÁ D.C.,2013-03-01,q3
4 a 8 años,0,2575.0597870967226,1792.7139803648313,BOGOTÁ D.C.,2013-03-01,q3
51 a 70 años,0,3551.8644842864896,1635.9286375598829,BOGOTÁ D.C.,2013-03-01,q3
9 a 13 años,0,3427.6677194105037,1708.1904826600382,BOGOTÁ D.C.,2013-03-01,q3
>70 años,0,3313.889563839294,1635.9286375598826,BOGOTÁ D.C.,2013-03-01,q3
1 a 3 años,1,1567.9605129483539,1538.5654503046812,BOGOTÁ D.C.,2013-04-01,q3
14 a 18 años,1,3663.458424225481,1733.819984298879,BOGOTÁ D.C.,2013-04-01,q3
19 a 30 años,1,3691.301714750038,1816.7384505661423,BOGOTÁ D.C.,2013-04-01,q3
31 a 50 años,1,3726.8948318404778,1944.6497456997004,BOGOTÁ D.C.,2013-04-01,q3
4 a 8 años,1,2610.01585607347,1982.4332816132246,BOGOTÁ D.C.,2013-04-01,q3
51 a 70 años,1,3431.5721633644343,1970.8243653929142,BOGOTÁ D.C.,2013-04-01,q3
9 a 13 años,1,3438.0231105828007,1898.1943988560604,BOGOTÁ D.C.,2013-04-01,q3
>70 años,1,3271.443759750174,1998.343329284316,BOGOTÁ D.C.,2013-04-01,q3
gestantes 19 a 30 años,1,4300.248420650349,1715.4136028255443,BOGOTÁ D.C.,2013-04-01,q3
gestantes 31 a 50 años,1,4691.093119171987,1961.580495447523,BOGOTÁ D.C.,2013-04-01,q3
gestantes < 18 años,1,6263.398067203949,2485.083679636398,BOGOTÁ D.C.,2013-04-01,q3
lactantes 19 a 30 años,1,3938.635810841603,1552.5823549394831,BOGOTÁ D.C.,2013-04-01,q3
lactantes 31 a 50 años,1,3955.050543292075,1633.3151854512332,BOGOTÁ D.C.,2013-04-01,q3
lactantes < 18 años,1,3971.0008316660596,1557.0126711754476,BOGOTÁ D.C.,2013-04-01,q3
1 a 3 años,0,2016.0024561523337,1815.2146276004648,BOGOTÁ D.C.,2013-04-01,q3
14 a 18 años,0,3628.9930152407496,1321.203381365955,BOGOTÁ D.C.,2013-04-01,q3
19 a 30 años,0,3641.8411383299353,1291.647833620824,BOGOTÁ D.C.,2013-04-01,q3
31 a 50 años,0,3677.09343047296,1376.7278586676994,BOGOTÁ D.C.,2013-04-01,q3
4 a 8 años,0,2574.0595013638663,1792.0175980033976,BOGOTÁ D.C.,2013-04-01,q3
51 a 70 años,0,3551.4937854610107,1635.757899958315,BOGOTÁ D.C.,2013-04-01,q3
9 a 13 años,0,3423.7881003130883,1706.2570605902888,BOGOTÁ D.C.,2013-04-01,q3
>70 años,0,3313.5437018351217,1635.7578999583145,BOGOTÁ D.C.,2013-04-01,q3
1 a 3 años,1,1563.621117584762,1534.307406988838,BOGOTÁ D.C.,2013-05-01,q3
14 a 18 años,1,3662.1379840454497,1733.1950541624635,BOGOTÁ D.C.,2013-05-01,q3
19 a 30 años,1,3692.8832361613145,1817.5168238825615,BOGOTÁ D.C.,2013-05-01,q3
31 a 50 años,1,3729.6841365618293,1946.1051719891552,BOGOTÁ D.C.,2013-05-01,q3
4 a 8 años,1,2608.3641591235446,1981.178737891768,BOGOTÁ D.C.,2013-05-01,q3
51 a 70 años,1,3432.864668275847,1971.566678260001,BOGOTÁ D.C.,2013-05-01,q3
9 a 13 años,1,3430.6573304800568,1894.127619173407,BOGOTÁ D.C.,2013-05-01,q3
>70 años,1,3272.8461137115833,1999.199949446328,BOGOTÁ D.C.,2013-05-01,q3
gestantes 19 a 30 años,1,4294.883250225351,1713.2733808127882,BOGOTÁ D.C.,2013-05-01,q3
gestantes 31 a 50 años,1,4678.652100441387,1956.3782837097485,BOGOTÁ D.C.,2013-05-01,q3
gestantes < 18 años,1,6235.386275857756,2473.9696414146592,BOGOTÁ D.C.,2013-05-01,q3
lactantes 19 a 30 años,1,3935.4304572560904,1551.3188272467105,BOGOTÁ D.C.,2013-05-01,q3
lactantes 31 a 50 años,1,3952.3280088533256,1632.1908618064067,BOGOTÁ D.C.,2013-05-01,q3
lactantes < 18 años,1,3970.2001455864197,1556.6987255418462,BOGOTÁ D.C.,2013-05-01,q3
1 a 3 años,0,2011.6837748278783,1811.3260740480587,BOGOTÁ D.C.,2013-05-01,q3
14 a 18 años,0,3617.327044090249,1316.9561644476335,BOGOTÁ D.C.,2013-05-01,q3
19 a 30 años,0,3636.117919076663,1289.617985675959,BOGOTÁ D.C.,2013-05-01,q3
31 a 50 años,0,3676.596686741769,1376.5418745618617,BOGOTÁ D.C.,2013-05-01,q3
4 a 8 años,0,2572.311822778078,1790.8008931136328,BOGOTÁ D.C.,2013-05-01,q3
51 a 70 años,0,3545.6530278861533,1633.0677459209892,BOGOTÁ D.C.,2013-05-01,q3
9 a 13 años,0,3415.1978593270924,1701.976083232684,BOGOTÁ D.C.,2013-05-01,q3
>70 años,0,3308.094275017781,1633.0677459209892,BOGOTÁ D.C.,2013-05-01,q3
1 a 3 años,1,1557.7711642864517,1528.5671246560687,BOGOTÁ D.C.,2013-06-01,q3
14 a 18 años,1,3646.7207485896147,1725.8984759456491,BOGOTÁ D.C.,2013-06-01,q3
19 a 30 años,1,3677.421119709296,1809.9068738818803,BOGOTÁ D.C.,2013-06-01,q3
31 a 50 años,1,3714.4170710012754,1938.1389973316295,BOGOTÁ D.C.,2013-06-01,q3
4 a 8 años,1,2601.482640900781,1975.9518919620461,BOGOTÁ D.C.,2013-06-01,q3
51 a 70 años,1,3419.4292383366346,1963.850427100399,BOGOTÁ D.C.,2013-06-01,q3
9 a 13 años,1,3420.137380460642,1888.3193655457517,BOGOTÁ D.C.,2013-06-01,q3
>70 años,1,3259.9120993942724,1991.2992783264942,BOGOTÁ D.C.,2013-06-01,q3
gestantes 19 a 30 años,1,4301.1681101400145,1715.780476481451,BOGOTÁ D.C.,2013-06-01,q3
gestantes 31 a 50 años,1,4684.238160738573,1958.7140947131393,BOGOTÁ D.C.,2013-06-01,q3
gestantes < 18 años,1,6239.26532831891,2475.5087053322773,BOGOTÁ D.C.,2013-06-01,q3
lactantes 19 a 30 años,1,3908.3306944527976,1540.6362925891856,BOGOTÁ D.C.,2013-06-01,q3
lactantes 31 a 50 años,1,3925.215878478729,1620.9943792918668,BOGOTÁ D.C.,2013-06-01,q3
lactantes < 18 años,1,3944.7663865016234,1546.7262559175754,BOGOTÁ D.C.,2013-06-01,q3
1 a 3 años,0,2005.7344240885923,1805.9692608882697,BOGOTÁ D.C.,2013-06-01,q3
14 a 18 años,0,3598.810521551767,1310.2148750358351,BOGOTÁ D.C.,2013-06-01,q3
19 a 30 años,0,3615.3599770043497,1282.255788948902,BOGOTÁ D.C.,2013-06-01,q3
31 a 50 años,0,3656.8796478888903,1369.1596861041935,BOGOTÁ D.C.,2013-06-01,q3
4 a 8 años,0,2564.816554921745,1785.5828117546275,BOGOTÁ D.C.,2013-06-01,q3
51 a 70 años,0,3524.5902752948555,1623.366598734089,BOGOTÁ D.C.,2013-06-01,q3
9 a 13 años,0,3403.662723407442,1696.2275069388568,BOGOTÁ D.C.,2013-06-01,q3
>70 años,0,3288.4427268501,1623.366598734089,BOGOTÁ D.C.,2013-06-01,q3
1 a 3 años,1,1551.2006524269761,1522.1197923064756,BOGOTÁ D.C.,2013-07-01,q3
14 a 18 años,1,3629.1217135874067,1717.569308514427,BOGOTÁ D.C.,2013-07-01,q3
19 a 30 años,1,3652.0271031123198,1797.4087661864157,BOGOTÁ D.C.,2013-07-01,q3
31 a 50 años,1,3693.33378495345,1927.1379874552213,BOGOTÁ D.C.,2013-07-01,q3
4 a 8 años,1,2591.2664127456483,1968.1921725482503,BOGOTÁ D.C.,2013-07-01,q3
51 a 70 años,1,3397.404828240272,1951.2013432443584,BOGOTÁ D.C.,2013-07-01,q3
9 a 13 años,1,3404.9122926681825,1879.9133207223765,BOGOTÁ D.C.,2013-07-01,q3
>70 años,1,3238.8656537993284,1978.4431734231234,BOGOTÁ D.C.,2013-07-01,q3
gestantes 19 a 30 años,1,4308.646775127158,1718.7637933492756,BOGOTÁ D.C.,2013-07-01,q3
gestantes 31 a 50 años,1,4686.022377482043,1959.4601649090037,BOGOTÁ D.C.,2013-07-01,q3
gestantes < 18 años,1,6230.0018248805145,2471.8332912892565,BOGOTÁ D.C.,2013-07-01,q3
lactantes 19 a 30 años,1,3859.6489653664166,1521.4462996023171,BOGOTÁ D.C.,2013-07-01,q3
lactantes 31 a 50 años,1,3876.593554895198,1600.914843368834,BOGOTÁ D.C.,2013-07-01,q3
lactantes < 18 años,1,3899.6439464310315,1529.0339375517785,BOGOTÁ D.C.,2013-07-01,q3
1 a 3 años,0,1998.0651529100815,1799.063826232326,BOGOTÁ D.C.,2013-07-01,q3
14 a 18 años,0,3567.9434327525896,1298.977128938281,BOGOTÁ D.C.,2013-07-01,q3
19 a 30 años,0,3578.5570962111947,1269.2029512653944,BOGOTÁ D.C.,2013-07-01,q3
31 a 50 años,0,3622.192024738443,1356.1724128554856,BOGOTÁ D.C.,2013-07-01,q3
4 a 8 años,0,2553.9743154935913,1778.03462421355,BOGOTÁ D.C.,2013-07-01,q3
51 a 70 años,0,3504.0610078021577,1613.9111657497986,BOGOTÁ D.C.,2013-07-01,q3
9 a 13 años,0,3385.209866517983,1687.0314596267774,BOGOTÁ D.C.,2013-07-01,q3
>70 años,0,3269.288920279413,1613.9111657497986,BOGOTÁ D.C.,2013-07-01,q3
1 a 3 años,1,1547.801004790054,1518.7838789632385,BOGOTÁ D.C.,2013-08-01,q3
14 a 18 años,1,3616.5557326146186,1711.6221551941937,BOGOTÁ D.C.,2013-08-01,q3
19 a 30 años,1,3636.7796522732597,1789.904467608065,BOGOTÁ D.C.,2013-08-01,q3
31 a 50 años,1,3677.656456207258,1918.9577423093976,BOGOTÁ D.C.,2013-08-01,q3
4 a 8 años,1,2586.3049313078536,1964.4236874244373,BOGOTÁ D.C.,2013-08-01,q3
51 a 70 años,1,3384.6026572931264,1943.8487860986872,BOGOTÁ D.C.,2013-08-01,q3
9 a 13 años,1,3395.094647192208,1874.4928220663348,BOGOTÁ D.C.,2013-08-01,q3
>70 años,1,3226.981406578692,1971.1837467298078,BOGOTÁ D.C.,2013-08-01,q3
gestantes 19 a 30 años,1,4295.478726431709,1713.5109224353566,BOGOTÁ D.C.,2013-08-01,q3
gestantes 31 a 50 años,1,4680.8008042669235,1957.2767641727546,BOGOTÁ D.C.,2013-08-01,q3
gestantes < 18 años,1,6229.504647041636,2471.636029593094,BOGOTÁ D.C.,2013-08-01,q3
lactantes 19 a 30 años,1,3833.0170891461617,1510.9482025242692,BOGOTÁ D.C.,2013-08-01,q3
lactantes 31 a 50 años,1,3850.2092508194714,1590.0189309066734,BOGOTÁ D.C.,2013-08-01,q3
lactantes < 18 años,1,3874.8240139954755,1519.302146767309,BOGOTÁ D.C.,2013-08-01,q3
1 a 3 años,0,1994.703710196185,1796.0371731823438,BOGOTÁ D.C.,2013-08-01,q3
14 a 18 años,0,3548.4541902609603,1291.8817024739596,BOGOTÁ D.C.,2013-08-01,q3
19 a 30 años,0,3557.552730484599,1261.7533557295774,BOGOTÁ D.C.,2013-08-01,q3
31 a 50 años,0,3601.231688573443,1348.3247257434557,BOGOTÁ D.C.,2013-08-01,q3
4 a 8 años,0,2548.6345854482147,1774.3171925833667,BOGOTÁ D.C.,2013-08-01,q3
51 a 70 años,0,3479.2934644890097,1602.503654690229,BOGOTÁ D.C.,2013-08-01,q3
9 a 13 años,0,3374.849800792317,1681.8684837728613,BOGOTÁ D.C.,2013-08-01,q3
>70 años,0,3246.1808023682456,1602.503654690229,BOGOTÁ D.C.,2013-08-01,q3
1 a 3 años,1,1545.5376913545174,1516.5629965964367,BOGOTÁ D.C.,2013-09-01,q3
14 a 18 años,1,3587.912360004574,1698.0659888350722,BOGOTÁ D.C.,2013-09-01,q3
19 a 30 años,1,3599.3496580950305,1771.482643849805,BOGOTÁ D.C.,2013-09-01,q3
31 a 50 años,1,3632.9811573564557,1895.646698540131,BOGOTÁ D.C.,2013-09-01,q3
4 a 8 años,1,2577.7253342195963,1957.9070684658525,BOGOTÁ D.C.,2013-09-01,q3
51 a 70 años,1,3348.113944265551,1922.8925475956287,BOGOTÁ D.C.,2013-09-01,q3
9 a 13 años,1,3381.273719832688,1866.862039475292,BOGOTÁ D.C.,2013-09-01,q3
>70 años,1,3193.748885104671,1950.8838447662006,BOGOTÁ D.C.,2013-09-01,q3
gestantes 19 a 30 años,1,4253.193052077879,1696.642729275393,BOGOTÁ D.C.,2013-09-01,q3
gestantes 31 a 50 años,1,4639.518709934694,1940.0146572392816,BOGOTÁ D.C.,2013-09-01,q3
gestantes < 18 años,1,6175.056538919613,2450.033042933381,BOGOTÁ D.C.,2013-09-01,q3
lactantes 19 a 30 años,1,3812.726995823852,1502.9499913709371,BOGOTÁ D.C.,2013-09-01,q3
lactantes 31 a 50 años,1,3830.051020460875,1581.6941969001318,BOGOTÁ D.C.,2013-09-01,q3
lactantes < 18 años,1,3853.711589861474,1511.0240543446685,BOGOTÁ D.C.,2013-09-01,q3
1 a 3 años,0,1991.6928675563518,1793.3262014848704,BOGOTÁ D.C.,2013-09-01,q3
14 a 18 años,0,3528.776965612076,1284.7178375583687,BOGOTÁ D.C.,2013-09-01,q3
19 a 30 años,0,3541.573577271724,1256.0860468476537,BOGOTÁ D.C.,2013-09-01,q3
31 a 50 años,0,3566.1468379040484,1335.1887279107166,BOGOTÁ D.C.,2013-09-01,q3
4 a 8 años,0,2543.4217439631852,1770.6880986673464,BOGOTÁ D.C.,2013-09-01,q3
51 a 70 años,0,3427.002232652249,1578.4191987563593,BOGOTÁ D.C.,2013-09-01,q3
9 a 13 años,0,3364.9902139089827,1676.9549233420878,BOGOTÁ D.C.,2013-09-01,q3
>70 años,0,3197.3930830645477,1578.419198756359,BOGOTÁ D.C.,2013-09-01,q3
1 a 3 años,1,1541.7010175440385,1512.7982501497195,BOGOTÁ D.C.,2013-10-01,q3
14 a 18 años,1,3555.648840517141,1682.796500724152,BOGOTÁ D.C.,2013-10-01,q3
19 a 30 años,1,3569.1469306646172,1756.6178453376558,BOGOTÁ D.C.,2013-10-01,q3
31 a 50 años,1,3608.269249983656,1882.7523168739438,BOGOTÁ D.C.,2013-10-01,q3
4 a 8 años,1,2558.9807211018624,1943.669628179127,BOGOTÁ D.C.,2013-10-01,q3
51 a 70 años,1,3316.6367005394413,1904.814501749493,BOGOTÁ D.C.,2013-10-01,q3
9 a 13 años,1,3354.359492765729,1852.0022106061385,BOGOTÁ D.C.,2013-10-01,q3
>70 años,1,3163.613427336606,1932.475767039434,BOGOTÁ D.C.,2013-10-01,q3
gestantes 19 a 30 años,1,4191.650756666851,1672.0928706694724,BOGOTÁ D.C.,2013-10-01,q3
gestantes 31 a 50 años,1,4576.103083944166,1913.4974144793848,BOGOTÁ D.C.,2013-10-01,q3
gestantes < 18 años,1,6090.6139944447605,2416.529378167139,BOGOTÁ D.C.,2013-10-01,q3
lactantes 19 a 30 años,1,3767.9972565576454,1485.3178447943983,BOGOTÁ D.C.,2013-10-01,q3
lactantes 31 a 50 años,1,3784.4271666874774,1562.8529375093863,BOGOTÁ D.C.,2013-10-01,q3
lactantes < 18 años,1,3813.825205947259,1495.384771504637,BOGOTÁ D.C.,2013-10-01,q3
1 a 3 años,0,1984.4035469543892,1786.7628754612663,BOGOTÁ D.C.,2013-10-01,q3
14 a 18 años,0,3505.1147543753027,1276.1031630831603,BOGOTÁ D.C.,2013-10-01,q3
19 a 30 años,0,3512.2107567224352,1245.6719672343638,BOGOTÁ D.C.,2013-10-01,q3
31 a 50 años,0,3531.5075104161847,1322.2195368739394,BOGOTÁ D.C.,2013-10-01,q3
4 a 8 años,0,2529.3445878682755,1760.887815713091,BOGOTÁ D.C.,2013-10-01,q3
