ciudad,alimento_sipsa,n_obs,margen_q1,margen_q2,margen_q3
BOGOTÁ D.C.,Aguacate común,12,60.791004290450616,68.11649254309896,84.48227561685162
BOGOTÁ D.C.,Aguacate papelillo,63,6.504408158070836,15.421446906595426,24.203237912042677
BOGOTÁ D.C.,Ajo,63,62.50548977228766,83.26931985681195,146.95374487199697
BOGOTÁ D.C.,Arracacha amarilla,63,110.13545803045616,165.51356288245498,227.43288289669357
BOGOTÁ D.C.,Arroz de primera,63,22.01177951353201,27.218750000000007,28.775708115729056
BOGOTÁ D.C.,Arroz de segunda,63,39.64776022780147,47.07833184035034,52.49230244902692
BOGOTÁ D.C.,Arroz sopa cristal,28,27.869367165163844,30.62284316074887,31.921553465850668
BOGOTÁ D.C.,Arveja verde en vaina,63,41.863634456290555,51.905199156222814,78.4386814219398
BOGOTÁ D.C.,Arveja verde en vaina pastusa,17,45.29643649654092,84.991452991453,138.3837185518511
BOGOTÁ D.C.,Arveja verde seca importada,63,6.244422277530069,11.879471693104163,14.673273815491402
BOGOTÁ D.C.,Avena en hojuelas,63,36.484106626288806,38.72410970457159,40.18152464617417
BOGOTÁ D.C.,Avena molida,63,67.87334679628219,71.99236475503152,73.33158129856504
BOGOTÁ D.C.,Azúcar morena,63,4.517107491132652,24.03102223883387,28.90252143062859
BOGOTÁ D.C.,Azúcar refinada,19,41.9817520291072,44.36402216197099,46.73891557245642
BOGOTÁ D.C.,Azúcar sulfitada,63,13.351304783218886,29.769592633370035,40.60954461722303
BOGOTÁ D.C.,Banano Urabá,63,61.60772371896532,76.74586580498004,92.98918614098196
BOGOTÁ D.C.,Banano criollo,63,20.91138607996566,33.35843591600289,41.92549971324016
BOGOTÁ D.C.,Bocachico criollo fresco,32,163.56107805781386,202.46841463414634,249.80470030824816
BOGOTÁ D.C.,Bocachico importado congelado,63,246.19480598744644,256.51474292487774,265.15599890237183
BOGOTÁ D.C.,Café molido,63,9.653875407002158,11.162338401496056,12.735012965257951
BOGOTÁ D.C.,"Carne de cerdo, costilla",63,26.926134226599174,29.528923512091076,36.917929865168084
BOGOTÁ D.C.,"Carne de cerdo, espinazo",63,148.90723529772265,161.32743761387133,173.07461817503906
BOGOTÁ D.C.,"Carne de res, cadera",63,40.85832266064503,43.366045096718764,45.88685481269441
BOGOTÁ D.C.,"Carne de res, costilla",63,-5.9474807915064085,-4.31470809116436,-2.40624044920245
BOGOTÁ D.C.,"Carne de res, falda",63,73.5070512320716,82.16804409768322,87.15353974842853
BOGOTÁ D.C.,"Carne de res, lomo de brazo",63,48.48136718055535,51.52922048041232,54.03045392363181
BOGOTÁ D.C.,"Carne de res, lomo fino",63,-11.481410895809596,-10.322365311269808,-8.836015021785776
BOGOTÁ D.C.,"Carne de res, paletero",63,-24.201387590707483,-22.67607710944907,-21.090370489657396
BOGOTÁ D.C.,"Carne de res, pecho",63,65.75262011854798,74.54215260439821,79.37317784796575
BOGOTÁ D.C.,"Carne de res, punta de anca",63,19.545576095986483,21.982384224678807,24.28461639700248
BOGOTÁ D.C.,Cebolla cabezona blanca,63,66.52505213637471,107.99735537190082,152.18556255659146
BOGOTÁ D.C.,Cebolla cabezona roja importada,50,3.264033380053946,43.91483195141457,69.88060961499583
BOGOTÁ D.C.,Curuba,63,74.12244047579497,97.11524864482678,126.45027535996411
BOGOTÁ D.C.,Fríjol verde cargamanto,63,65.3414816835743,91.93389544688027,112.44383755978023
BOGOTÁ D.C.,Fécula de maíz,63,15.61463498985069,19.147022618864444,23.589905827325687
BOGOTÁ D.C.,Garbanzo importado,63,-7.881157272024928,-4.025551944413308,5.359722739335254
BOGOTÁ D.C.,Habichuela,63,57.02309948116399,81.52580985719841,116.51941603915543
BOGOTÁ D.C.,Harina de trigo,63,65.5039782410692,68.90704517915873,71.87493665014932
BOGOTÁ D.C.,Harina precocida de maíz,63,14.38066337044547,17.225683741063847,20.035297696533277
BOGOTÁ D.C.,Huevo rojo A,63,26.339851772844,34.77244107409246,42.64473866030781
BOGOTÁ D.C.,Huevo rojo AA,63,44.96157549777149,52.83796664019066,60.55875459400824
BOGOTÁ D.C.,Huevo rojo extra,63,46.54664326838606,50.500414531250016,56.608918350585
BOGOTÁ D.C.,Leche en polvo,63,-2.2991032383053778,0.5997035685782734,1.478886892988443
BOGOTÁ D.C.,Lechuga Batavia,63,71.48511791325078,90.06775956284152,137.42653285174094
BOGOTÁ D.C.,Lenteja importada,63,-0.1415946240917331,6.957983880865683,16.791556531659598
BOGOTÁ D.C.,Limón Tahití,63,31.954501141903794,63.28199566160515,81.63173653016027
BOGOTÁ D.C.,Limón común,63,67.68723112148362,103.13901345291481,150.26608583738
BOGOTÁ D.C.,Lomitos de atún en lata,63,32.58623378080217,38.224922534783396,46.221587200828395
BOGOTÁ D.C.,Lulo,63,63.920692316042675,83.5516624955309,102.59676328153779
BOGOTÁ D.C.,Mango común,36,39.604253793125395,68.10360934281968,112.17527255920261
BOGOTÁ D.C.,Mango de azúcar,46,0.8786600842328365,21.551133225020315,42.29685054250266
BOGOTÁ D.C.,Manzana nacional,53,103.98628687518516,123.92460641033685,134.18016298362824
BOGOTÁ D.C.,Manzana roja importada,63,49.56860004223629,57.24272669356553,64.2190554531619
BOGOTÁ D.C.,Manzana royal gala importada,63,52.200025905918395,58.40888107276325,67.62848421022599
BOGOTÁ D.C.,Manzana verde importada,63,33.93513488776432,46.89253847148583,54.61297989566
BOGOTÁ D.C.,Maracuyá,51,61.665936514331904,79.04438706504365,100.7719951364552
