diet,version,n,min_date,max_date,min_cost,p50_cost,max_cost
CoCA,nominal,20988,1999-01-01,2025-06-01,197.44086448798092,1021.3172457831798,3559.9500322614263
CoCA,real,20196,1999-01-01,2025-06-01,488.2706079213039,1513.35359010511,3835.070685035156
CoNA,nominal,20988,1999-01-01,2025-06-01,525.1406953603791,2663.408014120618,13553.308231323559
CoNA,real,18360,1999-01-01,2025-06-01,2815.1432389485644,4124.55673303498,41827.08559320302
CoRD,nominal,20988,1999-01-01,2025-06-01,934.8216429300104,3916.553514699225,14644.206116766005
CoRD,real,20196,1999-01-01,2025-06-01,2621.9499463356965,5883.065485912628,15437.639494281979
