diet,city_std,month,nominal,real,implicit_deflator,real_growth_yoy,nom_growth_yoy
CoCA,BOGOTA,1999-01-01,400.7011630060603,1082.3910399949687,0.3701999999999288,NA,NA
CoCA,BOGOTA,1999-02-01,402.9979148103938,1086.2477488151346,0.37099999999998057,NA,NA
CoCA,BOGOTA,1999-03-01,420.2118352214453,1117.5846681414398,0.3760000000002362,NA,NA
CoCA,BOGOTA,1999-04-01,416.6729625433394,1115.5902611601064,0.3735000000000356,NA,NA
CoCA,BOGOTA,1999-05-01,411.50401770856735,1118.8926072862798,0.3677779395706383,NA,NA
CoCA,BOGOTA,1999-06-01,424.48894955094414,1128.0599243982733,0.3762999999998882,NA,NA
CoCA,BOGOTA,1999-07-01,421.1375668160492,1124.5328886937432,0.3745000000002155,NA,NA
CoCA,BOGOTA,1999-08-01,410.4623581744781,1099.256449316336,0.37339999999978,NA,NA
CoCA,BOGOTA,1999-09-01,414.7629087468784,1107.2154531411493,0.3746000000001841,NA,NA
CoCA,BOGOTA,1999-10-01,412.1849220277283,1099.4529795356352,0.3748999999998351,NA,NA
CoCA,BOGOTA,1999-11-01,408.14217012724316,1096.2722807604084,0.3723000000001305,NA,NA
CoCA,BOGOTA,1999-12-01,411.37637164763134,1101.4092949066674,0.3734999999999919,NA,NA
CoCA,BOGOTA,2000-01-01,423.0944930983131,1123.458558412337,0.37660000000020205,3.79414803891569,5.588536335721606
CoCA,BOGOTA,2000-02-01,424.2897414862825,1126.9315842924052,0.3765000000001703,3.745355101692782,5.283359018347844
CoCA,BOGOTA,2000-03-01,433.48846682506763,1145.8854528822276,0.37829999999975644,2.5323168389427275,3.1595092024539806
CoCA,BOGOTA,2000-04-01,436.6875139811036,1149.7828172226684,0.37979999999994274,3.0649744133661727,4.803419764891137
CoCA,BOGOTA,2000-05-01,437.40231938959533,1148.6405446161261,0.3807999999998037,2.6586946000113354,6.293572010606585
CoCA,BOGOTA,2000-06-01,446.05029302019847,1162.800555318102,0.3836000000001501,3.079679560317672,5.0793650793650835
CoCA,BOGOTA,2000-07-01,440.9573849662992,1167.2180044046725,0.3777849410326779,3.7958085655024565,4.706257458838192
CoCA,BOGOTA,2000-08-01,453.0145915082997,1247.8191213344705,0.36304507902060895,13.514832877308148,10.366902710170955
CoCA,BOGOTA,2000-09-01,450.91225106506687,1259.7285084473372,0.3579439919327008,13.7744695373887,8.71566419172012
CoCA,BOGOTA,2000-10-01,460.95802918300126,1268.499646778998,0.36338837803658514,15.375524955579412,11.8328217624593
CoCA,BOGOTA,2000-11-01,465.45817413175905,1274.7118990569675,0.365147743953834,16.27694336782717,14.043146775704884
CoCA,BOGOTA,2000-12-01,469.1401109080157,1275.5312879351973,0.3677997673169191,15.809017940354764,14.041579254790658
CoCA,BOGOTA,2001-01-01,470.03786709728814,1251.762481897216,0.3755008429273914,11.42044114793137,11.095245805543241
