"Sample_size","X90.","X95.","X99."
50,4.20054465000456,5.38025561529957,8.14079441603336
100,3.62854348119067,4.5628916941432,6.81433664084073
250,3.30599238824636,4.0991538317693,6.04454817211292
1000,3.11126790192316,3.85903640486874,5.57938138172509
