"ciudad","fecha","pm","pme","n_deciles","afford_coca","afford_cona","gap_coca_pm","gap_cona_pm","gap_coca_pme","gap_cona_pme"
"BOGOTA",2021-05-01,38.0211955766254,11.1090060503734,10,5.32520325203252,17.6016260162602,-32.6959923245928,-20.4195695603652,-5.78380279834091,6.49261996588673
"BOGOTA",2021-06-01,42.2019005300392,7.85335539999028,10,3.54838709677419,24.0725806451613,-38.653513433265,-18.1293198848779,-4.30496830321609,16.219225245171
"BOGOTA",2021-07-01,33.9274443601713,7.64720154245351,10,2.90322580645161,16.1290322580645,-31.0242185537197,-17.7984121021068,-4.74397573600189,8.48183071561101
"BOGOTA",2021-08-01,34.102622667941,9.94557929874291,10,3.06122448979592,16.4344262295082,-31.0413981781451,-17.6681964384328,-6.88435480894699,6.48884693076528
"BOGOTA",2021-09-01,35.6688461896841,10.9736265161427,10,3.45238095238095,20.7539682539683,-32.2164652373031,-14.9148779357158,-7.52124556376177,9.78034173782553
"BOGOTA",2021-10-01,31.8563278537246,9.07194347974028,10,3.04721030042918,15.6896551724138,-28.8091175532955,-16.1666726813108,-6.0247331793111,6.61771169267351
"BOGOTA",2021-11-01,31.8767420031186,6.5235863986679,10,1.81818181818182,13.3636363636364,-30.0585601849367,-18.5131056394822,-4.70540458048608,6.84004996496847
"BOGOTA",2021-12-01,34.584434934896,6.69401484344746,10,1.9811320754717,20.3301886792453,-32.6033028594243,-14.2542462556507,-4.71288276797576,13.6361738357978
"BOGOTA",2022-01-01,31.4762931591733,9.62540525566857,10,3.83259911894273,17.7533039647577,-27.6436940402306,-13.7229891944156,-5.79280613672583,8.12789870908914
"BOGOTA",2022-02-01,31.0247629248906,11.0095569769861,10,4.60869565217391,18.6521739130435,-26.4160672727167,-12.3725890118471,-6.40086132481218,7.64261693605738
"BOGOTA",2022-03-01,27.2501290985812,8.07449107285637,10,2.79166666666667,17.8333333333333,-24.4584624319145,-9.41679576524782,-5.2828244061897,9.75884226047696
"BOGOTA",2022-04-01,30.1604339011191,9.29053003751958,10,4.4392523364486,20.7943925233645,-25.7211815646705,-9.36604137775459,-4.85127770107098,11.5038624858449
"BOGOTA",2022-05-01,23.4060544116143,6.94697868625116,10,2.54310344827586,14.0692640692641,-20.8629509633385,-9.33679034235025,-4.4038752379753,7.12228538301291
"BOGOTA",2022-06-01,29.2341438731142,8.53903753559941,10,4.1304347826087,16.4347826086957,-25.1037090905055,-12.7993612644185,-4.40860275299072,7.89574507309624
"BOGOTA",2022-07-01,30.8239638418166,8.1121937921119,10,2.38738738738739,23.1531531531532,-28.4365764544292,-7.6708106886634,-5.72480640472451,15.0409593610413
"BOGOTA",2022-08-01,27.5782462048012,7.20097475913018,10,2.22222222222222,20.7264957264957,-25.356023982579,-6.85175047830546,-4.97875253690796,13.5255209673655
"BOGOTA",2022-09-01,29.3727584020019,7.35019152070863,10,2.58474576271186,17.7446808510638,-26.78801263929,-11.6280775509381,-4.76544575799676,10.3944893303552
"BOGOTA",2022-10-01,28.5791532403138,8.79411406995856,10,2.16981132075472,22.2641509433962,-26.4093419195591,-6.31500229691759,-6.62430274920384,13.4700368734377
"BOGOTA",2022-11-01,25.1364623865792,6.26111032639038,10,3.1390134529148,21.7488789237668,-21.9974489336644,-3.3875834628124,-3.12209687347559,15.4877685973764
"BOGOTA",2022-12-01,22.9117746033351,6.36040099813402,10,3.55670103092784,19.2783505154639,-19.3550735724072,-3.63342408787113,-2.80369996720619,12.9179495173299
