"ciudad","tri_date","pm","pme","trimestre","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2018-01-01,13.2797550707998,2.506450423885,"2018Q1",10,1.23595505617978,5.0936329588015,28.0149812734082,-12.0438000146201,-8.18612211199835,14.7352262026084,-1.27049536770522,2.5871825349165,25.5085308495232
"BOGOTA",2018-04-01,10.6671554252199,1.97461212976023,"2018Q2",10,1.07913669064748,4.46043165467626,26.38976183674,-9.58801873457246,-6.20672377054368,15.7226064115201,-0.895475439112744,2.48581952491603,24.4151497069798
"BOGOTA",2018-07-01,11.0244988864143,1.85115224782773,"2018Q3",10,0.601503759398496,3.87218045112782,25.187969924812,-10.4229951270158,-7.15231843528643,14.1634710383978,-1.24964848842923,2.02102820330009,23.3368176769843
"BOGOTA",2018-10-01,10.9717868338558,2.31191222570533,"2018Q4",10,0.97165991902834,3.76518218623482,25.5060728744939,-10.0001269148275,-7.20660464762098,14.5342860406381,-1.34025230667699,1.45326996052949,23.1941606487886
"BOGOTA",2019-01-01,27.6043625423091,3.94198586835255,"2019Q1",10,1.37931034482759,4.90421455938697,26.7049808429119,-26.2250521974816,-22.7001479829222,-0.899381699397264,-2.56267552352496,0.962228691034425,22.7629949745593
"BOGOTA",2019-04-01,25.0546249089585,4.55207574654042,"2019Q2",10,0.977443609022556,3.87218045112782,27.1428571428571,-24.0771812999359,-21.1824444578307,2.08823223389866,-3.57463213751787,-0.679895295412603,22.5907813963167
"BOGOTA",2019-07-01,25.2123552123552,3.28369606720122,"2019Q3",10,0.778210116731518,4.00778210116732,27.2435858463035,-24.4341450956237,-21.2045731111879,2.03123063394829,-2.5054859504697,0.724086033966094,23.9598897791023
"BOGOTA",2019-10-01,25.4951538137379,3.64326375711575,"2019Q4",10,0.97165991902834,3.96761133603239,26.9342681281064,-24.5234938947095,-21.5275424777055,1.4391143143685,-2.67160383808741,0.324347578916639,23.2910043709906
"BOGOTA",2020-01-01,25.5573248407643,3.86146496815287,"2020Q1",10,2.03921568627451,6.23529411764706,27.4901960784314,-23.5181091544898,-19.3220307231173,1.93287123766704,-1.82224928187836,2.37382914949419,23.6287311102785
"BOGOTA",2020-04-01,50.5942275042445,21.7657045840407,"2020Q2",10,10.2333333333333,17.8907469342252,38.6265328874025,-40.3608941709111,-32.7034805700193,-11.967694616842,-11.5323712507074,-3.87495764981555,16.8608283033617
