"ciudad","term","estimate","std.error","statistic","p.value"
"BOGOTA","(Intercept)",-3.92957392851577,0.712528558395849,-5.51497042779956,3.95529954334995e-07
"BOGOTA","pm",0.277287724791881,0.0249750848015428,11.1025739049643,5.15632550461819e-18
"CALI","(Intercept)",-6.19598049572771,0.672630187381859,-9.21157065496109,2.73116752044011e-14
"CALI","pm",0.443237459807295,0.0256590434279266,17.2741225156074,4.69621240617696e-29
"MEDELLIN","(Intercept)",-2.81909995503631,0.542961514680773,-5.19208061494701,1.48339118512013e-06
"MEDELLIN","pm",0.285922994324276,0.0219251214657307,13.0408853046117,1.07417358519821e-21
