"ciudad","fecha","pm","pme","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2019-04-01,26.4433761224494,5.33913280603237,10,2.50909090909091,10.7636363636364,63.7604512276045,-23.9342852133585,-15.679739758813,37.3170751051551,-2.83004189694146,5.424503557604,58.4213184215722
"BOGOTA",2019-05-01,25.2643489066512,3.30924512531269,10,1.04868913857678,7.94007490636704,60.3459491425192,-24.2156597680744,-17.3242740002841,35.0816002358681,-2.26055598673591,4.63082978105436,57.0367040172065
"BOGOTA",2019-06-01,32.4649502057141,5.98368904716493,10,1.91335740072202,12.8880866425993,71.8772563176895,-30.5515928049921,-19.5768635631148,39.4123061119754,-4.07033164644291,6.90439759543435,65.8935672705246
"BOGOTA",2019-07-01,23.6939953502487,2.58321747632853,10,1.45669291338583,8.89763779527559,57.3913043478261,-22.2373024368629,-14.7963575549731,33.6973089975774,-1.12652456294271,6.31442031894706,54.8080868714976
"BOGOTA",2019-08-01,27.5227509520051,3.28166310124272,10,1.41221374045802,10.8396946564886,63.7404580152672,-26.1105372115471,-16.6830562955166,36.2177070632621,-1.8694493607847,7.55803155524583,60.4587949140245
"BOGOTA",2019-09-01,25.9368917298882,4.48845054279814,10,1.6988416988417,9.65250965250965,69.034749034749,-24.2380500310465,-16.2843820773786,43.0978573048608,-2.78960884395645,5.16405910971151,64.5462984919509
"BOGOTA",2019-10-01,22.9449225768387,2.35242470947934,10,1.20481927710843,7.51004016064257,61.9354838709677,-21.7401032997303,-15.4348824161962,38.990561294129,-1.14760543237091,5.15761545116323,59.5830591614884
"BOGOTA",2019-11-01,29.0170618531933,3.97359779024969,10,1.25,11.2121212121212,68.4790874524715,-27.7670618531933,-17.8049406410721,39.4620255992782,-2.72359779024969,7.23852342187153,64.5054896622218
"BOGOTA",2019-12-01,26.7403500522359,4.39995812436195,10,2.26890756302521,10.7983193277311,67.7637130801688,-24.4714424892107,-15.9420307245048,41.0233630279329,-2.13105056133674,6.39836120336915,63.3637549558068
"BOGOTA",2020-01-01,28.6894296101912,4.25112944899697,10,1.54761904761905,10.3174603174603,65.5776892430279,-27.1418105625721,-18.3719692927309,36.8882596328367,-2.70351040137792,6.06633086846335,61.3265597940309
"BOGOTA",2020-02-01,25.0094472481078,3.52964803960661,10,1.55642023346304,8.56031128404669,59.5703125,-23.4530270146447,-16.4491359640611,34.5608652518922,-1.97322780614357,5.03066324444008,56.0406644603934
"BOGOTA",2020-03-01,31.5495654172691,8.28689916096296,10,8.22784810126582,21.4767932489451,72.2033898305085,-23.3217173160032,-10.0727721683239,40.6538244132394,-0.0590510596971399,13.1898940879822,63.9164906695455
"BOGOTA",2020-04-01,51.3606534252822,23.4848934820226,10,17.5075987841945,33.677811550152,84.7865853658537,-33.8530546410877,-17.6828418751303,33.4259319405714,-5.97729469782809,10.1929180681294,61.3016918838311
"BOGOTA",2020-05-01,57.0671506389935,26.9733326582606,10,21.7508417508418,43.1986531986532,85.0337837837838,-35.3163088881518,-13.8684974403403,27.9666331447903,-5.22249090741882,16.2253205403926,58.0604511255232
"BOGOTA",2020-06-01,53.5549549988986,23.8898318834462,10,18.8813559322034,36.3389830508475,86.7006802721089,-34.6735990666952,-17.2159719480511,33.1457252732103,-5.00847595124278,12.4491511674013,62.8108483886627
"BOGOTA",2020-07-01,55.124144654866,20.8636440453979,10,14.0590405904059,37.3062730627306,84.5555555555556,-41.0651040644601,-17.8178715921353,29.4314109006896,-6.80460345499199,16.4426290173327,63.6919115101577
"BOGOTA",2020-08-01,40.4484770428925,10.8119332307742,10,7.16417910447761,23.3582089552239,75.3771870982168,-33.2842979384149,-17.0902680876687,34.9287100553242,-3.64775412629658,12.5462757244497,64.5652538674426
"BOGOTA",2020-09-01,39.4292654175564,11.3446264031477,10,7.63779527559055,23.1102362204724,74.8616600790514,-31.7914701419658,-16.3190291970839,35.432394661495,-3.7068311275571,11.7656098173248,63.5170336759037
"BOGOTA",2020-10-01,34.6341962950342,9.84394833315583,10,5.94594594594595,21.4285714285714,70.7722007722008,-28.6882503490882,-13.2056248664627,36.1380044771666,-3.89800238720988,11.5846230954156,60.9282524390449
"BOGOTA",2020-11-01,30.4352227406932,6.90681371877626,10,4.54918032786885,16.2295081967213,68.6065573770492,-25.8860424128243,-14.2057145439719,38.171334636356,-2.35763339090741,9.32269447794505,61.6997436582729
"BOGOTA",2020-12-01,34.422173611214,8.91597895905086,10,4.61240310077519,21.6666666666667,73.9688715953308,-29.8097705104388,-12.7555069445474,39.5466979841167,-4.30357585827567,12.7506877076158,65.0528926362799
"BOGOTA",2021-01-01,39.3437045130717,13.4264989428977,10,6.14406779661017,21.7372881355932,72.0425531914894,-33.1996367164615,-17.6064163774785,32.6988486784177,-7.28243114628754,8.31078919269551,58.6160542485917
"BOGOTA",2021-02-01,34.2370441024133,8.71430331399508,10,3.99193548387097,15.3629032258065,69.3117408906883,-30.2451086185423,-18.8741408766069,35.0746967882749,-4.72236783012411,6.64859991181137,60.5974375766932
"BOGOTA",2021-03-01,36.3969337231529,9.81067652486262,10,4.68253968253968,21.1111111111111,73.9840637450199,-31.7143940406132,-15.2858226120417,37.5871300218671,-5.12813684232294,11.3004345862485,64.1733872201573
"BOGOTA",2021-04-01,37.4502253006474,11.6191878192774,10,4.35606060606061,20.4545454545455,73.7262357414449,-33.0941646945868,-16.9956798461019,36.2760104407975,-7.26312721321677,8.83535763526807,62.1070479221675
"BOGOTA",2021-05-01,38.0211955766254,11.1090060503734,10,5.32520325203252,18.6213704994193,80.1224489795918,-32.6959923245928,-19.3998250772061,42.1012534029665,-5.78380279834091,7.51236444904585,69.0134429292184
"BOGOTA",2021-06-01,42.2019005300392,7.85335539999028,10,3.54838709677419,24.6370967741936,77.8947368421053,-38.653513433265,-17.5648037558456,35.6928363120661,-4.30496830321609,16.7837413742033,70.041381442115
"BOGOTA",2021-07-01,33.9274443601713,7.64720154245351,10,2.90322580645161,16.5322580645161,74.2338709677419,-31.0242185537197,-17.3951862956552,40.3064266075706,-4.74397573600189,8.88505652206262,66.5866694252884
"BOGOTA",2021-08-01,34.102622667941,9.94557929874291,10,3.06122448979592,17.3360655737705,71.5983606557377,-31.0413981781451,-16.7665570941705,37.4957379877967,-6.88435480894699,7.39048627502758,61.6527813569948
"BOGOTA",2021-09-01,35.6688461896841,10.9736265161427,10,3.45238095238095,21.3095238095238,73.8492063492064,-32.2164652373031,-14.3593223801603,38.1803601595223,-7.52124556376177,10.3358972933811,62.8755798330636
"BOGOTA",2021-10-01,31.8563278537246,9.07194347974028,10,3.04721030042918,15.9051724137931,73.1465517241379,-28.8091175532955,-15.9511554399315,41.2902238704133,-6.0247331793111,6.83322893405282,64.0746082443977
"BOGOTA",2021-11-01,31.8767420031186,6.5235863986679,10,1.81818181818182,13.7272727272727,71.8181818181818,-30.0585601849367,-18.1494692758458,39.9414398150633,-4.70540458048608,7.20368632860483,65.2945954195139
"BOGOTA",2021-12-01,34.584434934896,6.69401484344746,10,1.9811320754717,21.0849056603774,79.2924528301887,-32.6033028594243,-13.4995292745186,44.7080178952927,-4.71288276797576,14.3908908169299,72.5984379867412
"BOGOTA",2022-01-01,31.4762931591733,9.62540525566857,10,3.83259911894273,18.5462555066079,68.4513274336283,-27.6436940402306,-12.9300376525654,36.975034274455,-5.79280613672583,8.92085025093937,58.8259221779598
"BOGOTA",2022-02-01,31.0247629248906,11.0095569769861,10,4.60869565217391,19.5652173913043,72.3144104803493,-26.4160672727167,-11.4595455335862,41.2896475554588,-6.40086132481218,8.55566041431825,61.3048535033632
"BOGOTA",2022-03-01,27.2501290985812,8.07449107285637,10,2.79166666666667,18.4166666666667,72.2594142259414,-24.4584624319145,-8.83346243191449,45.0092851273603,-5.2828244061897,10.3421755938103,64.1849231530851
"BOGOTA",2022-04-01,30.1604339011191,9.29053003751958,10,4.4392523364486,21.4018691588785,70.093896713615,-25.7211815646705,-8.75856474224058,39.9334628124959,-4.85127770107098,12.1113391213589,60.8033666760954
"BOGOTA",2022-05-01,23.4060544116143,6.94697868625116,10,2.54310344827586,14.3722943722944,71.5151515151515,-20.8629509633385,-9.03376003931994,48.1090971035372,-4.4038752379753,7.42531568604322,64.5681728289004
"BOGOTA",2022-06-01,29.2341438731142,8.53903753559941,10,4.1304347826087,17.1739130434783,70.9130434782609,-25.1037090905055,-12.0602308296359,41.6788996051467,-4.40860275299072,8.63487550787885,62.3740059426615
"BOGOTA",2022-07-01,30.8239638418166,8.1121937921119,10,2.38738738738739,23.7837837837838,70.0452488687783,-28.4365764544292,-7.04018005803277,39.2212850269617,-5.72480640472451,15.6715899916719,61.9330550766664
"BOGOTA",2022-08-01,27.5782462048012,7.20097475913018,10,2.22222222222222,20.982905982906,69.4017094017094,-25.356023982579,-6.5953402218952,41.8234631969082,-4.97875253690796,13.7819312237758,62.2007346425792
"BOGOTA",2022-09-01,29.3727584020019,7.35019152070863,10,2.58474576271186,19.1489361702128,70.4255319148936,-26.78801263929,-10.2238222317891,41.0527735128917,-4.76544575799676,11.7987446495041,63.075340394185
"BOGOTA",2022-10-01,28.5791532403138,8.79411406995856,10,2.16981132075472,22.5,71.9811320754717,-26.4093419195591,-6.07915324031381,43.4019788351579,-6.62430274920384,13.7058859300414,63.1870180055131
"BOGOTA",2022-11-01,25.1364623865792,6.26111032639038,10,3.1390134529148,22.3766816143498,71.3452914798206,-21.9974489336644,-2.75978077222944,46.2088290932414,-3.12209687347559,16.1155712879594,65.0841811534303
"BOGOTA",2022-12-01,22.9117746033351,6.36040099813402,10,3.55670103092784,19.6907216494845,74.4559585492228,-19.3550735724072,-3.22105295385052,51.5441839458877,-2.80369996720619,13.3303206513505,68.0955575510888
"BOGOTA",2023-01-01,30.9649847467026,8.28188532011515,10,3.25,21.5,74.05,-27.7149847467026,-9.4649847467026,43.0850152532974,-5.03188532011515,13.2181146798848,65.7681146798848
"BOGOTA",2023-02-01,30.0815592181694,8.26284512710696,10,3.11926605504587,23.3655350272693,76.6820276497696,-26.9622931631236,-6.71602419090015,46.6004684316002,-5.14357907206109,15.1026899001623,68.4191825226626
"BOGOTA",2023-03-01,25.7968841145534,7.39820314400674,10,3.17972350230415,22.4423963133641,71.5277777777778,-22.6171606122493,-3.35448780118938,45.7308936632244,-4.21847964170259,15.0441931693573,64.129574633771
"BOGOTA",2023-04-01,23.3305871307685,4.0774962928788,10,2.31527093596059,16.4532019704433,72.0197044334975,-21.0153161948079,-6.87738516032519,48.689117302729,-1.7622253569182,12.3757056775646,67.9422081406187
"BOGOTA",2023-05-01,23.5405057260254,5.94311676724779,10,2.41071428571429,16.1607142857143,69.5982142857143,-21.1297914403111,-7.37979144031107,46.0577085596889,-3.5324024815335,10.2175975184665,63.6550975184665
"BOGOTA",2023-06-01,22.7635482142087,5.67968839465181,10,2.96296296296296,17.0833333333333,68.3333333333333,-19.8005852512457,-5.68021488087535,45.5697851191247,-2.71672543168885,11.4036449386815,62.6536449386815
"BOGOTA",2023-07-01,23.6182793645213,6.26100793696571,10,3.07359307359307,17.012987012987,70.0434782608696,-20.5446862909283,-6.60529235153432,46.4251988963482,-3.18741486337263,10.7519790760213,63.7824703239039
"BOGOTA",2023-08-01,23.1775010666721,4.21723272315707,10,1.54545454545455,15.5,66.3013698630137,-21.6320465212175,-7.67750106667208,43.1238687963416,-2.67177817770252,11.2827672768429,62.0841371398566
"BOGOTA",2023-09-01,21.5197711674087,4.5080933214981,10,2.20183486238532,14.4954128440367,67.6036866359447,-19.3179363050234,-7.02435832337205,46.083915468536,-2.30625845911278,9.9873195225386,63.0955933144466
"BOGOTA",2023-10-01,21.8147264725093,4.89315937826596,10,2.71794871794872,13.8659793814433,67.5773195876289,-19.0967777545605,-7.94874709106597,45.7625931151196,-2.17521066031724,8.97282000317734,62.6841602093629
