"ciudad","term","estimate","std.error","statistic","p.value"
"BOGOTA","(Intercept)",-2.01174403599476,0.673072937847172,-2.98889455046185,0.00604618958663707
"BOGOTA","pm",0.159403534506952,0.0247051592070662,6.45223668347619,7.74709164355267e-07
"CALI","(Intercept)",-2.80489086936729,0.493920516921695,-5.67883044593585,5.65968699293941e-06
"CALI","pm",0.227437813347864,0.0207084906129386,10.9828291013041,2.90685135943102e-11
"MEDELLIN","(Intercept)",-1.67414775816821,0.488230265376249,-3.42901265426068,0.00203048673284933
"MEDELLIN","pm",0.166088148043368,0.0204625143990531,8.11670280613481,1.34680635110999e-08
