"ciudad","term","estimate","std.error","statistic","p.value"
"BOGOTA","(Intercept)",55.2318276035591,1.20263733711369,45.925588620186,2.82178115955405e-60
"BOGOTA","pm",0.510811664901358,0.0421540570212897,12.1177343533832,5.79174808079777e-20
"CALI","(Intercept)",64.4075158997742,1.88523823968309,34.164125543412,2.90218840857839e-50
"CALI","pm",0.530840199264774,0.0719167988167536,7.38131018063487,1.15797338278186e-10
"MEDELLIN","(Intercept)",54.6452569223082,1.71989883830976,31.772366900376,7.37761785450045e-48
"MEDELLIN","pm",0.632435637483118,0.0694505778386174,9.10626890610919,4.42335973135041e-14
