ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok
CALI,CARNE DE RES SIN HUESO,011201,2,TRUE,1.0450957833030379,3.314308686237523e-5,6.099080359277377e-4,0.8986352435620357,203,TRUE
CALI,CARNE DE RES CON HUESO,011201,2,TRUE,0.8137121167432703,2.539845484198651e-4,0.004673892257712646,0.41221846312933647,203,TRUE
CALI,CARNE DE CERDO SIN HUESO,011202,2,TRUE,1.142023087679044,5.801236893442605e-5,0.0010391925296475116,0.861361713595239,203,TRUE
CALI,CARNE DE CERDO CON HUESO,011202,2,TRUE,0.7787640005036385,1.0034225049941312e-4,0.0017974600769169757,0.6255138189623987,203,TRUE
CALI,POLLO ENTERO POR LIBRA,011203,2,TRUE,0.7898833789264658,1.0857367002933295e-4,0.003075946189482179,0.5010337714510588,203,TRUE
CALI,POLLO DESPRESADO POR LIBRA,011203,2,TRUE,0.9586688184437079,1.7692407820908365e-4,0.005012347321849311,0.4758099100885808,203,TRUE
CALI,PESCADO DE MAR,011303,5,TRUE,0.8842992831059845,3.172319643883473e-4,0.008174026596489239,0.3213895105850709,203,TRUE
CALI,PESCADO DE RÍO,011303,5,TRUE,0.7783303954041954,2.428630099729564e-4,0.006257782713195267,0.32397872749155715,203,TRUE
CALI,PESCADO ENLATADO,011303,5,TRUE,0.4119194982787112,4.026450332706486e-4,0.010374841063839124,0.07489979916185406,203,TRUE
CALI,CAMARONES O VARIEDAD DISPONIBLE,011303,5,TRUE,0.8962145663062864,0.0016590705106166767,0.16152104132880377,0.05717573913862218,83,TRUE
