R2_MIN,LAM_MIN,LAM_MAX,MAPE_S5,MAPE_BASE,imp_pp,MAPE_S5_multi,MAPE_BASE_multi,imp_pp_multi,n_dcity,n_low_r2,n_low_lam,n_high_lam,n_obs
0.2,0.1,3,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.2,3,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.3,3,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.1,4,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.2,4,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.3,4,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.1,5,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.2,5,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.2,0.3,5,8.12025866908364,8.008194577779713,-0.11206409130392636,9.721543496423253,9.57521777210921,-0.14632572431404256,2704,1378,0,0,5330
0.05,0.1,3,8.147932790882336,8.008194577779713,-0.13973821310262302,9.757678496224099,9.57521777210921,-0.1824607241148879,3536,546,0,0,5330
0.05,0.1,4,8.147932790882336,8.008194577779713,-0.13973821310262302,9.757678496224099,9.57521777210921,-0.1824607241148879,3536,546,0,0,5330
0.05,0.1,5,8.147932790882336,8.008194577779713,-0.13973821310262302,9.757678496224099,9.57521777210921,-0.1824607241148879,3536,546,0,0,5330
0.1,0.1,3,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.1,0.2,3,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.1,0.1,4,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.1,0.2,4,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.1,0.1,5,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.1,0.2,5,8.158019721703413,8.008194577779713,-0.1498251439236995,9.77084932946181,9.57521777210921,-0.19563155735260018,3094,988,0,0,5330
0.05,0.2,3,8.164590474719805,8.008194577779713,-0.15639589694009182,9.779428975120158,9.57521777210921,-0.20421120301094753,3484,546,52,0,5330
0.05,0.2,4,8.164590474719805,8.008194577779713,-0.15639589694009182,9.779428975120158,9.57521777210921,-0.20421120301094753,3484,546,52,0,5330
0.05,0.2,5,8.164590474719805,8.008194577779713,-0.15639589694009182,9.779428975120158,9.57521777210921,-0.20421120301094753,3484,546,52,0,5330
0.15,0.1,3,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.15,0.2,3,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.15,0.1,4,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.15,0.2,4,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.15,0.1,5,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.15,0.2,5,8.182499240644958,8.008194577779713,-0.1743046628652447,9.80281303253835,9.57521777210921,-0.2275952604291387,2912,1170,0,0,5330
0.1,0.3,3,8.215585975785537,8.008194577779713,-0.2073913980058233,9.846015457403437,9.57521777210921,-0.27079768529422665,3068,988,26,0,5330
0.1,0.3,4,8.215585975785537,8.008194577779713,-0.2073913980058233,9.846015457403437,9.57521777210921,-0.27079768529422665,3068,988,26,0,5330
0.1,0.3,5,8.215585975785537,8.008194577779713,-0.2073913980058233,9.846015457403437,9.57521777210921,-0.27079768529422665,3068,988,26,0,5330
0.15,0.3,3,8.24006549472708,8.008194577779713,-0.23187091694736672,9.877979160479976,9.57521777210921,-0.30276138837076516,2886,1170,26,0,5330
0.15,0.3,4,8.24006549472708,8.008194577779713,-0.23187091694736672,9.877979160479976,9.57521777210921,-0.30276138837076516,2886,1170,26,0,5330
0.15,0.3,5,8.24006549472708,8.008194577779713,-0.23187091694736672,9.877979160479976,9.57521777210921,-0.30276138837076516,2886,1170,26,0,5330
0.05,0.3,3,8.250966107379142,8.008194577779713,-0.2427715295994286,9.892212444516108,9.57521777210921,-0.3169946724068975,3354,546,182,0,5330
0.05,0.3,4,8.250966107379142,8.008194577779713,-0.2427715295994286,9.892212444516108,9.57521777210921,-0.3169946724068975,3354,546,182,0,5330
0.05,0.3,5,8.250966107379142,8.008194577779713,-0.2427715295994286,9.892212444516108,9.57521777210921,-0.3169946724068975,3354,546,182,0,5330
