codigo_articulo,articulo,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
1410510,MANGOS,50,79,0.6,0,17.1,48,39,140,0.12,0.12,0.5,0,24,21,4,15,0.5,0.1
1410511,COCOS,45,402,3.6,35.5,12.6,5,26,0,0.05,0.02,0.5,0,40,80,18,7,1.3,0.8
1420101,MELOCOTONES O VARIEDAD DISPONI,85,58,1,0.1,12.5,29,4,46,0.04,0.02,0.4,0,9,32,1,9,0.6,0.1
1510101,CARNE DE RES SIN HUESO,100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
1510102,CARNE DE RES CON HUESO,73,287,17.1,23.3,2.3,0,5,5,0.1,0.18,4.1,2.34,16,176,60,9,1.6,3.5
1510103,VISCERAS - HIGADO,100,138,20.4,4.5,3.9,24,293,10089,0.2,2.52,12.9,59.3,20,340,76,9,8.4,4
1510201,CARNE DE CERDO SIN HUESO,100,131,20.5,5.4,0.2,0,5,0,0.8,0.24,5.7,1,23,217,57,8,1.2,2.5
1510202,CARNE DE CERDO CON HUESO,77,277,18.7,22.5,0,0,4,5,0.62,0.26,5.1,0.87,20,180,93,11,1,1.8
1510203,TOCINO,100,784,2.9,85.8,0,0,1,10,0.23,0.17,2.7,0.18,4,37,22,6,1.1,0.8
1510301,POLLO ENTERO POR LIBRA,60,167,18.1,10.3,0.4,2,5,16,0.08,0.16,6.6,0.34,24,200,70,12,0.7,1.5
1510302,POLLO DESPRESADO POR LIBRA,93,166,20.7,9.2,0.1,0,4,24,0.07,0.09,9.9,0.34,25,174,63,11,0.7,0.8
1610101,PESCADO DE MAR,62,96,20.1,1.7,0,0,24,0,0.04,0.06,3.9,1.59,27,170,52,10,0.6,0.3
1610102,PESCADO DE RÍO,64,96,20.2,1.5,0.5,0,12,0,0,0.08,3,10,23,255,47,24,2.1,0.7
1610103,PESCADO ENLATADO,100,211,25.5,12.1,0,0,5,5,0.02,0.08,12.3,2.2,34,250,391,8,1.5,0.5
1620101,CAMARONES O VARIEDAD DISPONIBL,87,94,20.3,1.2,0.5,0,12,54,0.03,0.02,2.2,1.24,36,196,163,82,2.5,1.3
1710101,HUEVOS,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
1720101,LECHE PASTEURIZADA,100,55,3.2,3.2,3.4,0,5,39,0.04,0.18,0.1,0.45,10,95,42,120,0,0.4
1720102,LECHE LARGA VIDA,100,55,3.2,3.2,3.4,0,5,39,0.04,0.18,0.1,0.45,10,95,42,120,0,0.4
1720103,LECHE EN POLVO ENTERA,100,499,26.3,26.6,38.4,9,37,288,0.26,1.42,0.6,3.25,85,776,369,940,0.5,3.3
1720104,LECHE EN POLVO LACTANTE,100,499,26.3,26.6,38.4,9,37,288,0.26,1.42,0.6,3.25,85,776,369,940,0.5,3.3
1720201,QUESO CAMPESINO,100,301,17.5,25.5,0.3,0,5,420,0.03,0.32,0.2,0.3,21,335,935,586,0.4,2.9
1720304,MANTEQUILLA,100,743,0.8,82.2,0,0,1,1170,0,0.01,0.1,0.3,2,20,223,22,0.2,0.1
1730101,ACEITE DE SOYA O DE MAÍZ,100,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730102,ACEITE DE GIRASOL,100,900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730202,MANTECA VEGETAL,100,732,0.6,81.1,0,0,1,819,0.01,0.04,0,0.1,2,14,877,14,0,0
1810101,PANELA,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
1810201,AZÚCAR REFINADA,100,397,0,0,99.3,0,0,0,0,0,0,0,1,0,0,0,0.1,0
1810202,AZÚCAR NATURAL O MORENA,100,390,0,0,97.5,0,1,0,0.01,0.01,0.1,0,24,22,39,85,1.9,0.2
1820101,CAFÉ MOLIDO,100,479,14.2,12.3,67.5,0,3,0,0.07,0.1,31.6,0,165,223,1,130,5.8,0.5
1830101,SAL,100,0,0,0,0,0,0,0,0,0,0,0,1,0,38781,24,0.3,0.1
1850301,AGUA  MINERAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
