"ciudad","trimestre","model","n_deciles","incidence"
"CALI","2018Q4","CoCA",10,1.47186147186147
"CALI","2018Q4","CoNA",10,4.80519480519481
"CALI","2018Q4","CoRD",10,14.978354978355
"CALI","2019Q1","CoCA",10,1.81818181818182
"CALI","2019Q1","CoNA",10,5.99173553719008
"CALI","2019Q1","CoRD",10,15.5371900826446
"CALI","2019Q2","CoCA",10,1.41666666666667
"CALI","2019Q2","CoNA",10,4.75
"CALI","2019Q2","CoRD",10,14.5181311018131
"CALI","2019Q3","CoCA",10,1.23456790123457
"CALI","2019Q3","CoNA",10,4.23868312757202
"CALI","2019Q3","CoRD",10,15.1028806584362
"CALI","2019Q4","CoCA",10,1.99152542372881
"CALI","2019Q4","CoNA",10,5.25423728813559
"CALI","2019Q4","CoRD",10,14.1667868734223
"CALI","2020Q1","CoCA",10,2.8110599078341
"CALI","2020Q1","CoNA",10,6.45161290322581
"CALI","2020Q1","CoRD",10,15.4838709677419
"CALI","2020Q2","CoCA",10,9.62255788391306
"CALI","2020Q2","CoNA",10,19.5362195511116
"CALI","2020Q2","CoRD",10,29.6206077367656
"CALI","2020Q3","CoCA",10,4.08071748878924
"CALI","2020Q3","CoNA",10,12.914798206278
"CALI","2020Q3","CoRD",10,22.2869955156951
"CALI","2020Q4","CoCA",10,2.16666666666667
"CALI","2020Q4","CoNA",10,8.04166666666667
"CALI","2020Q4","CoRD",10,17.7555788005579
"CALI","2021Q1","CoCA",10,1.82978723404255
"CALI","2021Q1","CoNA",10,6.68085106382979
"CALI","2021Q1","CoRD",10,14.8936170212766
"CALI","2021Q2","CoCA",10,2.43243243243243
"CALI","2021Q2","CoNA",10,9.95495495495495
"CALI","2021Q2","CoRD",10,22.1001997472586
"CALI","2021Q3","CoCA",10,1.6289592760181
"CALI","2021Q3","CoNA",10,6.65158371040724
"CALI","2021Q3","CoRD",10,17.1945701357466
"CALI","2021Q4","CoCA",10,1.95348837209302
"CALI","2021Q4","CoNA",10,7.30232558139535
"CALI","2021Q4","CoRD",10,17.0697674418605
"CALI","2022Q1","CoCA",10,2.12014134275618
"CALI","2022Q1","CoNA",10,8.09187279151944
"CALI","2022Q1","CoRD",10,20.2826855123675
"CALI","2022Q2","CoCA",10,1.37931034482759
"CALI","2022Q2","CoNA",10,6.45340651473571
"CALI","2022Q2","CoRD",10,20.8132681064312
"CALI","2022Q3","CoCA",10,1.89285714285714
"CALI","2022Q3","CoNA",10,7.25
"CALI","2022Q3","CoRD",10,19.5357142857143
"CALI","2022Q4","CoCA",10,2.2962962962963
"CALI","2022Q4","CoNA",10,8.48148148148148
"CALI","2022Q4","CoRD",10,21.1481481481481
"CALI","2023Q1","CoCA",10,2.62589928057554
"CALI","2023Q1","CoNA",10,10.3421811287432
"CALI","2023Q1","CoRD",10,23.0136612731475
