ciudad,anio_mes,fecha_mes,nominal,real_B,n_obs,implicit_deflator_B,nom_growth_yoy,real_growth_yoy
"BOGOTA, D.C.",1999-01,1999-01-01,400.7011630060603,1065.3945848951878,22,0.3761058754071674,NA,NA
"BOGOTA, D.C.",1999-02,1999-02-01,402.9979148103938,1032.6825359675393,22,0.3902437591169465,NA,NA
"BOGOTA, D.C.",1999-03,1999-03-01,420.2118352214453,1120.1265922477269,22,0.37514673620792977,NA,NA
"BOGOTA, D.C.",1999-04,1999-04-01,416.6729625433394,1147.679236944221,22,0.36305698415592264,NA,NA
"BOGOTA, D.C.",1999-05,1999-05-01,411.50401770856735,1136.9939446582457,22,0.36192278740082123,NA,NA
"BOGOTA, D.C.",1999-06,1999-06-01,424.48894955094414,1154.0846613565443,22,0.36781439331494764,NA,NA
"BOGOTA, D.C.",1999-07,1999-07-01,421.1375668160492,1133.660332434931,22,0.3714847867275283,NA,NA
"BOGOTA, D.C.",1999-08,1999-08-01,410.4623581744781,1087.657747875213,22,0.37738190986671516,NA,NA
"BOGOTA, D.C.",1999-09,1999-09-01,414.7629087468784,1090.9402463362871,22,0.38018847516147636,NA,NA
"BOGOTA, D.C.",1999-10,1999-10-01,412.1849220277283,NA,22,NA,NA,NA
"BOGOTA, D.C.",1999-11,1999-11-01,408.14217012724316,1095.155601649288,22,0.3726796169535974,NA,NA
"BOGOTA, D.C.",1999-12,1999-12-01,411.37637164763134,1117.1475850447016,22,0.3682381604317486,NA,NA
"BOGOTA, D.C.",2000-01,2000-01-01,423.0944930983131,1099.38595155403,22,0.3848461884566112,5.588536335721606,3.1904955347775044
"BOGOTA, D.C.",2000-02,2000-02-01,424.2897414862825,1063.0885422669216,22,0.399110445289468,5.283359018347844,2.944371115068245
"BOGOTA, D.C.",2000-03,2000-03-01,433.48846682506763,1094.3984742490263,22,0.39609747000289486,3.1595092024539806,-2.2968937776106757
"BOGOTA, D.C.",2000-04,2000-04-01,436.6875139811036,1114.4999961002227,22,0.39182370166812813,4.803419764891137,-2.890985545084912
"BOGOTA, D.C.",2000-05,2000-05-01,437.40231938959533,1109.5235454587148,22,0.39422536022771676,6.293572010606585,-2.4160550131854808
"BOGOTA, D.C.",2000-06,2000-06-01,446.05029302019847,1139.4179497339596,22,0.3914720609099987,5.0793650793650835,-1.2708523138454164
"BOGOTA, D.C.",2000-07,2000-07-01,440.9573849662992,1140.9582183620548,22,0.3864798709275542,4.706257458838192,0.6437453722535347
"BOGOTA, D.C.",2000-08,2000-08-01,453.0145915082997,1174.4630700536968,22,0.3857205927195205,10.366902710170955,7.980940911611367
"BOGOTA, D.C.",2000-09,2000-09-01,450.91225106506687,1174.034169160666,22,0.3840708072299383,8.71566419172012,7.616725398428903
"BOGOTA, D.C.",2000-10,2000-10-01,460.95802918300126,NA,22,NA,11.8328217624593,NA
"BOGOTA, D.C.",2000-11,2000-11-01,465.45817413175905,1211.159259932708,22,0.3843079845317947,14.043146775704884,10.592436189772503
"BOGOTA, D.C.",2000-12,2000-12-01,469.1401109080157,1223.8587250310159,22,0.3833286484076227,14.041579254790658,9.552107654786223
"BOGOTA, D.C.",2001-01,2001-01-01,470.03786709728814,1201.292172866451,22,0.39127689142909516,11.095245805543241,9.269376343073343
"BOGOTA, D.C.",2001-02,2001-02-01,477.4079860222226,1188.5593611565519,22,0.40166945095419637,12.51933274414494,11.802480593204145
"BOGOTA, D.C.",2001-03,2001-03-01,481.91294575062346,1169.342956277544,22,0.41212284485360273,11.170880572722908,6.848006808483942
