"ciudad","year","quarter","model","n_deciles","sum_rate","incidence","quarter_month","quarter_date"
"BOGOTÁ D.C.",2022,1,"CoCA",10,42.3529411764706,4.23529411764706,1,2022-01-01
"BOGOTÁ D.C.",2022,1,"CoNA",10,156.217093717094,15.6217093717094,1,2022-01-01
"BOGOTÁ D.C.",2022,2,"CoCA",10,32.7868852459016,3.27868852459016,4,2022-04-01
"BOGOTÁ D.C.",2022,2,"CoNA",10,147.768301586248,14.7768301586248,4,2022-04-01
"BOGOTÁ D.C.",2022,3,"CoCA",10,21.285140562249,2.1285140562249,7,2022-07-01
"BOGOTÁ D.C.",2022,3,"CoNA",10,162.204724409449,16.2204724409449,7,2022-07-01
"BOGOTÁ D.C.",2022,4,"CoCA",10,27.2727272727273,2.72727272727273,10,2022-10-01
"BOGOTÁ D.C.",2022,4,"CoNA",10,159.016393442623,15.9016393442623,10,2022-10-01
"BOGOTÁ D.C.",2023,1,"CoCA",10,35.8108108108108,3.58108108108108,1,2023-01-01
"BOGOTÁ D.C.",2023,1,"CoNA",10,197.772198310218,19.7772198310218,1,2023-01-01
"BOGOTÁ D.C.",2023,2,"CoCA",10,30.0411522633745,3.00411522633745,4,2023-04-01
"BOGOTÁ D.C.",2023,2,"CoNA",10,164.285714285714,16.4285714285714,4,2023-04-01
"BOGOTÁ D.C.",2023,3,"CoCA",10,26.0162601626016,2.60162601626016,7,2023-07-01
"BOGOTÁ D.C.",2023,3,"CoNA",10,158.4,15.84,7,2023-07-01
"BOGOTÁ D.C.",2023,4,"CoCA",10,34.4398340248963,3.44398340248963,10,2023-10-01
"BOGOTÁ D.C.",2023,4,"CoNA",10,145.267489711934,14.5267489711934,10,2023-10-01
"CALI",2022,1,"CoCA",10,38.8059701492537,3.88059701492537,1,2022-01-01
"CALI",2022,1,"CoNA",10,116.349941741109,11.6349941741109,1,2022-01-01
"CALI",2022,2,"CoCA",10,26.5957446808511,2.65957446808511,4,2022-04-01
"CALI",2022,2,"CoNA",10,87.2836116830626,8.72836116830626,4,2022-04-01
"CALI",2022,3,"CoCA",10,28.5171102661597,2.85171102661597,7,2022-07-01
"CALI",2022,3,"CoNA",10,110.814881085514,11.0814881085514,7,2022-07-01
"CALI",2022,4,"CoCA",10,31.6176470588235,3.16176470588235,10,2022-10-01
"CALI",2022,4,"CoNA",10,103.615656789031,10.3615656789031,10,2022-10-01
"CALI",2023,1,"CoCA",10,29.4117647058824,2.94117647058824,1,2023-01-01
"CALI",2023,1,"CoNA",10,160.975609756098,16.0975609756098,1,2023-01-01
"CALI",2023,2,"CoCA",10,21.8487394957983,2.18487394957983,4,2023-04-01
"CALI",2023,2,"CoNA",10,137.010676156584,13.7010676156584,4,2023-04-01
"CALI",2023,3,"CoCA",10,33.201581027668,3.3201581027668,7,2023-07-01
"CALI",2023,3,"CoNA",10,144.515608614988,14.4515608614988,7,2023-07-01
"CALI",2023,4,"CoCA",10,36.283185840708,3.6283185840708,10,2023-10-01
"CALI",2023,4,"CoNA",10,145.689655172414,14.5689655172414,10,2023-10-01
"MEDELLÍN",2022,1,"CoCA",10,31.9277108433735,3.19277108433735,1,2022-01-01
"MEDELLÍN",2022,1,"CoNA",10,80.9373415994073,8.09373415994073,1,2022-01-01
"MEDELLÍN",2022,2,"CoCA",10,22.0779220779221,2.20779220779221,4,2022-04-01
"MEDELLÍN",2022,2,"CoNA",10,57.796451914099,5.7796451914099,4,2022-04-01
"MEDELLÍN",2022,3,"CoCA",10,19.4285714285714,1.94285714285714,7,2022-07-01
"MEDELLÍN",2022,3,"CoNA",10,65.1152647975078,6.51152647975078,7,2022-07-01
"MEDELLÍN",2022,4,"CoCA",10,21.405750798722,2.1405750798722,10,2022-10-01
"MEDELLÍN",2022,4,"CoNA",10,63.1202663151545,6.31202663151545,10,2022-10-01
"MEDELLÍN",2023,1,"CoCA",10,27.8048780487805,2.78048780487805,1,2023-01-01
"MEDELLÍN",2023,1,"CoNA",10,115.642122298,11.5642122298,1,2023-01-01
"MEDELLÍN",2023,2,"CoCA",10,23.7179487179487,2.37179487179487,4,2023-04-01
"MEDELLÍN",2023,2,"CoNA",10,74.465811965812,7.4465811965812,4,2023-04-01
"MEDELLÍN",2023,3,"CoCA",10,16.4473684210526,1.64473684210526,7,2023-07-01
"MEDELLÍN",2023,3,"CoNA",10,51.6447368421053,5.16447368421053,7,2023-07-01
"MEDELLÍN",2023,4,"CoCA",10,17.4846625766871,1.74846625766871,10,2023-10-01
"MEDELLÍN",2023,4,"CoNA",10,55.8386031146767,5.58386031146767,10,2023-10-01
