"deciles","rate","gap","severity","model","ciudad","year","quarter"
"Decil 1",16.4473684210526,0.0921481127219466,0.0704209536305468,"CoCA","MEDELLÍN",2023,3
"Decil 2",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 3",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 4",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 5",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 6",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 7",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 8",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 9",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 10",0,0,0,"CoCA","MEDELLÍN",2023,3
"Decil 1",51.6447368421053,0.211571212355252,0.136615360195852,"CoNA","MEDELLÍN",2023,3
"Decil 2",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 3",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 4",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 5",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 6",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 7",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 8",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 9",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 10",0,0,0,"CoNA","MEDELLÍN",2023,3
"Decil 1",17.4846625766871,0.0969186527867496,0.0672310398415444,"CoCA","MEDELLÍN",2023,4
"Decil 2",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 3",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 4",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 5",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 6",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 7",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 8",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 9",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 10",0,0,0,"CoCA","MEDELLÍN",2023,4
"Decil 1",52.4539877300613,0.220434421340924,0.140375401033596,"CoNA","MEDELLÍN",2023,4
"Decil 2",3.38461538461538,0.000728795748122244,1.91644996342903e-05,"CoNA","MEDELLÍN",2023,4
"Decil 3",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 4",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 5",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 6",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 7",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 8",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 9",0,0,0,"CoNA","MEDELLÍN",2023,4
"Decil 10",0,0,0,"CoNA","MEDELLÍN",2023,4
