cod_mun,year,month,food_sipsa,q1,q2,q3,precio_hat_q1,precio_hat_q2,precio_hat_q3
76001,2018,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2122.0420767863193,2341.904910440123,2668.402520980051
76001,2022,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3928.4133673803112,4335.432674002047,4939.858755696534
76001,2023,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2818.2353397677084,3110.230118986694,3543.8440960322564
76001,2014,5,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1850.679209340734,2042.4263851394576,2327.1720771950813
76001,2017,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2090.5046108111947,2307.099876535312,2628.7451293411486
76001,2023,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,5576.060885554896,6153.791440634595,7011.724737657601
76001,2014,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2082.0057819521703,2297.7204918116686,2618.058113941745
76001,2023,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2990.58092847684,3300.432276100307,3760.5633630166813
76001,2022,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,4184.858865356442,4618.448254861822,5262.331067051366
76001,2013,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1757.6584910361705,1939.7678755117706,2210.201390354046
76001,2021,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2868.8729611925564,3166.114257932446,3607.5193445792265
76001,2017,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2391.813264611094,2639.626843654043,3007.631476689349
76001,2022,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2914.4764331190277,3216.4426637666324,3664.864305258954
76001,2018,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2239.875723133127,2471.947192830945,2816.57470022556
76001,2018,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1809.924807886964,1997.4494575230297,2275.924673211007
76001,2016,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2270.10529732681,2505.3088254861823,2854.587458251894
76001,2019,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2006.2566383236551,2214.1230488741044,2522.80590003347
76001,2018,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2073.99556172093,2288.8803400076763,2607.9855088353384
76001,2014,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1975.3114252306923,2179.971630629478,2483.893248143655
76001,2021,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2715.4794647126078,2996.827801944729,3414.631749565597
76001,2015,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1905.4255851355806,2102.8449827277377,2396.013957751345
76001,2020,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1297.9221912579453,1432.3987192937564,1632.0971601249742
76001,2024,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,5996.560431889891,6617.858559365404,7540.489959509634
76001,2013,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2086.21077741552,2302.3611629989764,2623.345766160265
76001,2022,10,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3482.7430735534326,3843.5868897134083,4379.442094508287
76001,2023,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,4164.426140921854,4595.898514585466,5236.637545707851
76001,2015,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1862.3391879582975,2055.2944434493347,2341.834141005239
76001,2019,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1635.2102076491842,1804.6328377686796,2056.226447230232
76001,2021,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3090.967792003293,3411.220130501535,3886.7967504869907
76001,2021,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2743.31535017422,3027.547737973388,3449.634517772704
76001,2020,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2421.425908719192,2672.3076266632547,3044.8684641437176
76001,2024,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,5561.698753162469,6137.941260875128,6993.664798742232
76001,2019,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2271.5859295322152,2506.9428646366428,2856.4493076246126
76001,2016,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2257.96411324249,2491.909704452405,2839.320293395603
76001,2021,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2724.955510827199,3007.2856525076763,3426.5475855509953
76001,2022,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3830.099388941425,4226.932474411464,4816.23195734803
76001,2022,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3257.390851890805,3594.886131013306,4096.068619980542
76001,2014,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1957.6030640540496,2160.428522389969,2461.6255296459426
76001,2016,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2078.5384105329676,2293.893869219317,2613.6980012289064
76001,2022,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3680.555536195529,4061.8945202149434,4628.185170703468
