cod_mun,year,month,food_sipsa,m_q1,m_q2,m_q3,precio_hat_q1,precio_hat_q2,precio_hat_q3,codigo_tcac,nombre_del_alimento_en_base_de_referencia,parte_analizada,humedad_g,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,fibra_dietaria_g,cenizas_g,calcio_mg,hierro_mg,sodio_mg,fosforo_mg,zinc_mg,magnesio_mg,potasio_mg,tiamina_mg,riboflavina_mg,niacina_mg,folatos_mcg,vitamina_b12_mcg,vitamina_c_mg,vitamina_a_er,parte_comestible_percent,codigo2,micr_sin_inf_por_alimento,grupos_gabas,subgrupos_gabas,grupo_tcac,pc,precio_q1_100g,precio_q2_100g,precio_q3_100g
76001,2021,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2927.20987008551,3230.4954004605934,3680.8762098643324,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,760.3142519702623,839.0897144053489,956.0717428219044
76001,2017,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2050.6756044858025,2263.144223387922,2578.661381215023,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,532.6430141521564,587.8296684124472,669.7821769389669
76001,2023,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,4361.054097799626,4812.898913766632,5483.891142404858,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1132.741324103799,1250.1036139653588,1424.3873097155474
76001,2018,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2122.0420767863193,2341.904910440123,2668.402520980051,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,551.1797602042387,608.2869897247072,693.0915638909223
76001,2019,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3504.3603037523444,3867.443861310133,4406.625095349976,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,910.2234555200894,1004.5308730675669,1144.5779468441494
76001,2018,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1847.434157090555,2038.8451160013647,2323.0915239865403,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,479.8530278157285,529.5701600003545,603.4003958406597
76001,2020,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2889.897938509306,3189.3176138689864,3633.9576056718283,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,750.6228411712483,828.3941854205159,943.885092382293
76001,2016,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2309.490113990581,2548.774266888434,2904.1126515662045,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,599.8675620754756,662.0192901008919,754.3149744327803
76001,2017,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1989.0319503341111,2195.1137267570793,2501.146385664179,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,516.6316754114574,570.1594095472933,649.6484118608256
76001,2022,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3188.0972646778555,3518.4130987717504,4008.9340693373197,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,828.0772116046377,913.8735321485065,1041.2815764512518
76001,2016,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2257.96411324249,2491.909704452405,2839.320293395603,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,586.4841852577896,647.2492738837415,737.4857904923643
76001,2024,10,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,6072.566218434011,6701.739235755715,7636.064893975848,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1577.2899268659767,1740.7114898066789,1983.3934789547654
76001,2014,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2377.006942557045,2623.286452149437,2989.0129829621646,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,617.4044006641675,681.3731044543991,776.3670085616011
76001,2014,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2082.0057819521703,2297.7204918116686,2618.058113941745,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,540.7807225849792,596.8105173536801,680.0150945303233
76001,2015,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1988.711146689607,2194.759684941146,2500.742984966757,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,516.5483497895083,570.0674506340639,649.5436324588978
76001,2018,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2042.7130935145137,2254.3567239565564,2568.6487690328486,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,530.5748294842892,585.5472010276769,667.1814984500904
76001,2022,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3830.099388941425,4226.932474411464,4816.23195734803,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,994.8310101146557,1097.9045388081722,1250.9693395709166
76001,2015,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1674.7219356448468,1848.2383396695423,2105.9112276336323,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,434.992710557103,480.0619064076733,546.9899292554888
76001,2013,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1964.058620469615,2167.5529330859777,2469.743192910995,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,510.145096225874,563.0007618405136,641.4917384184401
76001,2016,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2109.1309639551882,2327.6560890481064,2652.1671944499467,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,547.8262244039449,604.5859971553523,688.8745959610251
76001,2022,5,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3343.5636462453713,3689.9872095701126,4204.4282534727545,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,868.4580899338625,958.4382362519772,1092.0592866162997
76001,2017,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1975.0787544555571,2179.714853048691,2483.6006718136564,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,513.007468689755,566.1597020905691,645.0910835879627
