ciudad,articulo,rmse,mape,n_valid
CALI,ACEITE DE GIRASOL,270.43320734013,4.557340933964666,38
CALI,ACEITE DE SOYA O DE MAÍZ,76.25008763920509,1.9540051626692008,38
CALI,AGUACATE,1688.0806079982692,75.71308351125349,38
CALI,AHUYAMA,322.4276132374457,41.68466224270422,38
CALI,AJO,1730.0997157967506,19.07741021307971,38
CALI,ARRACACHA,588.7280795510055,18.357999822320952,38
CALI,ARROZ INTEGRAL,158.95087130899333,8.637911476973049,38
CALI,ARROZ PARA SECO,8.900608448096667,0.5513653946712155,38
CALI,ARVEJA FRESCA,1518.203463867737,25.746090865098314,38
CALI,ARVEJA SECA,504.7726740853412,36.67901910381592,38
CALI,ARVEJA TARRO,23.534110793831946,0.5719764757955372,38
CALI,AVENA HOJUELAS,231.0627405379592,3.4369237133922224,38
CALI,AVENA MOLIDA,86.97607650579222,1.2113936539681947,38
CALI,AZÚCAR NATURAL O MORENA,9.734381927367842,0.6020187493667063,38
CALI,AZÚCAR REFINADA,10.209104762502662,0.5920929614616728,38
CALI,BANANOS,5.004232461975198,0.5409448148206,38
CALI,CAFÉ MOLIDO,96.16719742798317,1.044223824283754,38
CALI,CAMARONES O VARIEDAD DISPONIBLE,2479.12468777899,7.8032893909275245,38
CALI,CARNE DE CERDO CON HUESO,132.79749359458532,1.9126431789260596,38
CALI,CARNE DE CERDO SIN HUESO,76.97934609794679,0.900056821548189,38
CALI,CARNE DE RES CON HUESO,114.01547005964538,3.1687120986230277,38
CALI,CARNE DE RES SIN HUESO,44.21272900857188,0.4684489027202077,38
CALI,CEBOLLA CABEZONA,289.4458737747563,16.830457678492174,38
CALI,CEBOLLA LARGA,587.784538418514,39.968697942216025,38
CALI,CURUBAS,539.4974233815782,31.993258228835785,38
CALI,FRÍJOL FRESCO,1487.8367295531607,29.30937809742128,38
CALI,FRÍJOL SECO,512.6285449524969,14.746898360720124,38
CALI,FRÍJOL TARRO,109.8495644195943,1.7754604236705311,38
CALI,GUAYABAS,531.9883176755438,44.27201707503191,38
CALI,HABICHUELAS FRESCAS,356.4813187200273,16.815010838165236,38
CALI,HARINA DE TRIGO,126.24975537057372,6.459023349080033,38
CALI,HARINA PRECOCIDA,146.23801623154918,7.3662107605132725,38
CALI,HUEVOS,48.43850961383751,1.0846606997307247,38
CALI,LECHE EN POLVO ENTERA,384.9568624068854,2.589386382255085,38
CALI,LECHE EN POLVO LACTANTE,3329.558463031808,8.686102255641448,38
CALI,LECHE LARGA VIDA,30.481281052071086,1.5980986349378903,38
CALI,LECHE PASTEURIZADA,43.21865301846272,3.418647367741649,38
CALI,LECHUGA,483.3037217636854,48.57340545152459,38
CALI,LENTEJAS,422.16748538610295,14.55312022100854,38
CALI,LIMONES,308.87296392531596,26.26964357330346,38
CALI,LULOS,636.2645350233832,35.591773264006896,38
CALI,MANTECA VEGETAL,358.70145902493636,9.447275573339994,38
CALI,MANZANAS,1241.2398140495386,34.62313214870624,38
CALI,MARACUYA,267.53095397000214,12.470540947083245,38
CALI,MORAS,30.844769001980435,1.0003203434979644,38
CALI,NARANJAS,7.662377614930365,0.8684657515402502,38
CALI,PAN CORRIENTE,8.592722392241122,0.23500890488771733,38
CALI,PAN FRANCÉS,257.2727621642017,6.983817626712449,38
CALI,PAN INTEGRAL,98.14003281043108,2.394064107959495,38
CALI,PANELA,5.069146764182419,0.2159191002649612,38
CALI,PAPA,65.45233811104289,7.036433059487922,38
CALI,PAPA CRIOLLA,603.0177699337365,26.78262179521076,38
CALI,PASTA PARA SECO,67.05482282043697,1.7527299077507692,38
CALI,PASTA PARA SOPA,60.53229684794407,1.2470405667165592,38
CALI,PESCADO DE MAR,738.877875777293,4.403328804788675,38
CALI,PESCADO DE RÍO,952.1992549113825,10.865414265876296,38
CALI,PESCADO ENLATADO,274.74676185648093,1.8000431576658211,38
CALI,PIÑAS,413.39794102619635,47.702581237298716,38
CALI,PLÁTANO,6.132459943946748,0.6982741004824472,38
CALI,POLLO DESPRESADO POR LIBRA,196.54319646163,3.4172847543282683,38
CALI,POLLO ENTERO POR LIBRA,123.65337186133817,2.760473437166323,38
CALI,QUESO CAMPESINO,222.81536683695197,2.5251389267009237,38
CALI,REPOLLO,632.4507597652757,89.59672131968583,38
CALI,SAL,2.1095807051244337,0.3236764211255258,38
CALI,TOMATE,5.887148061770841,0.39572628180244324,38
CALI,TOMATE DE ÁRBOL,3.9480196224673527,0.2143265010655854,38
CALI,YUCA,3.285266483623204,0.262467974437467,38
CALI,ZANAHORIA,6.25636632557997,0.4861822046399702,38
