"fecha","year","mes","dominio","pm","pme"
2018-01-01,2018,"1","BOGOTA",14.0635500707455,2.63031510669835
2018-01-01,2018,"1","CALI",12.396798037361,1.73994282249802
2018-01-01,2018,"1","MEDELLIN",16.6234722075135,2.04933374329305
2018-02-01,2018,"2","BOGOTA",16.1734020459207,3.8081304050262
2018-02-01,2018,"2","CALI",16.2687697368955,5.35445068323333
2018-02-01,2018,"2","MEDELLIN",13.796928150242,2.98369334084197
2018-03-01,2018,"3","BOGOTA",13.0067189723466,2.90196853347712
2018-03-01,2018,"3","CALI",13.7248710064583,1.80101095893459
2018-03-01,2018,"3","MEDELLIN",14.2876136767667,3.35149977409379
2018-04-01,2018,"4","BOGOTA",11.4447827338617,2.17576414752134
2018-04-01,2018,"4","CALI",15.0304108164348,4.28796813621739
2018-04-01,2018,"4","MEDELLIN",12.9725476521366,2.06783613116359
2018-05-01,2018,"5","BOGOTA",10.1813002658867,2.05000375757993
2018-05-01,2018,"5","CALI",12.1469814292435,2.93223877401973
2018-05-01,2018,"5","MEDELLIN",12.8793340057374,1.84300988917191
2018-06-01,2018,"6","BOGOTA",13.2245304008476,2.8055337441516
2018-06-01,2018,"6","CALI",18.1952710739993,3.02783183434935
2018-06-01,2018,"6","MEDELLIN",14.324492951418,3.23606615899924
2018-07-01,2018,"7","BOGOTA",11.4359784017522,2.30938785946052
2018-07-01,2018,"7","CALI",17.8393402347925,4.35522863181532
2018-07-01,2018,"7","MEDELLIN",11.3586422221157,1.71506299029503
2018-08-01,2018,"8","BOGOTA",12.4852797092195,2.05034505529644
2018-08-01,2018,"8","CALI",14.5692638434214,2.17255679143582
2018-08-01,2018,"8","MEDELLIN",13.8249809126652,3.34472405092501
2018-09-01,2018,"9","BOGOTA",12.0124091465031,1.89014425131724
2018-09-01,2018,"9","CALI",20.0081147140684,4.56875531802392
2018-09-01,2018,"9","MEDELLIN",15.0987451560338,2.2041649431935
2018-10-01,2018,"10","BOGOTA",11.6813719066308,1.56823416854471
2018-10-01,2018,"10","CALI",17.5615023190732,3.63979465936697
2018-10-01,2018,"10","MEDELLIN",12.7691011694469,4.51581934273287
2018-11-01,2018,"11","BOGOTA",12.5366075694917,2.96006101047224
2018-11-01,2018,"11","CALI",14.6139429207468,3.66925089390594
2018-11-01,2018,"11","MEDELLIN",13.9882010336039,2.04330092188854
2018-12-01,2018,"12","BOGOTA",10.8301228731853,3.1639742698366
2018-12-01,2018,"12","CALI",16.1478259928256,3.58880154973417
2018-12-01,2018,"12","MEDELLIN",14.5994194577717,2.87393394432079
2019-01-01,2019,"01","BOGOTA",27.447932343754,4.56181672352869
2019-01-01,2019,"01","CALI",25.0861620457511,5.02667632385717
2019-01-01,2019,"01","MEDELLIN",26.9912611383234,3.99704696889202
2019-02-01,2019,"02","BOGOTA",29.7555885897753,5.58462088509359
2019-02-01,2019,"02","CALI",24.3799369396101,6.10844260860928
2019-02-01,2019,"02","MEDELLIN",26.203912921458,4.5177562491414
2019-03-01,2019,"03","BOGOTA",29.059099853128,4.19798993695043
2019-03-01,2019,"03","CALI",19.2293089378094,5.50258594128489
2019-03-01,2019,"03","MEDELLIN",28.458968080926,3.97117465921559
2019-04-01,2019,"04","BOGOTA",26.4433761224494,5.33913280603237
2019-04-01,2019,"04","CALI",21.8270831084589,6.26924320354639
2019-04-01,2019,"04","MEDELLIN",24.711652881277,3.82162683356034
2019-05-01,2019,"05","BOGOTA",25.2643489066512,3.30924512531269
2019-05-01,2019,"05","CALI",23.8384172080846,3.76215590195583
2019-05-01,2019,"05","MEDELLIN",26.1204190903227,3.98607166324372
2019-06-01,2019,"06","BOGOTA",32.4649502057141,5.98368904716493
2019-06-01,2019,"06","CALI",21.1050181007863,4.9999697312257
2019-06-01,2019,"06","MEDELLIN",24.4202106526634,3.84715145818542
2019-07-01,2019,"07","BOGOTA",23.6939953502487,2.58321747632853
2019-07-01,2019,"07","CALI",20.3011378106257,3.05391077990798
2019-07-01,2019,"07","MEDELLIN",24.2759409771651,3.67345418224608
2019-08-01,2019,"08","BOGOTA",27.5227509520051,3.28166310124272
2019-08-01,2019,"08","CALI",23.4034001646815,3.22926663660036
2019-08-01,2019,"08","MEDELLIN",21.7836923753764,3.8966292981417
2019-09-01,2019,"09","BOGOTA",25.9368917298882,4.48845054279814
2019-09-01,2019,"09","CALI",19.4009240272042,2.51132665313717
2019-09-01,2019,"09","MEDELLIN",24.8339281149753,4.07389512928258
