R2_MIN,LAM_MIN,LAM_MAX,MAPE_S5,MAPE_BASE,imp_pp,MAPE_S5_multi,MAPE_BASE_multi,imp_pp_multi,n_dcity,n_low_r2,n_low_lam,n_high_lam,n_obs
0.2,0.1,3,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.2,3,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.3,3,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.1,4,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.2,4,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.3,4,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.1,5,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.2,5,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.2,0.3,5,8.120009325860128,8.008194577779713,-0.11181474808041436,9.721217920876628,9.57521777210921,-0.14600014876741696,2704,1378,0,0,5330
0.05,0.1,3,8.147683447658824,8.008194577779713,-0.13948886987911102,9.757352920677475,9.57521777210921,-0.18213514856826407,3536,546,0,0,5330
0.05,0.1,4,8.147683447658824,8.008194577779713,-0.13948886987911102,9.757352920677475,9.57521777210921,-0.18213514856826407,3536,546,0,0,5330
0.05,0.1,5,8.147683447658824,8.008194577779713,-0.13948886987911102,9.757352920677475,9.57521777210921,-0.18213514856826407,3536,546,0,0,5330
0.1,0.1,3,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.1,0.2,3,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.1,0.1,4,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.1,0.2,4,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.1,0.1,5,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.1,0.2,5,8.1577703784799,8.008194577779713,-0.14957580070018572,9.770523753915185,9.57521777210921,-0.19530598180597458,3094,988,0,0,5330
0.05,0.2,3,8.164341131496293,8.008194577779713,-0.15614655371657982,9.779103399573533,9.57521777210921,-0.20388562746432193,3484,546,52,0,5330
0.05,0.2,4,8.164341131496293,8.008194577779713,-0.15614655371657982,9.779103399573533,9.57521777210921,-0.20388562746432193,3484,546,52,0,5330
0.05,0.2,5,8.164341131496293,8.008194577779713,-0.15614655371657982,9.779103399573533,9.57521777210921,-0.20388562746432193,3484,546,52,0,5330
0.15,0.1,3,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.15,0.2,3,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.15,0.1,4,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.15,0.2,4,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.15,0.1,5,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.15,0.2,5,8.182249897421444,8.008194577779713,-0.17405531964173093,9.802487456991724,9.57521777210921,-0.2272696848825131,2912,1170,0,0,5330
0.1,0.3,3,8.215336632562023,8.008194577779713,-0.20714205478230951,9.845689881856812,9.57521777210921,-0.27047210974760105,3068,988,26,0,5330
0.1,0.3,4,8.215336632562023,8.008194577779713,-0.20714205478230951,9.845689881856812,9.57521777210921,-0.27047210974760105,3068,988,26,0,5330
0.1,0.3,5,8.215336632562023,8.008194577779713,-0.20714205478230951,9.845689881856812,9.57521777210921,-0.27047210974760105,3068,988,26,0,5330
0.15,0.3,3,8.239816151503568,8.008194577779713,-0.23162157372385472,9.87765358493335,9.57521777210921,-0.30243581282413956,2886,1170,26,0,5330
0.15,0.3,4,8.239816151503568,8.008194577779713,-0.23162157372385472,9.87765358493335,9.57521777210921,-0.30243581282413956,2886,1170,26,0,5330
0.15,0.3,5,8.239816151503568,8.008194577779713,-0.23162157372385472,9.87765358493335,9.57521777210921,-0.30243581282413956,2886,1170,26,0,5330
0.05,0.3,3,8.25071676415563,8.008194577779713,-0.2425221863759166,9.891886868969483,9.57521777210921,-0.3166690968602719,3354,546,182,0,5330
0.05,0.3,4,8.25071676415563,8.008194577779713,-0.2425221863759166,9.891886868969483,9.57521777210921,-0.3166690968602719,3354,546,182,0,5330
0.05,0.3,5,8.25071676415563,8.008194577779713,-0.2425221863759166,9.891886868969483,9.57521777210921,-0.3166690968602719,3354,546,182,0,5330
