"ciudad","fecha","model","n_deciles","sum_rate","incidence"
"BOGOTÁ D.C.",18231,"CoCA",10,22.6890756302521,2.26890756302521
"BOGOTÁ D.C.",18231,"CoNA",10,107.983193277311,10.7983193277311
"BOGOTÁ D.C.",18231,"CoRD",10,677.637130801688,67.7637130801688
"BOGOTÁ D.C.",18262,"CoCA",10,15.4761904761905,1.54761904761905
"BOGOTÁ D.C.",18262,"CoNA",10,103.174603174603,10.3174603174603
"BOGOTÁ D.C.",18262,"CoRD",10,655.776892430279,65.5776892430279
"BOGOTÁ D.C.",18293,"CoCA",10,15.5642023346303,1.55642023346304
"BOGOTÁ D.C.",18293,"CoNA",10,85.6031128404669,8.56031128404669
"BOGOTÁ D.C.",18293,"CoRD",10,595.703125,59.5703125
"BOGOTÁ D.C.",18322,"CoCA",10,82.2784810126582,8.22784810126582
"BOGOTÁ D.C.",18322,"CoNA",10,214.767932489451,21.4767932489451
"BOGOTÁ D.C.",18322,"CoRD",10,722.033898305085,72.2033898305085
"BOGOTÁ D.C.",18353,"CoCA",10,175.075987841945,17.5075987841945
"BOGOTÁ D.C.",18353,"CoNA",10,336.77811550152,33.677811550152
"BOGOTÁ D.C.",18353,"CoRD",10,847.865853658537,84.7865853658537
"BOGOTÁ D.C.",18383,"CoCA",10,217.508417508417,21.7508417508418
"BOGOTÁ D.C.",18383,"CoNA",10,431.986531986532,43.1986531986532
"BOGOTÁ D.C.",18383,"CoRD",10,850.337837837838,85.0337837837838
"BOGOTÁ D.C.",18414,"CoCA",10,188.813559322034,18.8813559322034
"BOGOTÁ D.C.",18414,"CoNA",10,363.389830508475,36.3389830508475
"BOGOTÁ D.C.",18414,"CoRD",10,867.006802721088,86.7006802721089
"BOGOTÁ D.C.",18444,"CoCA",10,140.590405904059,14.0590405904059
"BOGOTÁ D.C.",18444,"CoNA",10,373.062730627306,37.3062730627306
"BOGOTÁ D.C.",18444,"CoRD",10,845.555555555556,84.5555555555556
"BOGOTÁ D.C.",18475,"CoCA",10,71.6417910447761,7.16417910447761
"BOGOTÁ D.C.",18475,"CoNA",10,233.582089552239,23.3582089552239
