"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q3"
"Decil 1",38.7218045112782,0.146410216869163,0.0831806603434183,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q3"
"Decil 1",47.7443609022556,0.360229494207375,0.276976465373248,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 2",47.3684210526316,0.247694479881938,0.130899269517216,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 3",45.1127819548872,0.180307557873485,0.0728679761174621,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 4",53.0075187969925,0.131858985221638,0.0339484047796359,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 5",53.7593984962406,0.057090045863792,0.0075498324908351,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 6",4.88721804511278,0.000388687961514562,4.08396905022967e-06,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q3"
"Decil 1",9.7165991902834,0.0718365846396797,0.0641689765129808,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2018Q4"
"Decil 1",37.6518218623482,0.165769265818174,0.114707233317595,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2018Q4"
"Decil 1",46.5587044534413,0.363728231395764,0.290820120964287,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 2",51.417004048583,0.281262268565487,0.155093689827342,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 3",42.1052631578947,0.17842433818229,0.0761778014483261,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 4",53.8461538461538,0.151722707158521,0.0437027657986511,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 5",47.7732793522267,0.0710449294704806,0.0115688535385676,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 6",13.3603238866397,0.00516289839101986,0.000254138918677676,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2018Q4"
"Decil 1",13.7931034482759,0.103509788970207,0.093671831850577,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q1"
"Decil 1",49.0421455938697,0.215993150023099,0.152596173843317,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q1"
"Decil 1",53.639846743295,0.431582287876815,0.354325833495027,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 2",54.4061302681992,0.310357782908077,0.178416544040281,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 3",49.4252873563218,0.225023763924805,0.103315367176627,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 4",49.0421455938697,0.144651997135492,0.0438521689508895,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 5",48.2758620689655,0.0716320378119148,0.0117709658919256,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 6",12.2605363984674,0.00290620719775859,9.57598843639267e-05,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q1"
"Decil 1",9.77443609022556,0.0575589672957082,0.0467941280323458,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
