"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17866
"Decil 1",88.034188034188,0.336660991910149,0.21217994848493,"CoNA","BOGOTÁ D.C.",17866
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17866
"Decil 1",18.4615384615385,0.0972583755034135,0.0753820429557013,"CoCA","BOGOTÁ D.C.",17897
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17897
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17897
