ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok,v_item,k_city,v_sc,Q_sc,kb,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
MEDELLÍN,ARROZ PARA SECO,011101,3,TRUE,1.0428538953628692,0.0013203019559393106,0.005515947604787507,0.4939418691237329,203,TRUE,0.005515947604787507,2,0.003441787960563779,0.024246260795932933,2,0.24977631256679025,1.0107038879628605,none,1.0107038879628605,D_city
MEDELLÍN,ARROZ INTEGRAL,011101,3,TRUE,0.8503009537499948,3.273566883584126e-4,0.0013676283163400517,0.7235379904385493,203,TRUE,0.0013676283163400517,2,0.003441787960563779,0.024246260795932933,2,0.9424820866960093,0.8589113305138927,none,0.8589113305138927,D_city
MEDELLÍN,HARINA PRECOCIDA,011106,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,HARINA DE TRIGO,011105,3,TRUE,0.14549657785628622,4.370709535303709e-4,0.0038278064568905406,0.026648568762747633,203,TRUE,0.0038278064568905406,2,0.002909492797005213,1.548284571673356,2,0.9947850325709802,0.14995278537075163,low_R2,1,BASE_lowR2
MEDELLÍN,FECULA DE MAÍZ,011105,3,TRUE,0.09550651012954324,2.273590825220912e-4,0.0019911791371198862,0.022175087741137498,203,TRUE,0.0019911791371198862,2,0.002909492797005213,1.548284571673356,2,0.9975720278244216,0.0977025951559406,low_R2,1,BASE_lowR2
MEDELLÍN,PASTA PARA SECO,011102,2,TRUE,1.0287644211574694,5.496730102128823e-5,8.105860800021939e-4,0.8660182401924825,203,TRUE,8.105860800021939e-4,2,5.366389009907825e-4,0.0022705915650186896,2,0.5051300580580553,1.0145297737292789,none,1.0145297737292789,D_city
MEDELLÍN,PASTA PARA SOPA,011102,2,TRUE,0.9620105325057797,1.7813598474083798e-5,2.6269172197937105e-4,0.9457718856823885,203,TRUE,2.6269172197937105e-4,2,5.366389009907825e-4,0.0022705915650186896,2,0.8460091142038318,0.9678605642561394,none,0.9678605642561394,D_city
MEDELLÍN,AVENA HOJUELAS,011103,2,TRUE,1.0062021653029678,1.3529698846546578e-4,0.0034845407216574013,0.5898916191352107,203,TRUE,0.0034845407216574013,2,0.0035473841311363446,0.0015676332367950466,2,0.010918754392203404,1.000067719919643,none,1.000067719919643,D_city
MEDELLÍN,AVENA MOLIDA,011103,2,TRUE,0.9608954429465093,1.4017712890667658e-4,0.0036102275406152875,0.5587122507552981,203,TRUE,0.0036102275406152875,2,0.0035473841311363446,0.0015676332367950466,2,0.2975382711017234,0.9883648977021057,none,0.9883648977021057,D_city
MEDELLÍN,PAN CORRIENTE,011108,3,TRUE,0.5892616131788014,9.626444209007338e-5,0.002519590882071073,0.4055532356494988,203,TRUE,0.002519590882071073,3,0.008218343160870362,1.2068619733723014,3,0.9931903205650717,0.5920586099246734,none,0.5920586099246734,D_city
MEDELLÍN,PAN FRANCÉS,011108,3,TRUE,1.8914879631672814,6.992886688909624e-4,0.018302930093592393,0.49178924392348466,203,TRUE,0.018302930093592393,3,0.008218343160870362,1.2068619733723014,3,0.9931903205650717,1.885417215918015,none,1.885417215918015,D_city
MEDELLÍN,PAN INTEGRAL,011108,3,TRUE,0.506638912669764,1.4642626938049297e-4,0.0038325085069476207,0.24900136875314838,203,TRUE,0.0038325085069476207,3,0.008218343160870362,1.2068619733723014,3,0.9931903205650717,0.5099985435201506,none,0.5099985435201506,D_city
MEDELLÍN,PAPA,011705,2,TRUE,1.0762463735695107,8.498677561687218e-4,3.6613801550192115e-4,0.9399805959236243,203,TRUE,3.6613801550192115e-4,2,0.004011473271773543,0.16794163632780823,2,0.9407509869098158,1.0717288511838117,none,1.0717288511838117,D_city
MEDELLÍN,PAPA CRIOLLA,011705,2,TRUE,0.597348628655872,0.017772737076270997,0.007656808528045164,0.187457447679522,203,TRUE,0.007656808528045164,2,0.004011473271773543,0.16794163632780823,2,0.9549028981210371,0.6155070385710822,low_R2,1,BASE_lowR2
MEDELLÍN,YUCA,011706,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,ARRACACHA,011712,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,PLÁTANO,011704,2,TRUE,0.9998875291355004,4.810615736861368e-6,1.05676524150423e-5,0.9978694030912891,203,TRUE,1.05676524150423e-5,1,1.05676524150423e-5,1.2649695361290574e-8,1,0.0011955892402025225,0.9999998655310446,none,0.9999998655310446,D_city
MEDELLÍN,CEBOLLA LARGA,011714,2,TRUE,0.38843969775043447,0.00845215336819926,0.0027431681556550824,0.2140202132008432,203,TRUE,0.0027431681556550824,2,0.0017525275761214778,0.44102831411825927,2,0.9927188475421282,0.39289256154829577,none,0.39289256154829577,D_city
MEDELLÍN,CEBOLLA CABEZONA,011714,2,TRUE,1.2588866756530344,0.0023474994528214065,7.618869965878733e-4,0.9114847567597144,203,TRUE,7.618869965878733e-4,2,0.0017525275761214778,0.44102831411825927,2,0.9887601089780634,1.2559768176316628,none,1.2559768176316628,D_city
MEDELLÍN,TOMATE,011713,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,ZANAHORIA,011715,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,HABICHUELAS FRESCAS,011716,7,TRUE,1.0208315863919286,0.02544674794477517,0.05136012413136231,0.09127717711334851,203,TRUE,0.05136012413136231,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,1.0191449954254925,low_R2,1,BASE_lowR2
MEDELLÍN,REPOLLO,011716,7,TRUE,0.837556235009141,0.018174101428752407,0.03668146937213433,0.08648586438637876,203,TRUE,0.03668146937213433,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,0.8507081947990887,low_R2,1,BASE_lowR2
MEDELLÍN,LECHUGA,011716,7,TRUE,0.9841537845436251,0.01054816137701034,0.021289749042062878,0.18381903578987213,203,TRUE,0.021289749042062878,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,0.9854367441482417,low_R2,1,BASE_lowR2
MEDELLÍN,FRÍJOL FRESCO,011716,7,TRUE,0.3642506756066875,0.004818687669324081,0.009725737739999308,0.0632622768018836,203,TRUE,0.009725737739999308,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,0.41572294695780876,low_R2,1,BASE_lowR2
MEDELLÍN,FRÍJOL SECO,011716,7,TRUE,0.7612943331934917,0.0032262435088187356,0.006511648067978541,0.30585378737182445,203,TRUE,0.006511648067978541,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,0.7806206971918176,none,0.7806206971918176,D_city
MEDELLÍN,ARVEJA FRESCA,011716,7,TRUE,1.1752598637830574,0.019567882151550992,0.03949458918965245,0.14758143798941417,203,TRUE,0.03949458918965245,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,1.161070272194878,low_R2,1,BASE_lowR2
MEDELLÍN,ARVEJA SECA,011716,7,TRUE,0.026901490397304516,5.402606772642628e-4,0.0010904283528804985,0.003274761181240238,203,TRUE,0.0010904283528804985,7,0.02373624941372433,1.4658673623966358,7,0.9190368445924176,0.10568661625715436,low_R2,1,BASE_lowR2
MEDELLÍN,LENTEJAS,011702,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,FRÍJOL TARRO,011703,2,TRUE,1.1264075623737422,5.8843476830054186e-5,0.0025506925489611368,0.7111938863069173,203,TRUE,0.0025506925489611368,2,0.005105799717140798,0.05175032261387989,2,0.8623447104612914,1.1090068927753023,none,1.1090068927753023,D_city
MEDELLÍN,ARVEJA TARRO,011703,2,TRUE,0.8108665793980123,1.7673411755844885e-4,0.0076609068853204605,0.2981869766898705,203,TRUE,0.0076609068853204605,2,0.005105799717140798,0.05175032261387989,2,0.8236129168295399,0.8442272717880488,none,0.8442272717880488,D_city
MEDELLÍN,NARANJAS,011605,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,BANANOS,011606,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,TOMATE DE ÁRBOL,011607,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
