ciudad;articulo;subclase_ipc
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
BOGOTA;ACEITE DE GIRASOL;11501
