ciudad,articulo,rmse_q1,rmse_q2,rmse_q3,mape_q1,mape_q2,mape_q3
CALI,ACEITE DE SOYA O DE MAÍZ,228.67198373210164,178.94077691197012,145.08585278435302,5.970423092560921,4.610760561923765,3.6835120925990257
CALI,AGUACATE,504.47857059342823,458.38726004437405,555.8568899229525,18.725628783568034,18.2942600188669,23.780086351202755
CALI,AHUYAMA,246.4840640362226,285.6661831569606,357.8503371774139,27.377488914508152,30.322919884379758,35.822901533723396
CALI,AJO,1473.5368097432479,1789.1677972102477,2219.698719574686,17.570973611423568,26.386959707009982,32.44243148007248
CALI,POLLO DESPRESADO POR LIBRA,1807.7829882723356,1134.2670309697294,197.64190190758487,42.89268035141436,26.818649961394485,3.821137945688407
CALI,ARRACACHA,632.0359290863414,644.1645292393674,1031.68353467148,29.212689832820505,33.052719652551424,52.16015812000131
CALI,ARROZ PARA SECO,88.77718213990616,79.82150718618996,105.62995916522968,4.2417982375652885,4.34360719623421,5.654327029156881
CALI,ARVEJA FRESCA,1879.8292822525812,1711.0180849374644,2279.747662125187,20.422571856473855,22.811014943322487,39.24218993875021
CALI,ARVEJA SECA,81.6350222627033,94.96300218645945,132.52452760826813,4.810733609479886,5.632048182324947,8.98879051184097
CALI,AVENA HOJUELAS,175.13949028130196,141.2522582323745,142.3154029198277,2.3716117030263764,1.9775870333465322,2.1734921249064967
CALI,AVENA MOLIDA,305.6457961662976,251.47946028858416,206.22016634157654,3.743187592649524,2.906792594013182,2.676469463614707
CALI,AZÚCAR NATURAL O MORENA,97.54880810574832,106.9628411457132,135.16143478419954,6.671755821707742,7.183556658594862,8.971232794238752
CALI,PESCADO DE RÍO,2810.5635275063983,4254.202479618281,6063.824964263106,38.80524036464388,59.24988422930957,84.52095495443928
CALI,BANANOS,118.4135157520999,138.17839489067245,153.66313711436612,12.31766381811649,14.248671706501344,16.008825499758636
CALI,PESCADO DE RÍO,2598.471023994258,1905.157696949816,1080.8137490230906,33.997277377815834,24.27572684727416,12.45207982985597
CALI,CAFÉ MOLIDO,289.1389980432688,156.65238686222992,132.9084412867109,3.427802014493533,1.818306030923735,1.2546577117045554
CALI,CAMARONES O VARIEDAD DISPONIBLE,6940.703521889695,4030.784817092384,2860.270889402888,26.153513509247144,12.238482625762561,10.390757298747848
CALI,CARNE DE CERDO SIN HUESO,1181.872798031248,679.6852063993631,491.8324899892222,16.10941661905175,8.39404836645658,5.920780132676015
CALI,CARNE DE CERDO CON HUESO,400.35367753010803,1242.9108290553768,3456.9198443641867,6.023307408978548,20.004168481926236,59.310265750966785
CALI,CARNE DE CERDO CON HUESO,2217.181149364398,1453.9906382023125,384.57932240390915,38.94826392054857,25.41450206416989,5.974255118004878
CALI,CARNE DE CERDO SIN HUESO,499.7051126989913,1208.7654257243028,1967.801837696729,6.220118335815285,16.62372185568754,27.41787948678479
CALI,CARNE DE CERDO SIN HUESO,602.164835683159,323.8101242534403,852.8517078612209,7.392292590263532,3.8549574038935908,11.196705172531303
CALI,CARNE DE RES SIN HUESO,470.9175837516247,600.2475750728657,1901.8991378469539,5.221095103925146,6.250295560694473,22.32486779121486
CALI,CARNE DE RES SIN HUESO,537.4844085905542,939.2264960988927,2357.480841380641,5.393807051672147,9.428538563666997,28.309859237817086
CALI,CARNE DE RES SIN HUESO,555.7803520806946,939.0738808614229,2343.737380964076,5.582606897983073,9.489853724734019,28.080459877063007
CALI,CARNE DE RES SIN HUESO,1059.6908367470724,1566.3606517507485,3065.4292594307817,9.588026037195304,16.59995630750625,36.61507462709249
CALI,CARNE DE RES SIN HUESO,3791.5782489905164,3485.448070448889,2715.7838777892343,47.30551159938861,43.43095672137176,33.67026485439392
CALI,CARNE DE RES SIN HUESO,520.6579529648922,276.38516360068786,1307.996471301451,5.996813493524633,3.0449604732189806,18.32748837818071
CALI,CARNE DE RES SIN HUESO,1565.4503420529966,2157.3866097678315,3699.9654407128596,18.674566583458326,27.400547892105777,49.382844561577585
CALI,CARNE DE RES SIN HUESO,1758.6382525749323,1321.492933846027,482.06960773259084,21.926062798671882,16.185391176061007,5.35802440669877
CALI,CARNE DE RES SIN HUESO,392.4280125678583,455.2486590166676,1789.014915859066,4.019571508955607,4.977396723706621,22.246881870304485
CALI,CARNE DE RES SIN HUESO,1208.4544416255223,860.6287643328886,1122.1362638744704,14.002829876422767,9.009589535260334,12.780760001891853
CALI,CARNE DE RES SIN HUESO,1348.1596907515298,1976.7656522802304,3632.429091087885,13.885372459694963,22.23094774859097,43.321257013789406
CALI,CARNE DE RES SIN HUESO,1059.82634801541,695.1048895132636,1125.0118789805883,12.365869862033371,7.5793472306436485,11.585180812637315
CALI,CEBOLLA CABEZONA,458.74633672059775,418.8717879289864,596.7487948740204,25.69707855724104,26.04781683671441,47.90701344341659
CALI,CEBOLLA CABEZONA,605.2017968931764,544.2107330329314,597.409636307274,35.985967147084956,32.09900547278503,42.254916458961944
CALI,CEBOLLA CABEZONA,625.6940393584927,841.8903215228089,1335.4742831476642,50.828649224420374,74.87142441506303,122.34105752960814
CALI,CEBOLLA LARGA,402.97437770811393,364.7241838896835,365.11299070716194,17.822861334645363,18.035126688478456,22.702914337162778
CALI,CEBOLLA LARGA,399.95892918420105,357.81269893635056,346.6623190249662,14.833851350811903,11.145549724135023,17.27229938088414
CALI,CEBOLLA LARGA,391.19283661311306,366.2680273094438,389.88238504054806,18.310467739122323,20.29742121906414,25.91996413451612
CALI,PESCADO DE MAR,8768.645192353071,16697.91166147665,19950.094626960432,80.1018609503699,152.81127058348505,182.60634500250333
