alimento_sipsa,fecha,sample,obs_level,fit_level,lwr_level,upr_level,mape_food
Aguacate papelillo,2013-01-01,train,1813.8,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-02-01,train,1859.3299999999997,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-03-01,train,2328.58,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-04-01,train,2376.6500000000005,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-05-01,train,1769.5100000000002,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-06-01,train,1478.0999999999995,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-07-01,train,1557.7699999999995,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-08-01,train,1702.1500000000003,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-09-01,train,1930.0899999999995,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-10-01,train,2035.880000000001,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-11-01,train,2099.9599999999996,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2013-12-01,train,2164.769999999999,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-01-01,train,2214.0899999999997,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-02-01,train,2303.4000000000005,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-03-01,train,2461.860000000001,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-04-01,train,2451.489999999999,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-05-01,train,2051.8499999999995,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-06-01,train,1677.0100000000007,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-07-01,train,1599.9000000000005,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-08-01,train,1683.9800000000007,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-09-01,train,1955.260000000001,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-10-01,train,2261.4699999999993,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-11-01,train,2310.460000000001,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2014-12-01,train,2393.02,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-01-01,train,2428.7600000000007,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-02-01,train,2350.179999999999,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-03-01,train,2758.3400000000006,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-04-01,train,2642.330000000001,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-05-01,train,2126.229999999999,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-06-01,train,1450.5000000000002,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-07-01,train,1325.8,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-08-01,train,1427.9,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-09-01,train,1999.9200000000008,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-10-01,train,2439.9800000000005,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-11-01,train,2197.89,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2015-12-01,train,1892.63,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-01-01,train,2186.9899999999993,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-02-01,train,2640,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-03-01,train,3021.9699999999984,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-04-01,train,2997.5800000000017,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-05-01,train,2379.0600000000004,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-06-01,train,1456.0600000000004,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-07-01,train,1227.6699999999996,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-08-01,train,1499.99,NA,NA,NA,7.7597184504355985
Aguacate papelillo,2016-09-01,test,2013.2099999999996,2076.7861958631643,1848.269779710915,2333.5559292661214,7.7597184504355985
Aguacate papelillo,2016-10-01,test,2310.6100000000006,2394.1323785635163,2126.20777780938,2695.818304263619,7.7597184504355985
Aguacate papelillo,2016-11-01,test,2393.5500000000006,2377.672405225393,2106.081036599357,2684.287056541095,7.7597184504355985
Aguacate papelillo,2016-12-01,test,2475.3600000000006,2299.6245765953736,2039.763557174658,2592.591271022808,7.7597184504355985
Aguacate papelillo,2017-01-01,test,2425.3200000000006,2279.218229589674,2056.101840338209,2526.545930837447,7.7597184504355985
Aguacate papelillo,2017-02-01,test,2343.7499999999995,2396.36827702493,2164.165760733676,2653.484785372741,7.7597184504355985
Aguacate papelillo,2017-03-01,test,2459.61,2790.441645820009,2516.840318028607,3093.7856974675888,7.7597184504355985
Aguacate papelillo,2017-04-01,test,2561.199999999999,2801.1239517618474,2518.2082878674123,3115.824624570148,7.7597184504355985
Aguacate papelillo,2017-05-01,test,2260.35,2240.1566697700723,2009.858433500419,2496.843469903172,7.7597184504355985
Aguacate papelillo,2017-06-01,test,2167.709999999999,1622.4523270942561,1459.3853740319435,1803.7398486603918,7.7597184504355985
Aguacate papelillo,2017-07-01,test,1864.2799999999995,1484.649524730629,1343.2281932354895,1640.960353857354,7.7597184504355985
Aguacate papelillo,2017-08-01,test,1694.2000000000005,1628.8910333845881,1476.4018774144095,1797.1299273117654,7.7597184504355985
Aguacate papelillo,2017-09-01,test,1998.9000000000008,2074.8812555291015,1846.9177197313345,2330.982143141858,7.7597184504355985
Aguacate papelillo,2017-10-01,test,2372.4700000000007,2452.7596486516272,2164.1309064380393,2779.8826199268547,7.7597184504355985
Aguacate papelillo,2017-11-01,test,2426.05,2428.848324572909,2137.9820841522974,2759.286070500297,7.7597184504355985
Aguacate papelillo,2017-12-01,test,2554.329999999999,2326.8784830456975,2057.4689014043847,2631.56515812478,7.7597184504355985
Aguacate papelillo,2018-01-01,test,2504.300000000001,2360.444671620609,2107.5763054350987,2643.652347681844,7.7597184504355985
Aguacate papelillo,2018-02-01,test,2952.119999999999,2487.2463166972543,2222.7657828822,2783.196631676743,7.7597184504355985
Aguacate papelillo,2018-03-01,test,3320.93,2860.9812041090536,2562.416154536612,3194.334158319221,7.7597184504355985
Ahuyama,2013-01-01,train,672.2999999999997,NA,NA,NA,17.767871596782346
Ahuyama,2013-02-01,train,612.4400000000002,NA,NA,NA,17.767871596782346
Ahuyama,2013-03-01,train,539.3699999999999,NA,NA,NA,17.767871596782346
Ahuyama,2013-04-01,train,486.3900000000001,NA,NA,NA,17.767871596782346
Ahuyama,2013-05-01,train,477.8100000000001,NA,NA,NA,17.767871596782346
Ahuyama,2013-06-01,train,487.71999999999986,NA,NA,NA,17.767871596782346
Ahuyama,2013-07-01,train,506.2399999999998,NA,NA,NA,17.767871596782346
Ahuyama,2013-08-01,train,513.4400000000003,NA,NA,NA,17.767871596782346
Ahuyama,2013-09-01,train,500.88,NA,NA,NA,17.767871596782346
Ahuyama,2013-10-01,train,493.3600000000002,NA,NA,NA,17.767871596782346
Ahuyama,2013-11-01,train,544.9000000000002,NA,NA,NA,17.767871596782346
Ahuyama,2013-12-01,train,605.2400000000001,NA,NA,NA,17.767871596782346
Ahuyama,2014-01-01,train,653.4999999999998,NA,NA,NA,17.767871596782346
Ahuyama,2014-02-01,train,641.4800000000002,NA,NA,NA,17.767871596782346
Ahuyama,2014-03-01,train,644.2200000000003,NA,NA,NA,17.767871596782346
Ahuyama,2014-04-01,train,615.7800000000001,NA,NA,NA,17.767871596782346
Ahuyama,2014-05-01,train,609.7199999999999,NA,NA,NA,17.767871596782346
Ahuyama,2014-06-01,train,597.85,NA,NA,NA,17.767871596782346
Ahuyama,2014-07-01,train,600.0099999999999,NA,NA,NA,17.767871596782346
Ahuyama,2014-08-01,train,606.0100000000001,NA,NA,NA,17.767871596782346
Ahuyama,2014-09-01,train,579.5499999999998,NA,NA,NA,17.767871596782346
Ahuyama,2014-10-01,train,572.4200000000001,NA,NA,NA,17.767871596782346
Ahuyama,2014-11-01,train,641.0100000000002,NA,NA,NA,17.767871596782346
Ahuyama,2014-12-01,train,701.9499999999997,NA,NA,NA,17.767871596782346
Ahuyama,2015-01-01,train,727.1400000000001,NA,NA,NA,17.767871596782346
Ahuyama,2015-02-01,train,674.2,NA,NA,NA,17.767871596782346
Ahuyama,2015-03-01,train,619.4200000000001,NA,NA,NA,17.767871596782346
Ahuyama,2015-04-01,train,609.3100000000001,NA,NA,NA,17.767871596782346
Ahuyama,2015-05-01,train,607.9499999999998,NA,NA,NA,17.767871596782346
Ahuyama,2015-06-01,train,602.8299999999998,NA,NA,NA,17.767871596782346
Ahuyama,2015-07-01,train,580.1699999999998,NA,NA,NA,17.767871596782346
Ahuyama,2015-08-01,train,597.3199999999998,NA,NA,NA,17.767871596782346
Ahuyama,2015-09-01,train,668.7799999999996,NA,NA,NA,17.767871596782346
Ahuyama,2015-10-01,train,927.1400000000002,NA,NA,NA,17.767871596782346
Ahuyama,2015-11-01,train,1250.9499999999996,NA,NA,NA,17.767871596782346
Ahuyama,2015-12-01,train,1279.4799999999998,NA,NA,NA,17.767871596782346
Ahuyama,2016-01-01,train,1269.0800000000002,NA,NA,NA,17.767871596782346
Ahuyama,2016-02-01,train,946.6799999999996,NA,NA,NA,17.767871596782346
Ahuyama,2016-03-01,train,820.8,NA,NA,NA,17.767871596782346
Ahuyama,2016-04-01,train,759.8000000000001,NA,NA,NA,17.767871596782346
Ahuyama,2016-05-01,train,805.2299999999998,NA,NA,NA,17.767871596782346
Ahuyama,2016-06-01,train,823.2300000000002,NA,NA,NA,17.767871596782346
Ahuyama,2016-07-01,train,756.6300000000002,NA,NA,NA,17.767871596782346
Ahuyama,2016-08-01,train,671.71000000000015,NA,NA,NA,17.767871596782346
Ahuyama,2016-09-01,test,585.3999999999997,490.33009228090344,377.97683529508333,636.0802486969939,17.767871596782346
Ahuyama,2016-10-01,test,611.5200000000001,523.3077751977756,400.61266167976453,683.5805599208753,17.767871596782346
Ahuyama,2016-11-01,test,597.45,603.1547872181044,458.71771757809717,793.0709527961063,17.767871596782346
Ahuyama,2016-12-01,test,601.2699999999999,640.1522133700788,485.2655333671036,844.4755048626148,17.767871596782346
Ahuyama,2017-01-01,test,607.71000000000015,882.3431821142104,709.1633974330759,1097.8139788960284,17.767871596782346
Ahuyama,2017-02-01,test,615.2299999999999,801.6456095114497,642.0159162529583,1000.9653452201663,17.767871596782346
Ahuyama,2017-03-01,test,612.2000000000002,746.0904071642449,595.9213858037332,934.1012236232143,17.767871596782346
Ahuyama,2017-04-01,test,641.3100000000002,710.1814795189192,566.0565644003402,891.0023583702796,17.767871596782346
Ahuyama,2017-05-01,test,805.1199999999998,720.9655933706484,573.7450535939641,905.9622973100946,17.767871596782346
Ahuyama,2017-06-01,test,918.6099999999997,719.5932317196657,573.2809149022384,903.2472661767493,17.767871596782346
Ahuyama,2017-07-01,test,1043.0700000000002,690.9975290987675,552.5367712033556,864.1553107510217,17.767871596782346
Ahuyama,2017-08-01,test,964.9400000000004,657.468193676406,528.4048131444266,818.0554282308688,17.767871596782346
Ahuyama,2017-09-01,test,931.2800000000002,597.1703590798561,467.38056963299556,763.002274663642,17.767871596782346
Ahuyama,2017-10-01,test,894.6399999999998,633.7455686435068,496.25772346886396,809.3243223860493,17.767871596782346
Ahuyama,2017-11-01,test,810.9199999999997,716.2654222186857,559.8116165218695,916.4442821919718,17.767871596782346
Ahuyama,2017-12-01,test,807.21000000000015,753.9298870682944,588.2390722790065,966.2912604778653,17.767871596782346
Ahuyama,2018-01-01,test,806.6100000000002,828.6722732406662,669.8912502225176,1025.088379956826,17.767871596782346
Ahuyama,2018-02-01,test,753.0700000000003,741.2863626044095,598.9534257198743,917.4427389288786,17.767871596782346
Ahuyama,2018-03-01,test,721.9299999999997,678.2165527462505,548.039782553083,839.3144203440273,17.767871596782346
Arracacha amarilla,2013-01-01,train,1019.6500000000002,NA,NA,NA,17.415263796493047
Arracacha amarilla,2013-02-01,train,1052.3,NA,NA,NA,17.415263796493047
Arracacha amarilla,2013-03-01,train,1082.6299999999997,NA,NA,NA,17.415263796493047
Arracacha amarilla,2013-04-01,train,1076.97,NA,NA,NA,17.415263796493047
