deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 1,29.79606537227774,0.182063139696577,0.14984837478249124,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 1,77.41504388071124,0.3098382671083049,0.20805003828937754,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 1,100,0.5260812800223454,0.33282575170723683,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 2,82.88001437821877,0.08280414910099097,0.011844296873120691,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 3,8.105282452933574,9.97399087468597e-4,1.801221904398406e-5,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
