cod_mun,ciudad,nombre_ciudad,ano,mes,mes_num,sipsa,articulo,codigo_articulo,precio_500g_sipsa,precio_500g_ipc,fecha,cod_subclase,factor,margen
76001,76,CALI,2013,enero,1,Aceite vegetal mezcla,ACEITE DE SOYA O DE MAÍZ,1730101,2601.9021739130435,2699.2717391304345,2013-01-01,01730100,1.0374224543080939,3.7422454308093878
76001,76,CALI,2013,enero,1,Aguacate papelillo,AGUACATE,1410503,1468.4583333333333,1813.8,2013-01-01,01410500,1.2351729421445394,23.517294214453944
76001,76,CALI,2013,enero,1,Ahuyama,AHUYAMA,1310507,264.75,672.3,2013-01-01,01310500,2.5393767705382433,153.93767705382433
76001,76,CALI,2013,enero,1,Ajo importado,AJO,1310505,1535.7708333333333,3605.46,2013-01-01,01310500,2.3476549506898,134.76549506898002
76001,76,CALI,2013,enero,1,Alas de pollo con costillar,POLLO DESPRESADO POR LIBRA,1510302,1710.8076923076924,3754.45,2013-01-01,01510300,2.194548234077471,119.45482340774709
76001,76,CALI,2013,enero,1,Arracacha amarilla,ARRACACHA,1210303,503.0416666666667,1019.65,2013-01-01,01210300,2.0269692702725086,102.69692702725087
76001,76,CALI,2013,enero,1,Arroz de primera,ARROZ PARA SECO,1110101,1044.1944444444443,1448.88,2013-01-01,01110100,1.3875576600782105,38.755766007821045
76001,76,CALI,2013,enero,1,Arveja verde en vaina pastusa,ARVEJA FRESCA,1320201,836.9583333333334,3168.03,2013-01-01,01320200,3.7851705082889433,278.51705082889436
76001,76,CALI,2013,enero,1,Avena en hojuelas,AVENA HOJUELAS,1110501,3057.5416666666665,5347.0875,2013-01-01,01110500,1.748819176626102,74.8819176626102
76001,76,CALI,2013,enero,1,Avena molida,AVENA MOLIDA,1110502,3080.0694444444443,5436.1625,2013-01-01,01110500,1.764948030572904,76.4948030572904
76001,76,CALI,2013,enero,1,Azúcar morena,AZÚCAR NATURAL O MORENA,1810202,878.5714285714286,962.1,2013-01-01,01810200,1.0950731707317074,9.50731707317074
76001,76,CALI,2013,enero,1,Banano criollo,BANANOS,1410201,293.2291666666667,546.73,2013-01-01,01410200,1.8645143872113676,86.45143872113677
76001,76,CALI,2013,enero,1,Bocachico importado congelado,PESCADO DE RÍO,1610102,3255.5,4691.3,2013-01-01,01610100,1.4410382429734296,44.10382429734297
76001,76,CALI,2013,enero,1,Café molido,CAFÉ MOLIDO,1820101,7201.263888888889,7595.14,2013-01-01,01820100,1.054695414192339,5.469541419233903
76001,76,CALI,2013,enero,1,Camarón tigre precocido seco,CAMARONES O VARIEDAD DISPONIBLE,1620101,11904.666666666666,14177.22,2013-01-01,01620100,1.1908960071680574,19.089600716805744
76001,76,CALI,2013,enero,1,"Carne de cerdo, brazo sin hueso",CARNE DE CERDO SIN HUESO,1510201,4412.5,6014.08,2013-01-01,01510200,1.3629643059490084,36.29643059490084
76001,76,CALI,2013,enero,1,"Carne de cerdo, costilla",CARNE DE CERDO CON HUESO,1510202,4360.5,4875.87,2013-01-01,01510200,1.1181905744754042,11.819057447540416
