method,n_foods,RMSE_mean,RMSE_median,MAPE_mean,MAPE_median
M1 (Margins Q2),70,328.3410357152381,213.7093542270809,11.233522944264722,9.896386859160238
M2 (SARIMAX),70,464.7238268806109,322.066587712583,17.3996972179899,11.678833414863949
M3 (ECM),70,Inf,1128.8294833880368,Inf,56.265103878472104
