method,wins_rmse,share_rmse,wins_mape,share_mape
M1 (Margins Q2),43,61.42857142857143,45,64.28571428571429
M2 (SARIMAX),24,34.285714285714285,22,31.428571428571427
M3 (ECM),3,4.285714285714286,3,4.285714285714286
