fecha,year,mes,dominio,pm,pme
2019-01-01,2019,01,BOGOTA,27.447932343753973,4.561816723528686
2019-02-01,2019,02,BOGOTA,29.75558858977528,5.5846208850935914
2019-03-01,2019,03,BOGOTA,29.05909985312801,4.197989936950427
2019-04-01,2019,04,BOGOTA,26.443376122449386,5.339132806032367
2019-05-01,2019,05,BOGOTA,25.26434890665116,3.3092451253126853
2019-06-01,2019,06,BOGOTA,32.4649502057141,5.983689047164929
2019-07-01,2019,07,BOGOTA,23.693995350248684,2.5832174763285334
2019-08-01,2019,08,BOGOTA,27.522750952005126,3.281663101242717
2019-09-01,2019,09,BOGOTA,25.936891729888234,4.4884505427981445
2019-10-01,2019,10,BOGOTA,22.944922576838746,2.352424709479344
2019-11-01,2019,11,BOGOTA,29.017061853193333,3.973597790249686
2019-12-01,2019,12,BOGOTA,26.74035005223587,4.399958124361947
2020-01-01,2020,01,BOGOTA,28.68942961019118,4.251129448996972
2020-02-01,2020,02,BOGOTA,25.009447248107776,3.529648039606608
2020-03-01,2020,03,BOGOTA,31.549565417269072,8.286899160962964
2020-04-01,2020,04,BOGOTA,51.360653425282244,23.484893482022613
2020-05-01,2020,05,BOGOTA,57.067150638993525,26.973332658260567
2020-06-01,2020,06,BOGOTA,53.55495499889859,23.88983188344617
2020-07-01,2020,07,BOGOTA,55.12414465486596,20.86364404539789
2020-08-01,2020,08,BOGOTA,40.448477042892534,10.811933230774196
2020-09-01,2020,09,BOGOTA,39.42926541755637,11.344626403147654
2020-10-01,2020,10,BOGOTA,34.63419629503415,9.843948333155828
2020-11-01,2020,11,BOGOTA,30.435222740693174,6.906813718776263
2020-12-01,2020,12,BOGOTA,34.42217361121404,8.915978959050864
2021-01-01,2021,01,BOGOTA,39.34370451307171,13.426498942897712
2021-02-01,2021,02,BOGOTA,34.237044102413314,8.714303313995078
2021-03-01,2021,03,BOGOTA,36.396933723152856,9.810676524862622
2021-04-01,2021,04,BOGOTA,37.45022530064736,11.619187819277379
2021-05-01,2021,05,BOGOTA,38.02119557662536,11.109006050373429
2021-06-01,2021,06,BOGOTA,42.20190053003916,7.853355399990282
2021-07-01,2021,07,BOGOTA,33.92744436017129,7.647201542453506
2021-08-01,2021,08,BOGOTA,34.10262266794097,9.945579298742913
2021-09-01,2021,09,BOGOTA,35.66884618968407,10.973626516142719
2021-10-01,2021,10,BOGOTA,31.856327853724643,9.07194347974028
