alimento_sipsa,term,estimate,std.error,statistic,p.value,ci_lo,ci_hi
Avena en hojuelas,mes_factor10,0.001372200734348622,0.01514332644460113,0.09061422134486417,0.9281611699581749,-0.028308719097069595,0.031053120565766836
Avena en hojuelas,mes_factor11,0.005850246467928105,0.015142968421522704,0.3863341918889,0.700888365154577,-0.023829971638256394,0.0355304645741126
Avena en hojuelas,mes_factor12,-0.0040945953893043036,0.015145454937241851,-0.270351429275057,0.788002734174631,-0.03377968706629833,0.025590496287689724
Avena molida,(Intercept),-3.2430777747676194,0.4519856107054359,-7.1751792489720865,3.193506358762457e-9,-4.1289695717502735,-2.357185977784965
Avena molida,ln_wholesale,1.4730169250599054,0.05582323079246876,26.38716720886448,5.204897114620761e-31,1.3636033927066666,1.5824304574131443
Avena molida,mes_factor2,-0.014772700143559888,0.013441227327070595,-1.099058871938555,0.27700640648229763,-0.04111750570461825,0.011572105417498478
Avena molida,mes_factor3,-0.005714282654598569,0.013441373145838513,-0.425126405806815,0.6725686256723712,-0.03205937402044205,0.020630808711244918
Avena molida,mes_factor4,0.012817545863816008,0.014115674094519448,0.9080363982611747,0.36821493062216026,-0.014849175361442108,0.04048426708907413
Avena molida,mes_factor5,0.006303934404393885,0.014111315150124348,0.44672904951303105,0.6569997188175464,-0.021354243289849834,0.03396211209863761
Avena molida,mes_factor6,0.0035518269660692,0.014108078254695053,0.25175838281781443,0.80225976772456,-0.0241000064131331,0.031203660345271503
Avena molida,mes_factor7,0.006671446568980356,0.014105248853587698,0.4729761692423782,0.6382885023940168,-0.020974841184051532,0.034317734322012246
Avena molida,mes_factor8,0.00642852355363463,0.014101762354180078,0.45586667766593525,0.6504596580313673,-0.021210930660558323,0.03406797776782758
Avena molida,mes_factor9,0.004831008565083801,0.014099383756540825,0.3426396960677558,0.7333058373083501,-0.022803783597736216,0.03246580072790382
Avena molida,mes_factor10,0.008761756421200492,0.014098194345625835,0.6214807518183314,0.5371067290590499,-0.018870704496226146,0.036394217338627126
Avena molida,mes_factor11,0.011034944750025298,0.01409718956349622,0.7827762193536497,0.4374503796950493,-0.01659554679442729,0.03866543629447789
Avena molida,mes_factor12,0.006597654714407048,0.014098342888547173,0.46797377298623305,0.6418368695369061,-0.02103509734714541,0.0342304067759595
Azúcar morena,(Intercept),0.23964901940231956,0.1867530386337653,1.2832402683004622,0.2071790428337847,-0.12638693631986045,0.6056849751244996
Azúcar morena,ln_wholesale,0.9805965180281044,0.026518046247403143,36.97846021081332,2.101325552368335e-31,0.9286211473831942,1.0325718886730146
Azúcar morena,mes_factor2,-0.025816478709228995,0.030135099584816038,-0.8566913355161755,0.39698595543233106,-0.08488127389546843,0.03324831647701043
Azúcar morena,mes_factor3,-0.028406406823636907,0.030136851032818657,-0.9425804571520323,0.3518498618707854,-0.08747463484796147,0.030661821200687656
Azúcar morena,mes_factor4,-0.027022576860013844,0.031733780065508435,-0.8515398040898627,0.3998042071239779,-0.08922078578841038,0.03517563206838269
Azúcar morena,mes_factor5,-0.02229881258139422,0.03173370420016238,-0.7026854615125616,0.4865344463271303,-0.08449687281371249,0.03989924765092405
Azúcar morena,mes_factor6,-0.007021072752723679,0.03173369947779861,-0.22124973981163876,0.8260825962084566,-0.06921912372920895,0.055176978223761594
Azúcar morena,mes_factor7,0.004779021984835271,0.03173334348956189,0.15059938409601384,0.8810883372051734,-0.05741833125470603,0.06697637522437658
Azúcar morena,mes_factor8,0.006434697596385715,0.031732526021451685,0.2027792427251382,0.8403894457326284,-0.05576105340565959,0.06863044859843101
Azúcar morena,mes_factor9,0.012601631235704017,0.03173199963572936,0.3971269185795315,0.6934956960523938,-0.04959308805032553,0.07479635052173357
Azúcar morena,mes_factor10,0.007288793271691662,0.031732064858212485,0.22969804531347007,0.8195583675261211,-0.054906053850404805,0.06948364039378813
Azúcar morena,mes_factor11,0.001823683952812299,0.03173203170483684,0.057471389470921244,0.9544708458852551,-0.06037109818866791,0.06401846609429251
Azúcar morena,mes_factor12,-0.0197621348788147,0.03011564284874277,-0.656208302710686,0.5156442259163185,-0.07878879486235052,0.03926452510472113
Azúcar sulfitada,(Intercept),1.4429971373943866,0.5686035230467952,2.5377914116012787,0.014318584949591406,0.3285342322226681,2.557460042566105
Azúcar sulfitada,ln_wholesale,0.8253923591093306,0.08299220245272547,9.945420590319864,1.932185188468886e-13,0.6627276423019887,0.9880570759166726
Azúcar sulfitada,mes_factor2,0.01081284007762481,0.07922719574534408,0.13647889434809693,0.8919907554879347,-0.14447246358324958,0.1660981437384992
Azúcar sulfitada,mes_factor3,0.004633428347254225,0.0792274111810577,0.058482642284821,0.9535972981302403,-0.15065229756761886,0.1599191542621273
Azúcar sulfitada,mes_factor4,-0.046156207249550364,0.08311055311407337,-0.5553591634289652,0.5811254132620663,-0.20905289135313415,0.11674047685403344
Azúcar sulfitada,mes_factor5,-0.024902144339639186,0.08311276638925844,-0.29961876401767273,0.7657099959688564,-0.1878031664625857,0.13799887778330733
Azúcar sulfitada,mes_factor6,-0.005155312508691878,0.08309883922304521,-0.06203832155650848,0.950779649673512,-0.1680290373858605,0.15771841236847672
Azúcar sulfitada,mes_factor7,0.0047747588793773865,0.0830950385142469,0.05746141965574442,0.9544066638287532,-0.15809151660854653,0.16764103436730132
Azúcar sulfitada,mes_factor8,0.010754507490206282,0.08309417443684507,0.12942552908303026,0.897540203341184,-0.15211007440601004,0.17361908938642262
Azúcar sulfitada,mes_factor9,0.01207014564086699,0.08309417324213861,0.14525862849244878,0.8850906723131207,-0.15079443391372466,0.17493472519545866
Azúcar sulfitada,mes_factor10,0.012275671535682705,0.08309578562394687,0.14772917114276676,0.8831506410997719,-0.15059206828725316,0.17514341135861858
Azúcar sulfitada,mes_factor11,0.012060810846761765,0.08310378549050253,0.14512950012535986,0.885192091954841,-0.15082260871462316,0.17494423040814672
Azúcar sulfitada,mes_factor12,0.005699363797870591,0.08312212130192967,0.06856614952316287,0.9456084396929082,-0.15721999395391156,0.16861872154965274
Banano criollo,(Intercept),2.38661324935431,0.37173327645451987,6.420230311682369,4.844320244204315e-8,1.6580160275034512,3.1152104712051694
Banano criollo,ln_wholesale,0.689972696257219,0.062187673665719395,11.095007347695056,4.3435701403223606e-15,0.568084855872409,0.8118605366420291
Banano criollo,mes_factor2,0.015356489745137356,0.06540605312312639,0.23478698089653693,0.8153329429898937,-0.11283937437619036,0.1435523538664651
Banano criollo,mes_factor3,0.034978122250997896,0.0654070210396564,0.5347762624717398,0.5951748929411456,-0.09321963898672864,0.16317588348872442
Banano criollo,mes_factor4,0.053238272738669656,0.06861275630667223,0.7759238311417685,0.44144882170130284,-0.08124272962240792,0.18771927509974723
Banano criollo,mes_factor5,0.0626272035020583,0.0686184616423821,0.9126873730928514,0.365786892960299,-0.0718649813170106,0.19711938832112721
Banano criollo,mes_factor6,0.04958628959244327,0.0686283587627425,0.7225335194721728,0.4733326472749805,-0.08492529358253201,0.18409787276741854
Banano criollo,mes_factor7,0.016248813846039337,0.06863555312977725,0.236740480772637,0.8138253730670013,-0.11827687028832405,0.1507744979804027
Banano criollo,mes_factor8,0.029367579816030488,0.06863743532236245,0.42786534313385644,0.6705864824085566,-0.10516179341579991,0.1638969530478609
Banano criollo,mes_factor9,0.04108778020161524,0.06861909693430815,0.5987805441530402,0.5520225250655354,-0.09340564978962873,0.17558121019285922
Banano criollo,mes_factor10,0.036887792817738164,0.06860562139191605,0.5376788675524589,0.5931839825370295,-0.09757922511041728,0.1713548107458936
Banano criollo,mes_factor11,0.025594244094427277,0.06859892999058873,0.3730997567737372,0.7106513319076331,-0.10885965868712662,0.16004814687598118
Banano criollo,mes_factor12,0.02998877763215506,0.06859811474273389,0.4371662070396994,0.6638732154283034,-0.10446352726360338,0.1644410825279135
Bocachico importado congelado,(Intercept),-4.3918119295625715,0.42418837391046205,-10.353447193933699,4.931297413713015e-14,-5.223221142427077,-3.560402716698066
Bocachico importado congelado,ln_wholesale,1.587751981427156,0.05135110588782423,30.91952848874526,2.951428927191119e-34,1.4871038138870205,1.6884001489672913
Bocachico importado congelado,mes_factor2,0.004733911491046901,0.030466307014806456,0.15538186130489157,0.8771458824913321,-0.054980050257973756,0.06444787324006755
Bocachico importado congelado,mes_factor3,0.017619850798085264,0.030468747878765773,0.578292579274807,0.5656623392414264,-0.04209889504429565,0.07733859664046618
Bocachico importado congelado,mes_factor4,0.036944943375036635,0.031952945026114524,1.1562296791373141,0.25308204057191763,-0.025682828876147826,0.0995727156262211
Bocachico importado congelado,mes_factor5,0.04249963434975476,0.03195330360766887,1.330054471724631,0.18953578786054484,-0.020128840721276214,0.10512810942078574
Bocachico importado congelado,mes_factor6,0.05902693795463705,0.03195404781677049,1.8472444647109107,0.0706328051689618,-0.0036029957662331025,0.1216568716755072
Bocachico importado congelado,mes_factor7,0.06606087803031156,0.031956371466232564,2.0672208701828465,0.043909328074950446,0.0034263899564957317,0.1286953661041274
Bocachico importado congelado,mes_factor8,0.08621362755118359,0.03195974214520626,2.697569559838111,0.00949706545906913,0.023572532946579308,0.14885472215578788
Bocachico importado congelado,mes_factor9,0.0999852594099007,0.03197101583107085,3.1273719902490744,0.0029385412467106214,0.03732206838100184,0.16264845043879955
Bocachico importado congelado,mes_factor10,0.10421891294725388,0.0319839854079124,3.2584717513493975,0.002017117103220303,0.04153030154774559,0.16690752434676218
Bocachico importado congelado,mes_factor11,0.11023188758645809,0.03199591930299967,3.4451858233097763,0.0011644075949216925,0.04751988575257873,0.17294388942033745
Bocachico importado congelado,mes_factor12,0.11414540486612852,0.03201691806567631,3.5651590397296213,8.115463869555877e-4,0.05139224545740295,0.1768985642748541
Café molido,(Intercept),11.718862053446795,1.4819242991622579,7.907868208970964,2.3096084902711497e-10,8.81429042708877,14.62343367980482
Café molido,ln_wholesale,-0.31215424718492196,0.1668463354675382,-1.8709086196601246,0.06721557436535452,-0.6391730647012968,0.014864570331452887
Café molido,mes_factor2,-0.008315560066316436,0.010209766650755252,-0.8144711187597324,0.41923748218981416,-0.028326702701796727,0.011695582569163856
Café molido,mes_factor3,-0.010498470866728364,0.01021112886047219,-1.028140082275182,0.30883215944697295,-0.030512283433253858,0.009515341699797128
Café molido,mes_factor4,-0.014400240363683975,0.010750720504363046,-1.3394674671190472,0.18647550597103485,-0.03547165255223555,0.006671171824867596
Café molido,mes_factor5,-0.007393398595844253,0.010764485133604644,-0.6868325334728264,0.49536156614309756,-0.028491789457709353,0.013704992266020849
Café molido,mes_factor6,-0.0073423402396692785,0.010792309248544766,-0.6803307865422147,0.4994333081042479,-0.02849526636681702,0.013810585887478464
Café molido,mes_factor7,-0.01575661756927654,0.010838412650688118,-1.4537753891734477,0.1522570361319105,-0.03699990636462525,0.005486671226072173
Café molido,mes_factor8,-0.011536731180443615,0.010860897411391705,-1.0622263284010993,0.29323669354655735,-0.032824090106771356,0.009750627745884128
Café molido,mes_factor9,-0.014382213696370999,0.010867771183406658,-1.323382085770294,0.1917280526328339,-0.03568304521584805,0.006918617823106052
Café molido,mes_factor10,-0.018553982449011533,0.010864950284652184,-1.7076914263676721,0.09389650407796309,-0.039849285006929816,0.0027413201089067467
Café molido,mes_factor11,-0.00962386937157828,0.010831055616433972,-0.8885439898375163,0.37850300203126885,-0.030852738379788865,0.011604999636632305
Café molido,mes_factor12,-0.0042264539059493275,0.010779781700574002,-0.392072309379352,0.6966710385825547,-0.025354826039074373,0.016901918227175718
"Carne de cerdo, costilla",(Intercept),3.9273663921564466,0.6868806317326647,5.717683991539574,5.990898082332705e-7,2.5810803539604237,5.2736524303524694
"Carne de cerdo, costilla",ln_wholesale,0.5563406251937199,0.08143694999887424,6.83155036137049,1.1010694614119593e-8,0.39672420319592633,0.7159570471915133
"Carne de cerdo, costilla",mes_factor2,0.0020593346468837973,0.034770413781165,0.05922663618111243,0.9530076798904873,-0.0660906763641996,0.07020934565796719
"Carne de cerdo, costilla",mes_factor3,0.0070904250800003345,0.034770478665677666,0.20392083606831027,0.8392430942372472,-0.06105971310472788,0.07524056326472855
"Carne de cerdo, costilla",mes_factor4,-0.01111676351783526,0.036473705520318575,-0.30478843208410494,0.7617923845076603,-0.08260522633765967,0.06037169930198914
"Carne de cerdo, costilla",mes_factor5,-0.015317760688993182,0.03647738158450688,-0.41992489656930665,0.6763393601060561,-0.08681342859462667,0.0561779072166403
"Carne de cerdo, costilla",mes_factor6,-0.022839985796447516,0.03649424813878617,-0.625851660502443,0.5342588410692157,-0.0943687121484684,0.04868874055557337
"Carne de cerdo, costilla",mes_factor7,-0.020538162235349648,0.03649843856539724,-0.56271344864657,0.5761445627975568,-0.09207510182352824,0.050998777352828935
"Carne de cerdo, costilla",mes_factor8,-0.016824768466435987,0.03649306036463691,-0.46104021691586583,0.6467690241903297,-0.08835116678112434,0.05470162984825236
"Carne de cerdo, costilla",mes_factor9,-0.0020520074404459273,0.03652079019360107,-0.05618737791729015,0.9554164680654729,-0.07363275621990402,0.06952874133901217
"Carne de cerdo, costilla",mes_factor10,0.010649042179329028,0.03655634844742269,0.2913048658195458,0.7720232542900979,-0.061001400777619445,0.0822994851362775
"Carne de cerdo, costilla",mes_factor11,0.024560293539832703,0.03657911540989799,0.6714294007554622,0.5050373995745798,-0.04713477266356736,0.09625535974323277
"Carne de cerdo, costilla",mes_factor12,0.02673012765701128,0.03651512899278743,0.7320288437784539,0.46756845333531405,-0.044839525168852076,0.09829978048287465
"Carne de cerdo, espinazo",(Intercept),6.676325323158021,0.6926137839554983,9.6393191672128,5.452343897847236e-13,5.318802306605244,8.033848339710797
"Carne de cerdo, espinazo",ln_wholesale,0.24270967347511951,0.08653830480713041,2.804650195263834,0.007155128891952384,0.07309459605314392,0.4123247508970951
"Carne de cerdo, espinazo",mes_factor2,0.0024501222830165953,0.044941668640042544,0.05451783071609323,0.9567398609004482,-0.08563554825146678,0.09053579281749997
"Carne de cerdo, espinazo",mes_factor3,0.007596950114276398,0.04494258879395179,0.1690367715377083,0.8664497209587223,-0.08049052392186912,0.09568442415042192
"Carne de cerdo, espinazo",mes_factor4,-0.011454541338046716,0.047159078463899745,-0.24289154307404803,0.8090830925115206,-0.10388633512729022,0.08097725245119679
"Carne de cerdo, espinazo",mes_factor5,-0.016365638548617386,0.04716507420839645,-0.34698638395662557,0.7300577788036616,-0.10880918399707443,0.07607790689983965
"Carne de cerdo, espinazo",mes_factor6,-0.025970608015295348,0.04719005799855121,-0.5503406674366172,0.5845361731159031,-0.11846312169245571,0.06652190566186503
"Carne de cerdo, espinazo",mes_factor7,-0.023503365756937712,0.0472064214718549,-0.49788492802723316,0.6207479895136663,-0.11602795184177331,0.0690212203278979
"Carne de cerdo, espinazo",mes_factor8,-0.017705369447786327,0.04723079227379756,-0.3748692028104897,0.7093431423912044,-0.11027772230442956,0.07486698340885689
"Carne de cerdo, espinazo",mes_factor9,-0.006621214330972061,0.04724142237763027,-0.14015696390435808,0.8890990655700441,-0.09921440219112738,0.08597197352918327
"Carne de cerdo, espinazo",mes_factor10,0.001435788905139979,0.047224949548960525,0.03040318557993213,0.9758665403968414,-0.09112511221082265,0.09399669002110261
"Carne de cerdo, espinazo",mes_factor11,0.010903650794543411,0.04718075400455288,0.23110378425684389,0.81817728016062,-0.08157062705438023,0.10337792864346704
"Carne de cerdo, espinazo",mes_factor12,0.012360581370461948,0.04713821760449828,0.2622199565153352,0.7942292128100108,-0.08003032513435468,0.10475148787527858
"Carne de res, cadera",(Intercept),0.9254337258893697,0.32221995114772883,2.8720559437521738,0.006252227047948159,0.29388262163982115,1.5569848301389182
"Carne de res, cadera",ln_wholesale,0.9053847003855184,0.036594748257087376,24.740836964499977,1.882047597346388e-27,0.8336589938016272,0.9771104069694097
"Carne de res, cadera",mes_factor2,-0.006561870175725284,0.02759881730564075,-0.23775910768408703,0.8131716322950271,-0.06065555209478116,0.047531811743330585
"Carne de res, cadera",mes_factor3,-0.0047447279958416095,0.027598816109053965,-0.17191780897750436,0.864290432613467,-0.05883840756958738,0.049348951577904164
"Carne de res, cadera",mes_factor4,-0.021133678047752163,0.029297361142889753,-0.7213509074990921,0.4745094454538332,-0.07855650588781608,0.03628914979231175
"Carne de res, cadera",mes_factor5,-0.015960216308419636,0.02929610135449493,-0.5447897696452653,0.5886489018825536,-0.0733805749632297,0.04146014234639043
"Carne de res, cadera",mes_factor6,-0.01089744880545069,0.029293818179812203,-0.37200506736812655,0.7116747546974325,-0.0683133324378826,0.046518434826981224
"Carne de res, cadera",mes_factor7,-0.01986828939917767,0.027615769835781297,-0.7194544826135775,0.475665095649773,-0.07399519827730901,0.03425861947895367
"Carne de res, cadera",mes_factor8,-0.011607375613999157,0.027622367155509354,-0.4202165422192658,0.676372388099006,-0.0657472152387975,0.04253246401079917
"Carne de res, cadera",mes_factor9,-0.006117983234003126,0.02762269640030263,-0.2214839255857766,0.8257403627164939,-0.060258468178596286,0.048022501710590026
"Carne de res, cadera",mes_factor10,-0.009725369862186535,0.027619768155064367,-0.3521162743867308,0.7264320170114177,-0.0638601154461127,0.04440937572173962
