adf_type,test_stat,cv_1pct,cv_5pct,cv_10pct,cod_mun,item_var,item,variable,n_obs
drift,-2.228056921480107,-3.51,-2.89,-2.58,11001,alimento_sipsa,Tomate chonto,precio_sipsa,63
trend,-2.36026306715589,-4.04,-3.45,-3.15,11001,alimento_sipsa,Tomate chonto,precio_sipsa,63
drift,-1.7724184537082193,-3.51,-2.89,-2.58,11001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
trend,-2.486838638545962,-4.04,-3.45,-3.15,11001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
drift,-1.5178062870643088,-3.51,-2.89,-2.58,11001,alimento_sipsa,Yuca llanera,precio_sipsa,63
trend,-1.5212747975642338,-4.04,-3.45,-3.15,11001,alimento_sipsa,Yuca llanera,precio_sipsa,63
drift,-2.4136075856974397,-3.51,-2.89,-2.58,11001,alimento_sipsa,Zanahoria,precio_sipsa,63
trend,-2.7523649800849745,-4.04,-3.45,-3.15,11001,alimento_sipsa,Zanahoria,precio_sipsa,63
drift,-1.5031842059002742,-3.51,-2.89,-2.58,05001,alimento_sipsa,Arroz de primera,precio_sipsa,63
trend,-1.2634274894886057,-4.04,-3.45,-3.15,05001,alimento_sipsa,Arroz de primera,precio_sipsa,63
drift,-3.2601551343021185,-3.51,-2.89,-2.58,05001,alimento_sipsa,Cebolla cabezona blanca,precio_sipsa,63
trend,-3.266463067595938,-4.04,-3.45,-3.15,05001,alimento_sipsa,Cebolla cabezona blanca,precio_sipsa,63
drift,-2.598020172813354,-3.51,-2.89,-2.58,05001,alimento_sipsa,Papa R-12 negra,precio_sipsa,63
trend,-2.638369540417393,-4.04,-3.45,-3.15,05001,alimento_sipsa,Papa R-12 negra,precio_sipsa,63
drift,-2.6313202786167116,-3.51,-2.89,-2.58,05001,alimento_sipsa,Papa capira,precio_sipsa,63
trend,-2.899340697262033,-4.04,-3.45,-3.15,05001,alimento_sipsa,Papa capira,precio_sipsa,63
drift,-2.045898151287712,-3.51,-2.89,-2.58,05001,alimento_sipsa,Papa nevada,precio_sipsa,63
trend,-2.3179969428612672,-4.04,-3.45,-3.15,05001,alimento_sipsa,Papa nevada,precio_sipsa,63
drift,-1.6328094531403823,-3.51,-2.89,-2.58,05001,alimento_sipsa,Plátano comino,precio_sipsa,63
