articulo_ipc,alimento_sipsa,cod_mun,city,type,lag,EG,p.value,d,n_obs
PLÁTANO,Plátano guineo,05001,Medellín,type 2,3,1.6267223852796286,0.1,0,63
PLÁTANO,Plátano guineo,05001,Medellín,type 3,3,-1.0808631630502732,0.1,0,63
PLÁTANO,Plátano guineo,11001,Bogotá,type 1,3,-2.7905264750957346,0.06864326541272343,0,63
PLÁTANO,Plátano guineo,11001,Bogotá,type 2,3,1.1482837057915505,0.1,0,63
PLÁTANO,Plátano guineo,11001,Bogotá,type 3,3,0.12136743078556919,0.1,0,63
PLÁTANO,Plátano hartón maduro,05001,Medellín,type 1,3,-1.0991050076727982,0.1,0,63
PLÁTANO,Plátano hartón maduro,05001,Medellín,type 2,3,1.2658036936283923,0.1,0,63
PLÁTANO,Plátano hartón maduro,05001,Medellín,type 3,3,-0.7326723014029658,0.1,0,63
PLÁTANO,Plátano hartón maduro,11001,Bogotá,type 1,3,-2.4947120207366713,0.1,0,63
PLÁTANO,Plátano hartón maduro,11001,Bogotá,type 2,3,0.6986568757636313,0.1,0,63
PLÁTANO,Plátano hartón maduro,11001,Bogotá,type 3,3,-0.16549774984158444,0.1,0,63
PLÁTANO,Plátano hartón verde,05001,Medellín,type 1,3,-1.2516638139573604,0.1,0,63
PLÁTANO,Plátano hartón verde,05001,Medellín,type 2,3,1.060747120347425,0.1,0,63
PLÁTANO,Plátano hartón verde,05001,Medellín,type 3,3,-0.5997043039396888,0.1,0,63
PLÁTANO,Plátano hartón verde,11001,Bogotá,type 1,3,-2.48188317011012,0.1,0,63
PLÁTANO,Plátano hartón verde,11001,Bogotá,type 2,3,0.7100885581421377,0.1,0,63
PLÁTANO,Plátano hartón verde,11001,Bogotá,type 3,3,-0.16759470230288248,0.1,0,63
PLÁTANO,Plátano hartón verde,76001,Cali,type 1,3,-1.8980989939719857,0.1,0,63
PLÁTANO,Plátano hartón verde,76001,Cali,type 2,3,0.6646847986871537,0.1,0,63
PLÁTANO,Plátano hartón verde,76001,Cali,type 3,3,-1.1169565056927084,0.1,0,63
PLÁTANO,Plátano hartón verde llanero,11001,Bogotá,type 1,3,-2.983280491982209,0.04525973685361138,0,63
PLÁTANO,Plátano hartón verde llanero,11001,Bogotá,type 2,3,0.23233804738977196,0.1,0,63
PLÁTANO,Plátano hartón verde llanero,11001,Bogotá,type 3,3,0.13784220585574428,0.1,0,63
TOMATE,Tomate chonto,11001,Bogotá,type 1,3,-4.630964382193255,0.01,0,63
TOMATE,Tomate chonto,11001,Bogotá,type 2,3,0.7145019372123707,0.1,0,63
TOMATE,Tomate chonto,11001,Bogotá,type 3,3,-1.2680358739849433,0.1,0,63
TOMATE,Tomate larga vida,05001,Medellín,type 1,3,-4.838118833120379,0.01,0,63
TOMATE,Tomate larga vida,05001,Medellín,type 2,3,-0.1648976691673475,0.1,0,63
TOMATE,Tomate larga vida,05001,Medellín,type 3,3,-0.29188327010138854,0.1,0,63
TOMATE,Tomate larga vida,11001,Bogotá,type 1,3,-4.874369634879862,0.01,0,63
TOMATE,Tomate larga vida,11001,Bogotá,type 2,3,0.10368363321517138,0.1,0,63
TOMATE,Tomate larga vida,11001,Bogotá,type 3,3,-0.3953336107292473,0.1,0,63
TOMATE,Tomate larga vida,76001,Cali,type 1,3,-4.516388617688773,0.01,0,63
TOMATE,Tomate larga vida,76001,Cali,type 2,3,-0.32412718630824694,0.1,0,63
TOMATE,Tomate larga vida,76001,Cali,type 3,3,-0.22303374844454307,0.1,0,63
YUCA,Yuca ICA,05001,Medellín,type 1,3,-3.220458829366095,0.03020415689372547,0,63
YUCA,Yuca ICA,05001,Medellín,type 2,3,0.31115742769817106,0.1,0,63
YUCA,Yuca ICA,05001,Medellín,type 3,3,-1.0122807469173378,0.1,0,63
YUCA,Yuca ICA,76001,Cali,type 1,3,-1.7797260521213112,0.1,0,63
YUCA,Yuca ICA,76001,Cali,type 2,3,-0.31799786488251364,0.1,0,63
YUCA,Yuca ICA,76001,Cali,type 3,3,0.4793739795040373,0.1,0,63
