codigo_tcac,alimento_sipsa,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
B050,Haba verde,60,144,9.9,0.6,22.5,32,96,19,0.29,0.15,1.6,0,33,143,26,33,2,0.6
B052,Habichuela,90,43,2.1,0,7.2,10,34,33,0.06,0.1,0.7,0,22,39,6,40,1,0.2
B052,Habichuela larga,90,43,2.1,0,7.2,10,34,33,0.06,0.1,0.7,0,22,39,6,40,1,0.2
A040,Harina de trigo,100,360,12.5,1.7,72.3,0,216,0,0.98,0.47,6.1,0,26,107,2,15,4.3,1
A034,Harina precocida de maíz,100,380,9.1,3.7,73.9,0,35,0,0.3,0.12,2.7,0,44,248,1,4,2.7,1.3
C038,Higo,61,48,0.7,0.1,9.7,15,6,7,0.03,0.05,0.5,0,57,27,3,46,0.5,0.1
J004,Huevo blanco A,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo blanco AA,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo blanco B,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo blanco extra,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo rojo A,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo rojo AA,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo rojo B,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
J004,Huevo rojo extra,90,149,12.6,10.8,0.3,0,48,177,0.07,0.49,0.1,1.29,12,197,139,53,1.7,1.4
K018,Jugo instantáneo (sobre),100,392,8.3,0,89.8,0,0,0,0,0,0,0,2,0,268,0,0,0
C042,Kiwi,91,73,1,0.4,15,80,25,18,0.03,0.03,0.4,0,16,34,3,30,0.4,0.1
E024,Langostino 16-20,47,71,14.6,1.4,0,0,30,30,0.02,0.02,2,1.66,26,252,531,52,0.9,1.2
E024,Langostino U12,47,71,14.6,1.4,0,0,30,30,0.02,0.02,2,1.66,26,252,531,52,0.9,1.2
G008,Leche en polvo,100,499,26.3,26.6,38.4,9,37,288,0.26,1.42,0.6,3.25,85,776,369,940,0.5,3.3
B059,Lechuga Batavia,55,18,0.8,0.1,2.6,3,53,10,0.06,0.04,0.4,0,6,27,6,21,0.9,0.3
B060,Lechuga crespa verde,55,23,1.1,0.1,3.3,6,136,290,0.07,0.07,0.3,0,14,30,8,30,1,0.2
T026,Lenteja importada,100,387,23.1,0.9,61,3,172,2,0.5,0.18,1.8,0,83,370,27,51,7.2,3.6
C044,Limón común,50,44,0.3,0.3,9.3,42,11,1,0.05,0.01,0.1,0,8,15,4,19,0.5,0.1
C044,Limón mandarino,50,44,0.3,0.3,9.3,42,11,1,0.05,0.01,0.1,0,8,15,4,19,0.5,0.1
C044,Limón Tahití,50,44,0.3,0.3,9.3,42,11,1,0.05,0.01,0.1,0,8,15,4,19,0.5,0.1
E003,Lomitos de atún en lata,100,211,25.5,12.1,0,0,5,5,0.02,0.08,12.3,2.2,34,250,391,8,1.5,0.5
C045,Lulo,60,48,0.9,0.1,8.9,20,7,37,0.04,0.04,0.1,0,19,15,0,10,0.6,0.1
A043,Maíz amarillo cáscara,100,393,9.4,4.7,74.5,0,19,34,0.38,0.2,3.6,0,127,213,35,7,2.7,2.2
A043,Maíz amarillo cáscara importado,100,393,9.4,4.7,74.5,0,19,34,0.38,0.2,3.6,0,127,213,35,7,2.7,2.2
A044,Maíz amarillo trillado,100,347,8.8,0.8,76,0,19,90,0.34,0.1,1.9,0,127,281,35,7,2.1,3.2
A045,Maíz blanco cáscara,100,363,9.4,3.8,72.2,1,19,0,0.32,0.09,2.3,0,127,228,35,4,2.4,2.2
A046,Maíz blanco retrillado,100,357,8.7,0.9,77.9,0,19,0,0.2,0.03,1.1,0,127,71,6,10,2,1.75
A046,Maíz blanco trillado,100,357,8.7,0.9,77.9,0,19,0,0.2,0.03,1.1,0,127,71,6,10,2,1.75
SCA0301,Maíz enlatado,100,64,1.6,0.8,13.6,3.6,26.82,6.5,0.239,0.143,2.52,0,81.29,144.53,108.3,3.5,0.36,0.34
A051,Maíz pira,100,392,10.9,4.3,71.1,1,24,0,0.39,0.1,1.8,0,123,299,7,5,3,2.8
C050,Mandarina arrayana,70,54,0.9,0.1,11.4,24,18,35,0.06,0.03,0.2,0,12,21,2,35,0.3,0.2
C050,Mandarina común,70,54,0.9,0.1,11.4,24,18,35,0.06,0.03,0.2,0,12,21,2,35,0.3,0.2
C050,Mandarina Oneco,70,54,0.9,0.1,11.4,24,18,35,0.06,0.03,0.2,0,12,21,2,35,0.3,0.2
C051,Mango común,50,79,0.6,0,17.1,48,39,140,0.12,0.12,0.5,0,24,21,4,15,0.5,0.1
C051,Mango costeño,50,79,0.6,0,17.1,48,39,140,0.12,0.12,0.5,0,24,21,4,15,0.5,0.1
C051,Mango de azúcar,50,79,0.6,0,17.1,48,39,140,0.12,0.12,0.5,0,24,21,4,15,0.5,0.1
TCAB,Mango Kent,76,64,0.4,0.3,16.7,17.4,34.54,162,0.02,0.06,0,0,8,9,1,12,0.1,0.1
TCAB,Mango manzano,76,64,0.4,0.3,16.7,17.4,34.54,162,0.02,0.06,0,0,8,9,1,12,0.1,0.1
TCAB,Mango reina,76,64,0.4,0.3,16.7,17.4,34.54,162,0.02,0.06,0,0,8,9,1,12,0.1,0.1
C052,Mango Tommy,76,194,0.4,0.1,46.9,70,36.9,180,0.03,0.04,0.67,0,7,14,1,8,0.1,0.1
C051,Mango Yulima,50,79,0.6,0,17.1,48,39,140,0.12,0.12,0.5,0,24,21,4,15,0.5,0.1
D014,Manteca,100,891,0,99,0,0,0,0,0,0,0,0,157,0,0,0,0,0.1
C054,Manzana nacional,85,72,0.3,0.2,16.5,10,1,3,0.05,0.02,0.2,0,5,10,2,16,0.3,0
C054,Manzana roja importada,85,72,0.3,0.2,16.5,10,1,3,0.05,0.02,0.2,0,5,10,2,16,0.3,0
C054,Manzana royal gala importada,85,72,0.3,0.2,16.5,10,1,3,0.05,0.02,0.2,0,5,10,2,16,0.3,0
C054,Manzana verde importada,85,72,0.3,0.2,16.5,10,1,3,0.05,0.02,0.2,0,5,10,2,16,0.3,0
C056,Maracuyá,32,60,1.5,0.5,12.4,20,8,173,0.01,0.17,0.8,0,25,21,6,9,1.7,0.1
C056,Maracuyá antioqueño,32,60,1.5,0.5,12.4,20,8,173,0.01,0.17,0.8,0,25,21,6,9,1.7,0.1
C056,Maracuyá huilense,32,60,1.5,0.5,12.4,20,8,173,0.01,0.17,0.8,0,25,21,6,9,1.7,0.1
C056,Maracuyá santandereano,32,60,1.5,0.5,12.4,20,8,173,0.01,0.17,0.8,0,25,21,6,9,1.7,0.1
C056,Maracuyá valluno,32,60,1.5,0.5,12.4,20,8,173,0.01,0.17,0.8,0,25,21,6,9,1.7,0.1
D018,Margarina,100,732,0.6,81.1,0,0,1,819,0.01,0.04,0,0.1,2,14,877,14,0,0
D020,Mayonesa doy pack,100,326,0.9,33.4,5.4,0,6,84,0.01,0.04,0,0.24,1,26,711,14,0.2,0.2
C060,Melón Cantalup,50,25,0.7,0,5,0,21,68,0.04,0.02,0.6,0,7,17,7,11,0.4,0.1
F081,Menudencias de pollo,100,139,17.4,7,1.5,13,346,2657,0.12,0.91,6.2,11.28,18,198,77,10,5.7,3
E030,"Merluza, filete importado",100,85,18.3,1.3,0.1,0,12,17,0.06,0.07,1.3,1.2,24,186,75,27,0.8,0.3
E030,"Merluza, filete nacional",100,85,18.3,1.3,0.1,0,12,17,0.06,0.07,1.3,1.2,24,186,75,27,0.8,0.3
E043,Mojarra lora entera congelada,62,96,20.1,1.7,0,0,24,0,0.04,0.06,3.9,1.59,27,170,52,10,0.6,0.3
E043,Mojarra lora entera fresca,62,96,20.1,1.7,0,0,24,0,0.04,0.06,3.9,1.59,27,170,52,10,0.6,0.3
C061,Mora de Castilla,90,74,1,0.1,14.6,18,25,0,0.22,0.05,0.9,0,20,10,1,42,1.7,0.5
L016,Mostaza doy pack,100,107,3.6,3.3,14.1,0,8,4,0.09,0.07,0.5,0,55,148,1206,76,1.8,0.8
F091,Muslos de pollo con rabadilla,73,182,18.1,12.1,0.1,3,6,30,0.07,0.16,5.3,0.56,21,149,79,10,1,1.8
F091,Muslos de pollo sin rabadilla,73,182,18.1,12.1,0.1,3,6,30,0.07,0.16,5.3,0.56,21,149,79,10,1,1.8
C062,Naranja común,60,41,0.7,0.3,8.8,27,30,2,0.35,0.16,0.2,0,213,20,2,33,1.3,0.5
C062,Naranja Sweet,60,41,0.7,0.3,8.8,27,30,2,0.35,0.16,0.2,0,213,20,2,33,1.3,0.5
C062,Naranja Valencia,60,41,0.7,0.3,8.8,27,30,2,0.35,0.16,0.2,0,213,20,2,33,1.3,0.5
E005,Nicuro fresco,85,165,15.5,11.4,0,0,10,0,0.02,0.1,2,2.88,19,200,98,8,0.6,0.5
P074,Ñame criollo,85,121,2,0.2,25.9,13,23,7,0.12,0.03,0.6,0,21,55,9,16,0.5,0.2
P074,Ñame diamante,85,121,2,0.2,25.9,13,23,7,0.12,0.03,0.6,0,21,55,9,16,0.5,0.2
P074,Ñame espino,85,121,2,0.2,25.9,13,23,7,0.12,0.03,0.6,0,21,55,9,16,0.5,0.2
E018,Palmitos de mar,30,84,17.3,1.6,0,0,10,1,0.14,0.06,1.6,1.15,36,180,423,75,0.5,3.3
K033,Panela cuadrada blanca,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
K033,Panela cuadrada morena,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
K033,Panela en pastilla,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
K033,Panela redonda blanca,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
K033,Panela redonda morena,100,364,0.6,0.1,90.2,0,1,0,0.02,0.11,0.3,0,47,39,39,42,4.9,1.4
B074,Papa Betina,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa capira,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B071,Papa criolla limpia,100,96,2.2,0.1,21.1,32,16,2,0.11,0.03,2.4,0,23,36,18,11,1,0.29
B071,Papa criolla sucia,100,96,2.2,0.1,21.1,32,16,2,0.11,0.03,2.4,0,23,36,18,11,1,0.29
B074,Papa ICA-Huila,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa Morasurco,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa nevada,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa parda pastusa,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa Puracé,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa R-12 negra,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa R-12 roja,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B071,Papa roja peruana,100,96,2.2,0.1,21.1,32,16,2,0.11,0.03,2.4,0,23,36,18,11,1,0.29
B065,Papa rubí,100,80,2.2,0.1,16.9,20,16,0,0.08,0.03,1.1,0,23,58,6,12,0.8,0.3
B065,Papa sabanera,100,80,2.2,0.1,16.9,20,16,0,0.08,0.03,1.1,0,23,58,6,12,0.8,0.3
B074,Papa San Félix,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa superior,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B074,Papa suprema,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
B065,Papa tocarreña,100,80,2.2,0.1,16.9,20,16,0,0.08,0.03,1.1,0,23,58,6,12,0.8,0.3
B074,Papa única,100,89,2.1,0.1,18.9,20,16,0,0.08,0.03,1.1,0,23,57,6,12,0.8,0.3
C065,Papaya hawaiana,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
C065,Papaya Maradol,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
C065,Papaya melona,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
C065,Papaya Paulina,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
C065,Papaya redonda,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
C065,Papaya tainung,70,40,0.5,0.1,8.2,62,37,235,0.03,0.03,0.3,0,23,9,5,24,0.3,0.1
SCE0095,Pargo rojo entero congelado,50,98.25,19.7,1.75,0.04,1.03,5,18.6,0.1,0.1,2.5,3,32,204,64,34.43,0.74,0.7
SCE0095,Pargo rojo entero fresco,50,98.25,19.7,1.75,0.04,1.03,5,18.6,0.1,0.1,2.5,3,32,204,64,34.43,0.74,0.7
SCE0095,Pargo rojo platero,50,98.25,19.7,1.75,0.04,1.03,5,18.6,0.1,0.1,2.5,3,32,204,64,34.43,0.74,0.7
A072,Pastas alimenticias,100,371,13,1.5,74.7,0,237,0,0.95,0.39,7.1,0,53,120,6,25,3.9,1.3
C079,Patilla,40,17,0.4,0,3.7,7,3,30,0.02,0.01,0.1,0,10,5,1,4,0.3,0.1
C079,Patilla baby,40,17,0.4,0,3.7,7,3,30,0.02,0.01,0.1,0,10,5,1,4,0.3,0.1
F085,Pechuga de pollo,93,166,20.7,9.2,0.1,0,4,24,0.07,0.09,9.9,0.34,25,174,63,11,0.7,0.8
B077,Pepino cohombro,75,14,0.5,0.1,2.3,8,14,2,0.02,0.02,0.1,0,12,22,2,18,0.3,0.1
B078,Pepino de rellenar,90,21,0.6,0.2,3.8,14,14,3,0.04,0.05,0.2,0,10,24,4,15,0.7,0.17
C071,Pera importada,85,63,0.3,0.2,12.9,2,7,0,0.07,0.04,0.2,0,5,9,1,8,0.4,0.1
C071,Pera nacional,85,63,0.3,0.2,12.9,2,7,0,0.07,0.04,0.2,0,5,9,1,8,0.4,0.1
B079,Perejil,90,55,2.9,1,6.9,161,152,421,0.11,0.09,1.3,0,50,59,56,138,6.6,1.1
E002,Pescado cabezas,54,156,17.9,9,0.7,0,10,32,0.09,0.24,3.6,13.54,32,235,80,57,1.1,1
F091,Pierna pernil con rabadilla,73,182,18.1,12.1,0.1,3,6,30,0.07,0.16,5.3,0.56,21,149,79,10,1,1.8
F091,Pierna pernil sin rabadilla,73,182,18.1,12.1,0.1,3,6,30,0.07,0.16,5.3,0.56,21,149,79,10,1,1.8
F091,Piernas de pollo,73,182,18.1,12.1,0.1,3,6,30,0.07,0.16,5.3,0.56,21,149,79,10,1,1.8
B080,Pimentón,85,35,1,0.3,6.3,160,35,184,0.05,0.07,1.1,0,12,24,2,7,0.4,0.2
B081,Pimentón verde,80,28,0.9,0.1,4.9,93,10,20,0.06,0.03,0.5,0,10,20,3,11,0.4,0.1
C072,Piña gold,55,56,0.6,0.1,12.4,23,16,8,0.06,0.05,0.3,0,12,9,3,16,0.5,0.2
C072,Piña manzana,55,56,0.6,0.1,12.4,23,16,8,0.06,0.05,0.3,0,12,9,3,16,0.5,0.2
C072,Piña perolera,55,56,0.6,0.1,12.4,23,16,8,0.06,0.05,0.3,0,12,9,3,16,0.5,0.2
C076,Pitahaya,55,56,0.5,0.1,11.6,25,6,3,0.01,0.03,0.2,0,19,26,4,26,0.2,0.1
B095,Plátano comino,60,123,1,0.2,29,20,22,130,0.07,0.04,0.5,0,37,40,30,6,0.4,0.1
B085,Plátano dominico hartón maduro,65,136,1.1,0.3,31.1,17,22,57,0.05,0.02,0.5,0,37,35,4,4,0.8,0.1
B085,Plátano dominico hartón verde,65,136,1.1,0.3,31.1,17,22,57,0.05,0.02,0.5,0,37,35,4,4,0.8,0.1
B086,Plátano dominico verde,60,166,1.2,0.1,39.4,20,22,100,0.07,0.03,0.6,0,37,31,10,8,0.9,0.1
B084,Plátano guineo,60,128,1.3,0.1,30.3,15,22,16,0.04,0.04,0.6,0,37,38,30,4,0.7,0.2
B089,Plátano hartón maduro,72,132,1.1,0.2,30.3,15,22,54,0.07,0.05,0.5,0,37,36,4,3,0.5,0.1
B092,Plátano hartón verde,68,166,1.2,0.2,39.3,20,22,105,0.06,0.04,0.5,0,37,20,26,8,0.4,0.1
B092,Plátano hartón verde ecuatoriano,68,166,1.2,0.2,39.3,20,22,105,0.06,0.04,0.5,0,37,20,26,8,0.4,0.1
