cod_mun,articulo_ipc,alimento_sipsa,criterion,p,q,crit
11001,PLÁTANO,Plátano guineo,BIC,0,0,-95.17215235423808
11001,PLÁTANO,Plátano guineo,BIC,1,1,-92.73290080783946
11001,PLÁTANO,Plátano guineo,BIC,2,0,-90.40934722017053
11001,PLÁTANO,Plátano guineo,BIC,0,1,-89.24103836878164
11001,PLÁTANO,Plátano hartón verde llanero,BIC,0,0,-119.39238559527482
11001,PLÁTANO,Plátano hartón verde llanero,BIC,1,0,-118.78908034102191
11001,PLÁTANO,Plátano hartón verde llanero,BIC,2,0,-114.88343218427434
11001,PLÁTANO,Plátano hartón verde llanero,BIC,1,1,-114.6857269203638
11001,PLÁTANO,Plátano hartón verde llanero,BIC,0,1,-114.28892598057875
11001,TOMATE,Tomate chonto,BIC,0,0,-24.259851020495738
11001,TOMATE,Tomate chonto,BIC,1,0,-22.14905357647092
11001,TOMATE,Tomate chonto,BIC,0,1,-20.10032415157498
11001,TOMATE,Tomate chonto,BIC,2,0,-19.4642258123134
11001,TOMATE,Tomate chonto,BIC,1,1,-18.38523350190971
11001,TOMATE,Tomate larga vida,BIC,0,0,-26.794240328645976
11001,TOMATE,Tomate larga vida,BIC,1,0,-26.063728863201874
11001,TOMATE,Tomate larga vida,BIC,2,0,-25.12352825938825
11001,TOMATE,Tomate larga vida,BIC,0,1,-22.598438145228243
11001,TOMATE,Tomate larga vida,BIC,1,1,-22.186847320597536
11001,YUCA,Yuca llanera,BIC,0,0,-145.96340963747775
11001,YUCA,Yuca llanera,BIC,1,0,-139.1055877820819
11001,YUCA,Yuca llanera,BIC,0,1,-137.94241446113313
11001,YUCA,Yuca llanera,BIC,0,3,-135.6772215924484
11001,YUCA,Yuca llanera,BIC,1,1,-135.00193005461227
11001,ZANAHORIA,Zanahoria,BIC,1,0,-23.67563585332944
11001,ZANAHORIA,Zanahoria,BIC,1,1,-19.97391880079256
11001,ZANAHORIA,Zanahoria,BIC,2,0,-19.57436689959505
11001,ZANAHORIA,Zanahoria,BIC,1,2,-16.520038571723404
11001,ZANAHORIA,Zanahoria,BIC,0,0,-16.129352449255897
76001,ARROZ PARA SECO,Arroz de primera,BIC,1,1,-296.1746080402128
76001,ARROZ PARA SECO,Arroz de primera,BIC,1,2,-294.11203805645374
76001,ARROZ PARA SECO,Arroz de primera,BIC,2,2,-290.4478704648366
76001,ARROZ PARA SECO,Arroz de primera,BIC,2,1,-288.1972661672454
76001,ARROZ PARA SECO,Arroz de primera,BIC,1,3,-284.2530480152541
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,BIC,1,0,-25.483685204273414
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,BIC,3,0,-23.905419789511555
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,BIC,2,0,-23.703575214455142
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,BIC,1,1,-21.992494543126767
76001,CEBOLLA CABEZONA,Cebolla cabezona blanca bogotana,BIC,3,1,-20.960773245239537
76001,PAPA,Papa capira,BIC,1,0,-49.94515418382534
76001,PAPA,Papa capira,BIC,0,0,-48.565920770821045
76001,PAPA,Papa capira,BIC,1,1,-48.10092424017917
76001,PAPA,Papa capira,BIC,2,0,-44.518645874359535
76001,PAPA,Papa capira,BIC,3,0,-43.484989989946925
76001,PAPA,Papa parda pastusa,BIC,1,0,-50.345226689539274
76001,PAPA,Papa parda pastusa,BIC,0,0,-49.65402217721333
76001,PAPA,Papa parda pastusa,BIC,1,1,-49.29121724683887
76001,PAPA,Papa parda pastusa,BIC,2,0,-44.471367404860786
76001,PAPA,Papa parda pastusa,BIC,3,0,-43.79397652434467
76001,PAPA,Papa suprema,BIC,1,0,-47.221670569006946
76001,PAPA,Papa suprema,BIC,0,0,-45.440624781414606
76001,PAPA,Papa suprema,BIC,1,1,-45.099188796090544
76001,PAPA,Papa suprema,BIC,2,0,-41.420351266741534
76001,PAPA,Papa suprema,BIC,3,0,-40.88668073037576
76001,PAPA,Papa única,BIC,1,0,-44.3453393522675
76001,PAPA,Papa única,BIC,1,1,-42.227308168099086
76001,PAPA,Papa única,BIC,0,0,-41.82057394462563
76001,PAPA,Papa única,BIC,2,0,-38.72754576838125
76001,PAPA,Papa única,BIC,3,0,-37.70597097953484
76001,PLÁTANO,Plátano hartón verde,BIC,0,2,-134.72622765929282
76001,PLÁTANO,Plátano hartón verde,BIC,0,0,-131.44523503990723
76001,PLÁTANO,Plátano hartón verde,BIC,1,2,-130.82859835169512
76001,PLÁTANO,Plátano hartón verde,BIC,0,3,-129.1952693303768
76001,PLÁTANO,Plátano hartón verde,BIC,2,0,-129.12357835044313
76001,TOMATE,Tomate larga vida,BIC,0,1,-3.6247533852888694
76001,TOMATE,Tomate larga vida,BIC,0,0,-3.265068066926979
76001,TOMATE,Tomate larga vida,BIC,1,1,-0.07269845324918833
76001,TOMATE,Tomate larga vida,BIC,0,3,0.21981395478233878
76001,TOMATE,Tomate larga vida,BIC,0,2,0.4520147611279697
76001,YUCA,Yuca ICA,BIC,0,0,-169.61383943070933
76001,YUCA,Yuca ICA,BIC,0,1,-161.07284379106972
76001,YUCA,Yuca ICA,BIC,1,0,-161.05622570971548
76001,YUCA,Yuca ICA,BIC,0,3,-158.8349514825779
76001,YUCA,Yuca ICA,BIC,1,1,-157.04531714473944
76001,ZANAHORIA,Zanahoria bogotana,BIC,1,0,-20.61502075036765
76001,ZANAHORIA,Zanahoria bogotana,BIC,1,1,-17.1976569481574
76001,ZANAHORIA,Zanahoria bogotana,BIC,2,0,-16.696070665893714
76001,ZANAHORIA,Zanahoria bogotana,BIC,2,1,-13.322817223605455
76001,ZANAHORIA,Zanahoria bogotana,BIC,1,2,-13.209723998105304
