Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
51 a 70 años,0,3595.776919683884,1656.1539617318545,BOGOTA,10651,precio_100g
9 a 13 años,0,3788.458110283553,1887.9916659641879,BOGOTA,10651,precio_100g
>70 años,1,3335.7581559517757,2037.6294225396675,BOGOTA,10682,precio_100g
1 a 3 años,1,NA,NA,BOGOTA,10682,precio_100g
14 a 18 años,1,3908.341902399866,1849.7169917481015,BOGOTA,10682,precio_100g
19 a 30 años,1,3356.898259091545,1652.1559637240605,BOGOTA,10682,precio_100g
31 a 50 años,1,3316.787886369279,1730.6607808359975,BOGOTA,10682,precio_100g
4 a 8 años,1,5638.475561010211,4282.694905355255,BOGOTA,10682,precio_100g
51 a 70 años,1,3449.855558321006,1981.3249052463168,BOGOTA,10682,precio_100g
9 a 13 años,1,3777.2415290392833,2085.4829891856352,BOGOTA,10682,precio_100g
gestantes < 18 años,1,19956.086613703996,7917.833837318039,BOGOTA,10682,precio_100g
gestantes 19 a 30 años,1,8412.287463626992,3355.748536917167,BOGOTA,10682,precio_100g
gestantes 31 a 50 años,1,8125.163801394312,3397.537083624963,BOGOTA,10682,precio_100g
lactantes < 18 años,1,4132.438284867339,1620.3116154192849,BOGOTA,10682,precio_100g
lactantes 19 a 30 años,1,3619.6606314429396,1426.8445972530603,BOGOTA,10682,precio_100g
lactantes 31 a 50 años,1,3570.5457243989185,1474.5264284672633,BOGOTA,10682,precio_100g
>70 años,0,3391.5712975244696,1674.2768595821844,BOGOTA,10682,precio_100g
1 a 3 años,0,NA,NA,BOGOTA,10682,precio_100g
14 a 18 años,0,4147.8586932623475,1510.1062217401764,BOGOTA,10682,precio_100g
19 a 30 años,0,4157.711768662341,1474.6111087300249,BOGOTA,10682,precio_100g
31 a 50 años,0,3692.8765275617525,1382.6371535682717,BOGOTA,10682,precio_100g
4 a 8 años,0,9573.259599712756,6664.744798571333,BOGOTA,10682,precio_100g
51 a 70 años,0,3635.124649008004,1674.2768595821838,BOGOTA,10682,precio_100g
9 a 13 años,0,3844.9867615421426,1916.1629217522773,BOGOTA,10682,precio_100g
>70 años,1,3292.3011286644833,2011.083937741757,BOGOTA,10712,precio_100g
1 a 3 años,1,NA,NA,BOGOTA,10712,precio_100g
14 a 18 años,1,3873.588367165358,1833.2690436786797,BOGOTA,10712,precio_100g
19 a 30 años,1,3311.9115748633644,1630.0149833011535,BOGOTA,10712,precio_100g
31 a 50 años,1,3273.360122846886,1708.000686279796,BOGOTA,10712,precio_100g
4 a 8 años,1,5616.5319948143215,4266.02770548473,BOGOTA,10712,precio_100g
51 a 70 años,1,3406.25353872878,1956.28334455541,BOGOTA,10712,precio_100g
9 a 13 años,1,3748.785272241431,2069.7717779661866,BOGOTA,10712,precio_100g
gestantes < 18 años,1,19770.439900524274,7844.176117955427,BOGOTA,10712,precio_100g
