food_key,food,best_model,best_mape,best_rmse,info
CURUBA,Curuba,m1_margin_Q2,0.09770810521319853,207.5992233448182,Q2
CURUBAS,CURUBAS,m0_ipc_fill,0.3199325822883579,539.4974233815782,CALI
FRIJOL FRESCO,FRÍJOL FRESCO,m0_ipc_fill,0.2930937809742128,1487.836729553161,CALI
FRIJOL SECO,FRÍJOL SECO,m0_ipc_fill,0.1474689836072012,512.6285449524969,CALI
FRIJOL TARRO,FRÍJOL TARRO,m0_ipc_fill,0.01775460423670531,109.8495644195943,CALI
FRIJOL VERDE CARGAMANTO,Fríjol verde cargamanto,m6_lm_dummies,0.06951117223371002,0.09439018780871251,n_total=63
GUAYABAS,GUAYABAS,m0_ipc_fill,0.4427201707503191,531.9883176755438,CALI
HABICHUELA,Habichuela,m1_margin_Q2,0.1140359766686179,213.1781010806482,Q2
HABICHUELAS FRESCAS,HABICHUELAS FRESCAS,m0_ipc_fill,0.1681501083816523,356.4813187200273,CALI
HARINA DE TRIGO,Harina de trigo,m1_margin_Q2,0.0104307200262051,18.49733987301849,Q2
HARINA PRECOCIDA,HARINA PRECOCIDA,m0_ipc_fill,0.07366210760513273,146.2380162315492,CALI
HARINA PRECOCIDA DE MAIZ,Harina precocida de maíz,m4_asy_ecm_mtar,0.00874460661738693,19.940730436423095,n_total=63
HUEVO BLANCO EXTRA,Huevo blanco extra,m1_margin_best,0.01469844368652982,52.27183638862981,best=Q1
HUEVO ROJO A,Huevo rojo A,m1_margin_Q2,0.0169836073754897,76.20712688108786,Q2
HUEVO ROJO AA,Huevo rojo AA,m1_margin_best,0.01304238961434247,61.83500410561437,best=Q1
HUEVO ROJO EXTRA,Huevo rojo extra,m1_margin_Q2,0.01420892164738398,55.89610918534437,Q2
HUEVOS,HUEVOS,m0_ipc_fill,0.01084660699730725,48.43850961383751,CALI
LECHE EN POLVO,Leche en polvo,m7_fd_dummies,0.01280444463523327,177.97346323971794,n_obs=62
LECHE EN POLVO ENTERA,LECHE EN POLVO ENTERA,m0_ipc_fill,0.02589386382255085,384.9568624068854,CALI
LECHE EN POLVO LACTANTE,LECHE EN POLVO LACTANTE,m0_ipc_fill,0.08686102255641448,3329.558463031808,CALI
LECHE LARGA VIDA,LECHE LARGA VIDA,m0_ipc_fill,0.0159809863493789,30.48128105207109,CALI
LECHE PASTEURIZADA,LECHE PASTEURIZADA,m0_ipc_fill,0.03418647367741649,43.21865301846272,CALI
LECHUGA,LECHUGA,m0_ipc_fill,0.48573405451524593,483.3037217636854,CALI
LECHUGA BATAVIA,Lechuga Batavia,m1_margin_Q2,0.09910255990775613,116.3003622254088,Q2
LENTEJA IMPORTADA,Lenteja importada,m4_asy_ecm_mtar,0.02566708164006358,71.8280158995387,n_total=63
