model,food,food_key,rmse,mape,n_test,extra
m0_ipc_fill,PIÑAS,PINAS,413.3979410261963,0.4770258123729871,38,CALI
m0_ipc_fill,PLÁTANO,PLATANO,6.132459943946748,0.006982741004824472,38,CALI
m0_ipc_fill,POLLO DESPRESADO POR LIBRA,POLLO DESPRESADO POR LIBRA,196.54319646163,0.03417284754328268,38,CALI
m0_ipc_fill,POLLO ENTERO POR LIBRA,POLLO ENTERO POR LIBRA,123.6533718613382,0.02760473437166323,38,CALI
m0_ipc_fill,QUESO CAMPESINO,QUESO CAMPESINO,222.815366836952,0.02525138926700924,38,CALI
m0_ipc_fill,REPOLLO,REPOLLO,632.4507597652757,0.8959672131968582,38,CALI
m0_ipc_fill,SAL,SAL,2.109580705124434,0.003236764211255258,38,CALI
m0_ipc_fill,TOMATE,TOMATE,5.887148061770841,0.003957262818024432,38,CALI
m0_ipc_fill,TOMATE DE ÁRBOL,TOMATE DE ARBOL,3.948019622467353,0.002143265010655854,38,CALI
m0_ipc_fill,YUCA,YUCA,3.285266483623204,0.00262467974437467,38,CALI
m0_ipc_fill,ZANAHORIA,ZANAHORIA,6.25636632557997,0.004861822046399702,38,CALI
m1_margin_Q2,Aguacate papelillo,AGUACATE PAPELILLO,356.2566325596579,0.1128067981092468,19,Q2
m1_margin_Q2,Ahuyama,AHUYAMA,139.1605389872198,0.1585500179346827,19,Q2
m1_margin_Q2,Arracacha amarilla,ARRACACHA AMARILLA,415.7672863160688,0.1741506851534091,19,Q2
m1_margin_Q2,Arroz de primera,ARROZ DE PRIMERA,74.19999171891696,0.04506897087883811,19,Q2
m1_margin_Q2,Arveja verde en vaina pastusa,ARVEJA VERDE EN VAINA PASTUSA,1938.910391799564,0.2545746006067922,19,Q2
m1_margin_Q2,Arveja verde seca importada,ARVEJA VERDE SECA IMPORTADA,41.00006933968036,0.02291147405969096,19,Q2
m1_margin_Q2,Avena en hojuelas,AVENA EN HOJUELAS,136.8673585794257,0.01921182557489114,19,Q2
m1_margin_Q2,Avena molida,AVENA MOLIDA,352.6582926415459,0.04872461079497119,19,Q2
m1_margin_Q2,Azúcar morena,AZUCAR MORENA,67.56266329144219,0.03485621142179225,19,Q2
