food_key,m0_ipc_fill,m1_margin_Q2,m1_margin_best,m4_asy_ecm_mtar,m5_ecm,m6_lm_dummies,m7_fd_dummies
HARINA PRECOCIDA,146.2380162315492,NA,NA,NA,NA,NA,NA
HARINA PRECOCIDA DE MAIZ,NA,211.2064249666276,170.1592889963943,19.940730436423095,0.10375165156719889,0.03268780972115175,96.2931446327006
HUEVO BLANCO EXTRA,NA,138.2994655607401,52.27183638862981,1267.1672667820294,0.0262485657394582,0.01850783208917849,67.14581304355401
HUEVO ROJO A,NA,76.20712688108786,76.20712688108786,646.1784770409386,0.06978001359272776,0.04797263499814757,148.11330859654424
HUEVO ROJO AA,NA,52.61204350965173,61.83500410561437,1023.062563421518,0.0877263607471914,0.04326113203854192,155.2499949732405
HUEVO ROJO EXTRA,NA,55.89610918534437,55.89610918534437,537.5957273683019,0.0493605667399402,0.03460456823960355,312.48021427802655
HUEVOS,48.43850961383751,NA,NA,NA,NA,NA,NA
LECHE EN POLVO,NA,212.7011194554052,212.4618958250316,278.5693846723833,0.0252361387950759,0.02361119826585624,177.97346323971794
LECHE EN POLVO ENTERA,384.9568624068854,NA,NA,NA,NA,NA,NA
LECHE EN POLVO LACTANTE,3329.558463031808,NA,NA,NA,NA,NA,NA
LECHE LARGA VIDA,30.48128105207109,NA,NA,NA,NA,NA,NA
LECHE PASTEURIZADA,43.21865301846272,NA,NA,NA,NA,NA,NA
LECHUGA,483.3037217636854,NA,NA,NA,NA,NA,NA
LECHUGA BATAVIA,NA,116.3003622254088,116.3003622254088,634.3298139302781,0.26541767577633496,0.1452118464741552,284.0661460456702
LENTEJA IMPORTADA,NA,178.7747487384025,206.1573785362796,71.8280158995387,0.16102189468720604,0.08127160420775735,547.1510603135562
LENTEJAS,422.167485386103,NA,NA,NA,NA,NA,NA
LIMON TAHITI,NA,302.3073002884015,334.0729384482424,930.9031213489524,0.3342804303381088,0.1513588809923223,400.9550564963524
LIMONES,308.872963925316,NA,NA,NA,NA,NA,NA
LOMITOS DE ATUN EN LATA,NA,1790.534578780059,799.960099874245,4141.829306942333,0.17572025437097977,0.1394199807609772,2236.635676208992
LULO,NA,181.099043926639,181.099043926639,685.5570868228585,0.15950183583399452,0.1842080555858164,653.6788449857171
LULOS,636.2645350233832,NA,NA,NA,NA,NA,NA
MANGO COMUN,NA,695.5333812885506,695.5333812885506,1243.664222050529,0.14252881561049105,0.1640368176294723,303.17677240364276
MANGO DE AZUCAR,NA,409.4675980822276,409.4675980822276,NA,NA,0.2279039240029772,NA
MANTECA VEGETAL,358.7014590249364,NA,NA,NA,NA,NA,NA
MANZANA ROJA IMPORTADA,NA,101.8656072566615,114.8287493005209,837.034829428182,0.09194418590284752,0.04307430607777309,413.9849009964118
MANZANA ROYAL GALA IMPORTADA,NA,197.0507102781614,197.0507102781614,905.6964285986822,0.04960087100521647,0.06912848354393923,398.99704543412054
MANZANA VERDE IMPORTADA,NA,585.9449649208434,377.4529128041283,133.6357299677221,0.14107904230853008,0.1040305031496942,402.8939825662824
MANZANAS,1241.239814049539,NA,NA,NA,NA,NA,NA
MARACUYA,267.5309539700021,253.1441598551811,240.6626103040623,1507.2586206812991,0.49869252792747976,0.1629689050806823,408.5266325796187
MARGARINA,NA,305.4710106513359,167.9166460945509,922.8563720158407,0.09653242654607136,0.08097745881820498,255.12010923664133
MORA DE CASTILLA,NA,333.2342605828993,241.4235675547847,416.4422497091043,0.4050298287337516,0.1814390157047503,601.2267773813942
MORAS,30.84476900198043,NA,NA,NA,NA,NA,NA
NARANJA COMUN,NA,173.1615841630525,134.6501479582044,NA,NA,0.2898465359481276,NA
NARANJA SWEET,NA,51.14430091134749,37.84220835976163,81.23223606572327,0.2933015028562008,0.1094131922452762,307.4986985777941
NARANJA VALENCIA,NA,215.4091551343051,192.0368104821152,287.0663355066219,0.765477633645775,0.297755559287302,155.19796102310454
NARANJAS,7.662377614930365,NA,NA,NA,NA,NA,NA
PAN CORRIENTE,8.592722392241122,NA,NA,NA,NA,NA,NA
PAN FRANCES,257.2727621642017,NA,NA,NA,NA,NA,NA
PAN INTEGRAL,98.14003281043108,NA,NA,NA,NA,NA,NA
PANELA,5.069146764182419,NA,NA,NA,NA,NA,NA
PANELA REDONDA MORENA,NA,217.883414142356,218.1892187969428,146.4721614342672,0.7800804507595742,0.2692634037057458,381.472014727618
PAPA,65.45233811104289,NA,NA,NA,NA,NA,NA
PAPA BETINA,NA,181.4375924359663,167.1070729949845,416.54072222283895,0.8055669136036693,0.2942072051291383,767.43926405257
PAPA CAPIRA,NA,133.9664470465092,134.4427074921348,507.4383794449411,0.5794097020104855,0.2273848479236065,338.44573485321735
PAPA CRIOLLA,603.0177699337365,NA,NA,NA,NA,NA,NA
PAPA CRIOLLA LIMPIA,NA,300.900863136614,276.9704001518904,534.059522990996,0.5071758145417473,0.2661751449699418,546.5738461040784
PAPA CRIOLLA SUCIA,NA,309.9712877755821,309.9712877755821,602.596213257577,0.3887722559479182,0.260295455598178,523.0076235317819
PAPA NEVADA,NA,289.8489075064798,289.8489075064798,284.35097569292145,0.6851991515038108,0.3085631005170962,276.5357994558595
PAPA PARDA PASTUSA,NA,149.3497624403788,154.0927579039362,517.2614181027157,0.34764783080074824,0.2571296870056549,365.866690130375
PAPA R 12 NEGRA,NA,41.31953094961766,41.31953094961766,NA,NA,0.1892383119076087,NA
