ciudad,articulo,precio_anchor
BOGOTÁ D.C.,TOMATE DE ÁRBOL,1657.93
BOGOTÁ D.C.,MORAS,3360.44
BOGOTÁ D.C.,GUAYABAS,1328.84
BOGOTÁ D.C.,LIMONES,1629.81
BOGOTÁ D.C.,AGUACATE,2182.89
BOGOTÁ D.C.,CURUBAS,1658.49
BOGOTÁ D.C.,PAPAYAS,1390.14
BOGOTÁ D.C.,MARACUYA,2114.99
BOGOTÁ D.C.,PIÑAS,1026.22
BOGOTÁ D.C.,MANZANAS,3987.21
BOGOTÁ D.C.,LULOS,3191.91
BOGOTÁ D.C.,MANGOS,1855.71
BOGOTÁ D.C.,MELOCOTONES O VARIEDAD DISPONIBLE,4361.225
BOGOTÁ D.C.,CARNE DE RES SIN HUESO,8643.94
BOGOTÁ D.C.,CARNE DE RES CON HUESO,4091.03
BOGOTÁ D.C.,VISCERAS - HIGADO,4612.55
BOGOTÁ D.C.,CARNE DE CERDO SIN HUESO,7815.29
BOGOTÁ D.C.,CARNE DE CERDO CON HUESO,7026.51
BOGOTÁ D.C.,POLLO ENTERO POR LIBRA,3729.68
BOGOTÁ D.C.,POLLO DESPRESADO POR LIBRA,4892.42
BOGOTÁ D.C.,PESCADO DE MAR,11738.83
BOGOTÁ D.C.,PESCADO DE RÍO,12241.08
BOGOTÁ D.C.,PESCADO ENLATADO,11600.32
BOGOTÁ D.C.,CAMARONES O VARIEDAD DISPONIBLE,28933.44
BOGOTÁ D.C.,HUEVOS,3431.7934
BOGOTÁ D.C.,LECHE PASTEURIZADA,986.255
BOGOTÁ D.C.,LECHE LARGA VIDA,1465.86
BOGOTÁ D.C.,LECHE EN POLVO ENTERA,9545.8875
BOGOTÁ D.C.,LECHE EN POLVO LACTANTE,41176.7875
BOGOTÁ D.C.,QUESO CAMPESINO,8924.9
BOGOTÁ D.C.,MANTEQUILLA,8568.48
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,3189.75
BOGOTÁ D.C.,ACEITE DE GIRASOL,4765.168478260869
BOGOTÁ D.C.,MANTECA VEGETAL,2858.91
BOGOTÁ D.C.,PANELA,1545.93
BOGOTÁ D.C.,AZÚCAR REFINADA,1376.58
BOGOTÁ D.C.,AZÚCAR NATURAL O MORENA,1378.96
BOGOTÁ D.C.,CAFÉ MOLIDO,8637.97
BOGOTÁ D.C.,SAL,506.27
CALI,ARROZ PARA SECO,1656.38
CALI,ARROZ INTEGRAL,1853.05
CALI,HARINA PRECOCIDA,1543.15
CALI,HARINA DE TRIGO,1417.32
CALI,PASTA PARA SECO,2793.66
CALI,PASTA PARA SOPA,2891.73
CALI,AVENA HOJUELAS,5645.387500000001
CALI,AVENA MOLIDA,6009.674999999999
CALI,PAN CORRIENTE,3207.46
CALI,PAN FRANCÉS,3128.73
CALI,PAN INTEGRAL,3676.96
CALI,PAPA,956.32
CALI,PAPA CRIOLLA,2306.96
CALI,YUCA,1269.52
CALI,ARRACACHA,2366.37
CALI,PLÁTANO,801.86
CALI,CEBOLLA LARGA,1098.49
CALI,CEBOLLA CABEZONA,1392.21
CALI,TOMATE,1769.69
CALI,ZANAHORIA,1151.14
CALI,HABICHUELAS FRESCAS,1833.95
CALI,REPOLLO,718.36
CALI,LECHUGA,936.15
CALI,AJO,5771.61
CALI,AHUYAMA,1269.08
CALI,FRÍJOL FRESCO,5051.2
CALI,FRÍJOL SECO,3810.3
CALI,ARVEJA FRESCA,5107.57
CALI,ARVEJA SECA,1285.42
CALI,LENTEJAS,2533.93
CALI,FRÍJOL TARRO,4390.833333333334
CALI,ARVEJA TARRO,3287.908333333333
CALI,NARANJAS,983.22
CALI,BANANOS,655.75
CALI,TOMATE DE ÁRBOL,1161.09
CALI,MORAS,2733.65
CALI,GUAYABAS,1263.89
CALI,LIMONES,1177.23
CALI,AGUACATE,2186.99
CALI,CURUBAS,1361.69
CALI,MARACUYA,1478.44
CALI,PIÑAS,796.38
CALI,MANZANAS,3290.18
CALI,LULOS,2447.17
CALI,MANGOS,1487.8
CALI,MELOCOTONES O VARIEDAD DISPONIBLE,4711.141666666666
CALI,CARNE DE RES SIN HUESO,7038.61
CALI,CARNE DE RES CON HUESO,2587.86
CALI,CARNE DE CERDO SIN HUESO,6825.26
CALI,CARNE DE CERDO CON HUESO,5414.9
CALI,POLLO ENTERO POR LIBRA,3502.85
CALI,POLLO DESPRESADO POR LIBRA,4295.32
CALI,PESCADO DE MAR,10567.11
CALI,PESCADO DE RÍO,7140.25
CALI,PESCADO ENLATADO,11920.34
CALI,CAMARONES O VARIEDAD DISPONIBLE,22224
CALI,HUEVOS,3144.9915
CALI,LECHE PASTEURIZADA,996.195
CALI,LECHE LARGA VIDA,1475.675
CALI,LECHE EN POLVO ENTERA,9352.625
CALI,LECHE EN POLVO LACTANTE,34643.325
CALI,QUESO CAMPESINO,7272.37
CALI,MANTEQUILLA,7972.54
CALI,ACEITE DE SOYA O DE MAÍZ,3276.163043478261
CALI,ACEITE DE GIRASOL,5347.353260869564
CALI,MANTECA VEGETAL,3018.3
CALI,PANELA,1442.59
CALI,AZÚCAR REFINADA,1304.55
CALI,AZÚCAR NATURAL O MORENA,1336.21
CALI,CAFÉ MOLIDO,7660.64
CALI,SAL,519.95
