ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,r2,n_obs,est_ok,k_city,sigma2_sc,Q_sc,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
MEDELLÍN,ARROZ PARA SECO,011101,3,TRUE,1.0428538953628692,0.00132030195593931,0.4939418691237329,203,TRUE,2,8.238293221488613e-4,0.024246260795932933,1,1.0428538953628692,none,1.0428538953628692,D_city
MEDELLÍN,ARROZ INTEGRAL,011101,3,TRUE,0.8503009537499948,3.273566883584126e-4,0.7235379904385493,203,TRUE,2,8.238293221488613e-4,0.024246260795932933,1,0.8503009537499948,none,0.8503009537499948,D_city
MEDELLÍN,HARINA PRECOCIDA,011106,3,TRUE,0.12331732957697164,2.0169421997463512e-4,0.04087706015905377,203,TRUE,1,2.0169421997463512e-4,0.7685725046200522,1.0002624270563443,0.12308726432442452,low_R2,1,BASE_lowR2
MEDELLÍN,HARINA DE TRIGO,011105,3,TRUE,0.14549657785628622,4.370709535303709e-4,0.02664856876274763,203,TRUE,2,3.32215018026231e-4,1.548284571673356,1,0.14549657785628622,low_R2,1,BASE_lowR2
MEDELLÍN,FECULA DE MAÍZ,011105,3,TRUE,0.09550651012954324,2.273590825220912e-4,0.02217508774113749,203,TRUE,2,3.32215018026231e-4,1.548284571673356,1,0.09550651012954325,low_R2,1,BASE_lowR2
MEDELLÍN,PASTA PARA SECO,011102,3,TRUE,1.0287644211574694,5.496730102128823e-5,0.8660182401924825,203,TRUE,2,3.6390449747686015e-5,0.002270591565018698,1,1.0287644211574694,none,1.0287644211574694,D_city
MEDELLÍN,PASTA PARA SOPA,011102,3,TRUE,0.9620105325057796,1.7813598474083798e-5,0.9457718856823883,203,TRUE,2,3.6390449747686015e-5,0.002270591565018698,1,0.9620105325057796,none,0.9620105325057796,D_city
MEDELLÍN,AVENA HOJUELAS,011103,3,TRUE,1.0062021653029678,1.3529698846546578e-4,0.5898916191352107,203,TRUE,2,1.3773705868607117e-4,0.0015676332367950553,1,1.0062021653029678,none,1.0062021653029678,D_city
MEDELLÍN,AVENA MOLIDA,011103,3,TRUE,0.9608954429465092,1.4017712890667658e-4,0.5587122507552981,203,TRUE,2,1.3773705868607117e-4,0.0015676332367950553,1,0.9608954429465092,none,0.9608954429465092,D_city
MEDELLÍN,PAN CORRIENTE,011108,3,TRUE,0.5892616131788014,9.626444209007338e-5,0.4055532356494988,203,TRUE,3,3.139931267871763e-4,1.2068619733723018,0.9997398268122495,0.5893684762942322,none,0.5893684762942322,D_city
MEDELLÍN,PAN FRANCÉS,011108,3,TRUE,1.8914879631672816,6.992886688909624e-4,0.49178924392348466,203,TRUE,3,3.139931267871763e-4,1.2068619733723018,0.9997398268122495,1.891256021902063,none,1.891256021902063,D_city
MEDELLÍN,PAN INTEGRAL,011108,3,TRUE,0.506638912669764,1.4642626938049297e-4,0.2490013687531484,203,TRUE,3,3.139931267871763e-4,1.2068619733723018,0.9997398268122495,0.5067672719965668,none,0.5067672719965668,D_city
MEDELLÍN,PAPA,011705,3,TRUE,1.0762463735695107,8.498677561687218e-4,0.9399805959236244,203,TRUE,2,0.009311302416219856,0.16794163632780823,1,1.0762463735695107,none,1.0762463735695107,D_city
MEDELLÍN,PAPA CRIOLLA,011705,3,TRUE,0.597348628655872,0.01777273707627099,0.187457447679522,203,TRUE,2,0.009311302416219856,0.16794163632780823,1,0.597348628655872,low_R2,1,BASE_lowR2
MEDELLÍN,YUCA,011706,3,TRUE,1.0085979997020236,2.1361128145289957e-5,0.9886035180040984,203,TRUE,1,2.1361128145289957e-5,7.392559887599745e-5,1.288954414574592,1.0110824296724343,none,1.0110824296724343,D_city
